Mapping parameters for Acanthopagrus berda (Goldsilk seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  1 |  6 |  47 |  51 |  57 |  61,
Bounding Box (NSWE): ,30,-35,22,103

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,14,31,50
Temperature (°C),1,15.19,21.15,28.53,32.73
Salinity (psu),1,26.3,34,35.65,39.5
Primary Production,1,81,390,1366,3535
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,3,109,620
 

Map data (HSPEC) for predicted occurrences (n = 4389): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Acanthopagrus,berda,5.75,48.75,1004:458:4,0.15,1,0.14686468646865,1,1,1,1
Acanthopagrus,berda,6.25,49.25,1004:469:1,0.15,1,0.14686468646865,1,1,1,1
Acanthopagrus,berda,0.75,99.25,1009:209:3,0.12,1,0.16,0.82766467065868,0.90808823529412,1,1
Acanthopagrus,berda,4.75,97.75,1009:247:4,0.07,1,0.17333333333333,0.40928143712575,1,1,1
Acanthopagrus,berda,4.75,99.25,1009:249:3,0.09,0.10526315789474,1,0.89050898203593,1,1,1
Acanthopagrus,berda,5.25,98.25,1009:458:1,0.05,0.052631578947368,1,0.92751497005988,1,1,1
Acanthopagrus,berda,5.75,98.75,1009:458:4,0.05,0.052631578947368,1,1,1,1,1
Acanthopagrus,berda,6.25,99.75,1009:469:2,0.16,1,0.36,0.45080838323353,1,1,1
Acanthopagrus,berda,6.75,99.25,1009:469:3,0.19,1,0.38666666666667,0.47982035928144,1,1,1
Acanthopagrus,berda,6.75,99.75,1009:469:4,0.07,1,0.17333333333333,0.38050898203593,1,1,1
Acanthopagrus,berda,9.25,99.25,1009:499:1,0.16,1,0.4,0.39724550898204,1,1,1
Acanthopagrus,berda,9.25,99.75,1009:499:2,0.14,1,0.37333333333333,0.38523952095808,1,1,1
Acanthopagrus,berda,9.75,99.75,1009:499:4,0.14,1,0.37333333333333,0.38523952095808,1,1,1
Acanthopagrus,berda,0.25,103.75,1010:103:2,0.01,1,0.34666666666667,0.033083832335329,0.84650735294118,1,1
Acanthopagrus,berda,0.75,103.75,1010:103:4,0.01,1,0.34666666666667,0.033083832335329,0.80376838235294,1,1
Acanthopagrus,berda,0.25,104.75,1010:104:2,0.19,1,0.64,0.30658682634731,0.98943014705882,1,1
Acanthopagrus,berda,0.75,104.25,1010:104:3,0.18,1,0.64,0.30658682634731,0.9375,1,1
Acanthopagrus,berda,1.25,102.75,1010:112:2,0.01,1,0.34666666666667,0.033083832335329,0.91590073529412,1,1
Acanthopagrus,berda,1.25,103.75,1010:113:2,0.01,1,0.34666666666667,0.033083832335329,0.67830882352941,1,1
Acanthopagrus,berda,2.75,100.25,1010:120:3,0.09,1,0.38666666666667,0.47314371257485,0.49586397058824,1,1
Acanthopagrus,berda,2.75,100.75,1010:120:4,0.10,1,0.38666666666667,0.47314371257485,0.52297794117647,1,1
Acanthopagrus,berda,2.25,101.25,1010:121:1,0.17,1,0.38666666666667,0.47314371257485,0.90487132352941,1,1
Acanthopagrus,berda,3.25,101.25,1010:131:1,0.18,1,0.38666666666667,0.47314371257485,0.98943014705882,1,1
Acanthopagrus,berda,3.75,101.25,1010:131:3,0.18,1,0.38666666666667,0.47314371257485,0.97702205882353,1,1
Acanthopagrus,berda,4.25,104.25,1010:144:1,0.09,0.10526315789474,1,0.85446107784431,1,1,1
Acanthopagrus,berda,4.75,104.75,1010:144:4,0.10,0.10526315789474,1,0.94455089820359,1,1,1
Acanthopagrus,berda,2.25,107.25,1010:227:1,0.05,0.052631578947368,1,0.92895209580838,1,1,1
Acanthopagrus,berda,2.75,108.25,1010:228:3,0.10,0.10526315789474,1,0.95185628742515,1,1,1
Acanthopagrus,berda,3.25,105.25,1010:235:1,0.10,0.10526315789474,1,0.9364371257485,1,1,1
Acanthopagrus,berda,3.25,109.75,1010:239:2,0.04,0.052631578947368,1,0.85362275449102,1,1,1
Acanthopagrus,berda,5.75,100.25,1010:350:3,0.15,1,0.36,0.45080838323353,0.93795955882353,1,1
Acanthopagrus,berda,6.75,100.25,1010:360:3,0.13,1,0.34666666666667,0.3715868263473,1,1,1
Acanthopagrus,berda,6.75,101.25,1010:361:3,0.13,1,0.34666666666667,0.3715868263473,1,1,1
Acanthopagrus,berda,6.25,104.25,1010:364:1,0.04,0.052631578947368,1,0.80601796407186,1,1,1
Acanthopagrus,berda,7.25,103.25,1010:373:1,0.11,0.15789473684211,1,0.72823353293413,1,1,1
Acanthopagrus,berda,8.25,100.25,1010:380:1,0.16,1,0.4,0.39724550898204,1,1,1
Acanthopagrus,berda,5.75,105.25,1010:455:3,0.19,0.26315789473684,1,0.83769461077844,0.88433734939759,1,1
Acanthopagrus,berda,5.25,106.75,1010:456:2,0.16,0.21052631578947,1,0.84724550898203,0.90120481927711,1,1
Acanthopagrus,berda,5.75,106.25,1010:456:3,0.11,0.15789473684211,1,0.84724550898203,0.80722891566265,1,1
