Mapping parameters for Acanthopagrus latus (Yellowfin seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,34,15,105,137

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,17.5,23.57,26.42,30.62
Salinity (psu),1,32.45,33.52,34.52,35.02
Primary Production,1,429,499,1488,2163
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,8,97,269
 

Map data (HSPEC) for predicted occurrences (n = 3221): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Acanthopagrus,latus,2.25,73.25,1007:123:1,0.04,1,0.039999999999999,1,1,1,1
Acanthopagrus,latus,2.25,73.75,1007:123:2,0.03,1,0.039999999999999,1,0.8027079303675,1,1
Acanthopagrus,latus,2.75,73.25,1007:123:3,0.04,1,0.039999999999999,1,1,1,1
Acanthopagrus,latus,2.75,73.75,1007:123:4,0.04,1,0.039999999999999,1,0.97872340425532,1,1
Acanthopagrus,latus,3.25,72.75,1007:132:2,0.10,1,0.1,1,1,1,1
Acanthopagrus,latus,3.75,72.75,1007:132:4,0.10,1,0.1,1,1,1,1
Acanthopagrus,latus,3.25,73.25,1007:133:1,0.14,1,0.14,1,1,1,1
Acanthopagrus,latus,3.25,73.75,1007:133:2,0.14,1,0.14,1,1,1,1
Acanthopagrus,latus,3.75,73.25,1007:133:3,0.14,1,0.14,1,1,1,1
Acanthopagrus,latus,3.75,73.75,1007:133:4,0.12,1,0.14,1,0.87040618955513,1,1
Acanthopagrus,latus,4.25,72.75,1007:142:2,0.10,1,0.1,1,1,1,1
Acanthopagrus,latus,4.75,72.75,1007:142:4,0.09,1,0.1,1,0.92649903288201,1,1
Acanthopagrus,latus,4.25,73.25,1007:143:1,0.18,1,0.18,1,1,1,1
Acanthopagrus,latus,4.25,73.75,1007:143:2,0.18,1,0.18,1,1,1,1
Acanthopagrus,latus,4.75,73.25,1007:143:3,0.18,1,0.18,1,1,1,1
Acanthopagrus,latus,4.75,73.75,1007:143:4,0.16,1,0.18,1,0.88974854932302,1,1
Acanthopagrus,latus,5.25,72.75,1007:352:2,0.12,1,0.12,1,1,1,1
Acanthopagrus,latus,5.75,72.75,1007:352:4,0.12,1,0.12,1,1,1,1
Acanthopagrus,latus,6.25,72.75,1007:362:2,0.16,1,0.16,1,1,1,1
Acanthopagrus,latus,6.75,72.75,1007:362:4,0.16,1,0.16,1,1,1,1
Acanthopagrus,latus,7.25,72.75,1007:372:2,0.17,1,0.2,1,0.85493230174081,1,1
