Mapping parameters for Acipenser transmontanus (White sturgeon)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,58,24,-163,-107

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,13,60,122
Temperature (°C),1,3.56,10.17,15.52,22.56
Salinity (psu),1,27.99,30.27,33.47,36.47
Primary Production,1,221.5,1438,2662,3537.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,3,75,240
 

Map data (HSPEC) for predicted occurrences (n = 261): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acipenser,transmontanus,24.75,-112.25,7211:142:3,0.01
Acipenser,transmontanus,25.25,-112.25,7211:352:1,0.02
Acipenser,transmontanus,25.25,-112.75,7211:352:2,0.02
Acipenser,transmontanus,25.75,-112.25,7211:352:3,0.03
Acipenser,transmontanus,25.75,-112.75,7211:352:4,0.02
Acipenser,transmontanus,25.75,-113.25,7211:353:3,0.04
Acipenser,transmontanus,26.25,-112.25,7211:362:1,0.02
Acipenser,transmontanus,26.25,-112.75,7211:362:2,0.02
Acipenser,transmontanus,26.75,-112.75,7211:362:4,0.02
Acipenser,transmontanus,26.25,-113.25,7211:363:1,0.10
Acipenser,transmontanus,26.25,-113.75,7211:363:2,0.08
Acipenser,transmontanus,26.75,-113.25,7211:363:3,0.19
Acipenser,transmontanus,26.75,-113.75,7211:363:4,0.17
Acipenser,transmontanus,26.75,-114.25,7211:364:3,0.18
Acipenser,transmontanus,27.25,-113.75,7211:373:2,0.17
Acipenser,transmontanus,27.75,-113.75,7211:373:4,0.01
Acipenser,transmontanus,28.75,-113.25,7211:383:3,0.07
Acipenser,transmontanus,28.75,-113.75,7211:383:4,0.01
Acipenser,transmontanus,29.25,-114.75,7211:394:2,0.17
Acipenser,transmontanus,29.75,-114.25,7211:394:3,0.10
Acipenser,transmontanus,28.25,-115.25,7211:485:1,0.14
Acipenser,transmontanus,28.75,-118.25,7211:488:3,0.11
Acipenser,transmontanus,29.25,-118.25,7211:498:1,0.12
Acipenser,transmontanus,30.25,-113.25,7311:103:1,0.01
Acipenser,transmontanus,30.75,-113.25,7311:103:3,0.01
Acipenser,transmontanus,30.75,-113.75,7311:103:4,0.01
Acipenser,transmontanus,30.25,-114.25,7311:104:1,0.01
Acipenser,transmontanus,30.25,-114.75,7311:104:2,0.01
Acipenser,transmontanus,30.75,-114.25,7311:104:3,0.01
Acipenser,transmontanus,30.75,-114.75,7311:104:4,0.01
Acipenser,transmontanus,31.25,-113.25,7311:113:1,0.01
Acipenser,transmontanus,31.25,-113.75,7311:113:2,0.01
Acipenser,transmontanus,31.75,-113.75,7311:113:4,0.01
Acipenser,transmontanus,31.25,-114.25,7311:114:1,0.01
Acipenser,transmontanus,31.25,-114.75,7311:114:2,0.01
Acipenser,transmontanus,31.75,-114.25,7311:114:3,0.01
Acipenser,transmontanus,31.75,-114.75,7311:114:4,0.01
Acipenser,transmontanus,40.25,-124.75,7412:104:2,0.11
Acipenser,transmontanus,47.25,-122.75,7412:372:2,0.08
Acipenser,transmontanus,49.25,-125.25,7412:495:1,0.08
Acipenser,transmontanus,51.75,-127.25,7512:217:3,0.08
Acipenser,transmontanus,52.25,-129.75,7512:229:2,0.18
Acipenser,transmontanus,53.25,-128.75,7512:238:2,0.08
Acipenser,transmontanus,27.25,-114.75,7211:374:2,0.31
Acipenser,transmontanus,27.75,-114.25,7211:374:3,0.36
Acipenser,transmontanus,27.75,-114.75,7211:374:4,0.34
Acipenser,transmontanus,28.25,-114.25,7211:384:1,0.25
Acipenser,transmontanus,28.75,-114.75,7211:384:4,0.26
