Mapping parameters for Anguilla rostrata (American eel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 2 |  3 |  6 |  21 |  31 |  41,
Bounding Box (NSWE): ,66,7,-98,-21

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,54,211,464
Temperature (°C),1,2.56,8.06,27.83,32.03
Salinity (psu),1,18.94,28.55,36.55,37.09
Primary Production (mgC·m-3·day-1) ,1,0.08,0.13,18.39,56.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0.01,0.12
Dissolved Bottom Oxygen (mmol·m-3),0,2.1,181.79,294.09,358.8
Distance to Land (km),0,0,5,611,1713
 

Map data (HSPEC) for predicted occurrences (n = 1927): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anguilla,rostrata,60.25,-48.75,7604:208:2,0.03
Anguilla,rostrata,60.25,-48.25,7604:208:1,0.02
Anguilla,rostrata,50.25,-66.75,7506:206:2,0.08
Anguilla,rostrata,50.25,-66.25,7506:206:1,0.11
Anguilla,rostrata,50.25,-65.75,7506:205:2,0.15
Anguilla,rostrata,53.25,-60.25,7506:130:1,0.02
Anguilla,rostrata,56.25,-57.25,7505:467:1,0.08
Anguilla,rostrata,55.75,-56.75,7505:456:4,0.04
Anguilla,rostrata,55.25,-55.25,7505:455:1,0.04
Anguilla,rostrata,55.25,-54.75,7505:354:2,0.11
Anguilla,rostrata,55.25,-54.25,7505:354:1,0.11
Anguilla,rostrata,53.75,-59.25,7505:239:3,0.02
Anguilla,rostrata,53.25,-59.75,7505:239:2,0.03
Anguilla,rostrata,53.75,-58.75,7505:238:4,0.03
Anguilla,rostrata,53.75,-57.25,7505:237:3,0.02
Anguilla,rostrata,53.25,-55.25,7505:235:1,0.01
Anguilla,rostrata,52.75,-55.75,7505:225:4,0.03
Anguilla,rostrata,52.75,-55.25,7505:225:3,0.02
Anguilla,rostrata,52.25,-55.75,7505:225:2,0.04
Anguilla,rostrata,52.25,-55.25,7505:225:1,0.03
Anguilla,rostrata,51.75,-57.25,7505:217:3,0.01
Anguilla,rostrata,51.75,-56.75,7505:216:4,0.15
Anguilla,rostrata,51.75,-56.25,7505:216:3,0.11
Anguilla,rostrata,51.25,-56.25,7505:216:1,0.18
Anguilla,rostrata,51.75,-55.75,7505:215:4,0.08
Anguilla,rostrata,51.75,-55.25,7505:215:3,0.07
Anguilla,rostrata,51.25,-55.75,7505:215:2,0.19
Anguilla,rostrata,51.25,-55.25,7505:215:1,0.13
Anguilla,rostrata,50.75,-55.25,7505:205:3,0.19
Anguilla,rostrata,54.75,-53.75,7505:143:4,0.03
Anguilla,rostrata,54.75,-53.25,7505:143:3,0.09
Anguilla,rostrata,54.25,-53.25,7505:143:1,0.01
Anguilla,rostrata,54.25,-52.75,7505:142:2,0.09
Anguilla,rostrata,53.75,-52.75,7505:132:4,0.06
Anguilla,rostrata,53.75,-52.25,7505:132:3,0.11
Anguilla,rostrata,53.25,-52.75,7505:132:2,0.01
Anguilla,rostrata,53.25,-52.25,7505:132:1,0.10
Anguilla,rostrata,53.25,-51.75,7505:131:2,0.05
Anguilla,rostrata,52.75,-54.75,7505:124:4,0.01
Anguilla,rostrata,52.25,-54.75,7505:124:2,0.03
Anguilla,rostrata,52.25,-54.25,7505:124:1,0.03
Anguilla,rostrata,52.75,-53.25,7505:123:3,0.02
Anguilla,rostrata,52.25,-53.75,7505:123:2,0.05
Anguilla,rostrata,52.25,-53.25,7505:123:1,0.09
Anguilla,rostrata,52.75,-52.75,7505:122:4,0.05
Anguilla,rostrata,52.75,-52.25,7505:122:3,0.09
Anguilla,rostrata,52.25,-52.75,7505:122:2,0.12
Anguilla,rostrata,52.25,-52.25,7505:122:1,0.12
