Mapping parameters for Argopecten purpuratus (Peruvian calico scallop)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,-5,-42,-81,-70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,59,226,500
Temperature (°C),1,11.18,14.43,19.57,23.05
Salinity (psu),1,32.63,33.77,34.98,36.09
Primary Production (mgC·m-3·day-1) ,1,9.79,15.11,86.4,115.67
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,2.31,18.54,181.7,276.9
Distance to Land (km),0,1,3,133,292
 

Map data (HSPEC) for predicted occurrences (n = 161): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Argopecten,purpuratus,-8.75,-80.25,5008:380:3,0.19
Argopecten,purpuratus,-16.25,-72.75,5107:362:2,0.05
Argopecten,purpuratus,-17.25,-71.75,5107:371:2,0.15
Argopecten,purpuratus,-31.75,-71.25,5307:111:3,0.12
Argopecten,purpuratus,-37.25,-73.25,5307:373:1,0.15
Argopecten,purpuratus,-37.75,-73.25,5307:373:3,0.12
Argopecten,purpuratus,-38.25,-73.25,5307:383:1,0.01
Argopecten,purpuratus,-41.75,-73.75,5407:113:4,0.05
Argopecten,purpuratus,-41.75,-74.25,5407:114:3,0.15
Argopecten,purpuratus,-6.25,-80.25,5008:360:1,0.39
Argopecten,purpuratus,-15.75,-73.75,5107:353:4,0.23
Argopecten,purpuratus,-36.75,-72.75,5307:362:4,0.32
Argopecten,purpuratus,-38.75,-74.25,5307:384:3,0.32
Argopecten,purpuratus,-39.25,-73.75,5307:393:2,0.37
Argopecten,purpuratus,-39.75,-73.75,5307:393:4,0.28
Argopecten,purpuratus,-39.25,-74.25,5307:394:1,0.26
Argopecten,purpuratus,-39.75,-74.25,5307:394:3,0.34
Argopecten,purpuratus,-40.25,-73.75,5407:103:2,0.23
Argopecten,purpuratus,-40.25,-74.25,5407:104:1,0.36
Argopecten,purpuratus,-40.75,-74.25,5407:104:3,0.28
Argopecten,purpuratus,-41.25,-74.25,5407:114:1,0.24
Argopecten,purpuratus,-41.75,-74.75,5407:114:4,0.30
Argopecten,purpuratus,-27.25,-71.25,5207:371:1,0.59
Argopecten,purpuratus,-9.75,-79.75,5007:499:4,0.55
Argopecten,purpuratus,-6.25,-80.75,5008:360:2,0.53
Argopecten,purpuratus,-7.75,-80.75,5008:370:4,0.53
Argopecten,purpuratus,-10.75,-78.75,5107:208:4,0.52
Argopecten,purpuratus,-11.75,-78.25,5107:218:3,0.41
Argopecten,purpuratus,-14.25,-76.75,5107:246:2,0.54
Argopecten,purpuratus,-16.75,-72.25,5107:362:3,0.42
Argopecten,purpuratus,-17.75,-71.75,5107:371:4,0.49
Argopecten,purpuratus,-18.25,-71.25,5107:381:1,0.51
