Mapping parameters for Caranx sexfasciatus (Bigeye trevally)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,32,-36,25,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,15,71,146
Temperature (°C),1,17.52,24.68,28.85,33.05
Salinity (psu),1,21.09,32.74,35.26,38.83
Primary Production (mgC·m-3·day-1) ,1,0.13,2.29,18.37,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.21,101.04,203.7,275.59
Distance to Land (km),0,0,16,1564,2286
 

Map data (HSPEC) for predicted occurrences (n = 6354): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caranx,sexfasciatus,31.25,-116.25,7311:216:1,0.06
Caranx,sexfasciatus,30.25,-115.75,7311:205:2,0.10
Caranx,sexfasciatus,28.25,-178.25,7217:488:1,0.18
Caranx,sexfasciatus,28.75,-176.75,7217:486:4,0.01
Caranx,sexfasciatus,28.25,-175.75,7217:485:2,0.10
Caranx,sexfasciatus,27.75,-175.75,7217:475:4,0.19
Caranx,sexfasciatus,26.75,-176.25,7217:466:3,0.17
Caranx,sexfasciatus,23.25,-163.25,7216:133:1,0.17
Caranx,sexfasciatus,23.25,-162.75,7216:132:2,0.18
Caranx,sexfasciatus,23.25,-162.25,7216:132:1,0.19
Caranx,sexfasciatus,22.75,-162.25,7216:122:3,0.17
Caranx,sexfasciatus,21.75,-160.75,7216:110:4,0.19
Caranx,sexfasciatus,20.75,-157.25,7215:207:3,0.15
Caranx,sexfasciatus,29.25,-118.25,7211:498:1,0.08
Caranx,sexfasciatus,29.75,-115.25,7211:495:3,0.15
Caranx,sexfasciatus,28.75,-118.25,7211:488:3,0.12
Caranx,sexfasciatus,28.75,-115.25,7211:485:3,0.02
Caranx,sexfasciatus,28.25,-115.75,7211:485:2,0.09
Caranx,sexfasciatus,28.25,-115.25,7211:485:1,0.09
Caranx,sexfasciatus,27.75,-115.25,7211:475:3,0.11
Caranx,sexfasciatus,28.75,-114.75,7211:384:4,0.05
Caranx,sexfasciatus,28.25,-114.75,7211:384:2,0.11
Caranx,sexfasciatus,28.25,-114.25,7211:384:1,0.13
Caranx,sexfasciatus,28.75,-113.75,7211:383:4,0.06
Caranx,sexfasciatus,27.75,-114.75,7211:374:4,0.15
Caranx,sexfasciatus,27.25,-114.75,7211:374:2,0.16
Caranx,sexfasciatus,27.75,-113.75,7211:373:4,0.04
Caranx,sexfasciatus,25.25,-113.25,7211:353:1,0.12
Caranx,sexfasciatus,25.25,-110.25,7211:350:1,0.01
Caranx,sexfasciatus,24.75,-115.75,7211:245:4,0.04
Caranx,sexfasciatus,23.25,-110.75,7211:130:2,0.13
Caranx,sexfasciatus,25.75,-108.75,7210:458:4,0.13
Caranx,sexfasciatus,25.25,-107.75,7210:457:2,0.07
Caranx,sexfasciatus,17.75,-102.75,7110:372:4,0.03
Caranx,sexfasciatus,16.25,-93.75,7109:363:2,0.06
Caranx,sexfasciatus,14.75,-94.25,7109:144:3,0.19
Caranx,sexfasciatus,1.25,-91.75,7009:111:2,0.07
Caranx,sexfasciatus,8.25,-77.75,7007:487:2,0.05
Caranx,sexfasciatus,2.25,-78.25,7007:228:1,0.05
Caranx,sexfasciatus,1.75,-78.25,7007:218:3,0.05
Caranx,sexfasciatus,0.25,-79.75,7007:209:2,0.05
Caranx,sexfasciatus,-30.75,-178.25,5317:208:3,0.11
Caranx,sexfasciatus,-30.25,-178.25,5317:208:1,0.16
