Mapping parameters for Chamelea gallina (Striped venus clam)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,7,16,25
Temperature (°C),1,0.8,10.22,19.5,26.86
Salinity (psu),1,11.29,19.56,37.76,39.25
Primary Production (mgC·m-3·day-1) ,1,0.26,1.26,19.11,96.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,0,216.17,294.22,341.78
Distance to Land (km),0,0,5,172,317
 

Map data (HSPEC) for predicted occurrences (n = 1318): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chamelea,gallina,32.75,14.75,1301:124:4,0.17
Chamelea,gallina,33.75,11.75,1301:131:4,0.06
Chamelea,gallina,34.25,11.25,1301:141:1,0.10
Chamelea,gallina,34.75,12.25,1301:142:3,0.10
Chamelea,gallina,31.25,16.75,1301:216:2,0.17
Chamelea,gallina,31.25,17.25,1301:217:1,0.17
Chamelea,gallina,31.25,17.75,1301:217:2,0.18
Chamelea,gallina,31.75,19.75,1301:219:4,0.16
Chamelea,gallina,32.25,15.25,1301:225:1,0.17
Chamelea,gallina,32.25,15.75,1301:225:2,0.02
Chamelea,gallina,32.25,19.75,1301:229:2,0.16
Chamelea,gallina,35.75,11.75,1301:351:4,0.03
Chamelea,gallina,36.25,11.25,1301:361:1,0.10
Chamelea,gallina,38.75,14.75,1301:384:4,0.19
Chamelea,gallina,39.75,15.25,1301:495:3,0.06
Chamelea,gallina,39.75,15.75,1301:495:4,0.14
Chamelea,gallina,39.75,18.25,1301:498:3,0.15
Chamelea,gallina,39.25,19.75,1301:499:2,0.19
Chamelea,gallina,32.25,20.25,1302:120:1,0.15
Chamelea,gallina,32.75,20.25,1302:120:3,0.12
Chamelea,gallina,32.75,20.75,1302:120:4,0.12
Chamelea,gallina,32.75,21.25,1302:121:3,0.12
Chamelea,gallina,32.75,21.75,1302:121:4,0.11
Chamelea,gallina,32.75,22.25,1302:122:3,0.09
Chamelea,gallina,32.75,22.75,1302:122:4,0.08
Chamelea,gallina,32.25,23.25,1302:123:1,0.08
Chamelea,gallina,32.25,23.75,1302:123:2,0.07
Chamelea,gallina,32.75,23.25,1302:123:3,0.07
Chamelea,gallina,32.25,24.25,1302:124:1,0.06
Chamelea,gallina,32.25,24.75,1302:124:2,0.05
Chamelea,gallina,34.75,24.25,1302:144:3,0.04
Chamelea,gallina,34.75,24.75,1302:144:4,0.04
Chamelea,gallina,30.75,28.75,1302:208:4,0.14
Chamelea,gallina,30.75,29.25,1302:209:3,0.12
Chamelea,gallina,31.75,25.25,1302:215:3,0.04
Chamelea,gallina,31.75,25.75,1302:215:4,0.04
Chamelea,gallina,31.25,26.75,1302:216:2,0.10
Chamelea,gallina,31.75,26.25,1302:216:3,0.04
Chamelea,gallina,31.75,26.75,1302:216:4,0.03
Chamelea,gallina,31.25,27.25,1302:217:1,0.10
Chamelea,gallina,31.25,27.75,1302:217:2,0.09
Chamelea,gallina,31.25,28.25,1302:218:1,0.08
Chamelea,gallina,31.25,28.75,1302:218:2,0.07
Chamelea,gallina,31.25,29.75,1302:219:2,0.14
Chamelea,gallina,32.25,25.25,1302:225:1,0.04
Chamelea,gallina,34.75,25.25,1302:245:3,0.04
Chamelea,gallina,34.75,26.25,1302:246:3,0.04
Chamelea,gallina,35.25,23.75,1302:353:2,0.06
Chamelea,gallina,35.25,24.25,1302:354:1,0.07
Chamelea,gallina,35.25,24.75,1302:354:2,0.08
Chamelea,gallina,35.75,24.25,1302:354:3,0.18
Chamelea,gallina,37.75,20.75,1302:370:4,0.15
Chamelea,gallina,38.25,20.25,1302:380:1,0.12
Chamelea,gallina,35.25,25.25,1302:455:1,0.08
Chamelea,gallina,35.25,25.75,1302:455:2,0.08
Chamelea,gallina,35.25,26.25,1302:456:1,0.06
Chamelea,gallina,35.25,26.75,1302:456:2,0.04
Chamelea,gallina,35.75,26.25,1302:456:3,0.07
Chamelea,gallina,35.25,27.25,1302:457:1,0.02
Chamelea,gallina,35.75,27.25,1302:457:3,0.02
Chamelea,gallina,35.75,27.75,1302:457:4,0.01
Chamelea,gallina,36.25,25.25,1302:465:1,0.13
Chamelea,gallina,36.25,25.75,1302:465:2,0.09
Chamelea,gallina,36.75,25.25,1302:465:3,0.19
Chamelea,gallina,36.75,25.75,1302:465:4,0.10
Chamelea,gallina,36.25,26.25,1302:466:1,0.06
Chamelea,gallina,36.25,26.75,1302:466:2,0.04
Chamelea,gallina,36.75,26.25,1302:466:3,0.05
Chamelea,gallina,36.75,26.75,1302:466:4,0.03
Chamelea,gallina,36.25,27.25,1302:467:1,0.02
Chamelea,gallina,36.25,27.75,1302:467:2,0.02
Chamelea,gallina,36.75,27.25,1302:467:3,0.02
Chamelea,gallina,36.75,27.75,1302:467:4,0.01
Chamelea,gallina,36.25,28.25,1302:468:1,0.01
Chamelea,gallina,36.75,28.25,1302:468:3,0.01
Chamelea,gallina,36.75,28.75,1302:468:4,0.02
Chamelea,gallina,36.25,29.25,1302:469:1,0.01
Chamelea,gallina,36.25,29.75,1302:469:2,0.01
Chamelea,gallina,36.75,29.25,1302:469:3,0.19
Chamelea,gallina,37.25,25.75,1302:475:2,0.13
Chamelea,gallina,37.75,25.75,1302:475:4,0.17
Chamelea,gallina,37.25,26.25,1302:476:1,0.07
Chamelea,gallina,37.25,26.75,1302:476:2,0.07
Chamelea,gallina,37.25,27.25,1302:477:1,0.08
Chamelea,gallina,31.25,30.25,1303:110:1,0.19
Chamelea,gallina,31.75,30.25,1303:110:3,0.15
Chamelea,gallina,31.75,32.25,1303:112:3,0.19
Chamelea,gallina,31.75,32.75,1303:112:4,0.02
Chamelea,gallina,32.75,34.75,1303:124:4,0.16
Chamelea,gallina,34.75,32.75,1303:142:4,0.01
Chamelea,gallina,34.75,33.25,1303:143:3,0.01
Chamelea,gallina,34.75,33.75,1303:143:4,0.01
Chamelea,gallina,34.75,34.25,1303:144:3,0.01
Chamelea,gallina,32.75,35.25,1303:225:3,0.16
Chamelea,gallina,33.25,35.25,1303:235:1,0.14
Chamelea,gallina,33.75,35.25,1303:235:3,0.08
Chamelea,gallina,33.75,35.75,1303:235:4,0.15
Chamelea,gallina,34.25,35.75,1303:245:2,0.11
Chamelea,gallina,34.75,35.75,1303:245:4,0.05
Chamelea,gallina,35.25,33.25,1303:353:1,0.01
Chamelea,gallina,35.25,33.75,1303:353:2,0.01
Chamelea,gallina,35.25,34.25,1303:354:1,0.01
Chamelea,gallina,35.75,34.25,1303:354:3,0.01
Chamelea,gallina,35.75,34.75,1303:354:4,0.01
Chamelea,gallina,36.25,30.75,1303:360:2,0.01
Chamelea,gallina,36.75,30.75,1303:360:4,0.02
Chamelea,gallina,36.75,31.25,1303:361:3,0.01
Chamelea,gallina,36.25,32.25,1303:362:1,0.01
Chamelea,gallina,36.25,32.75,1303:362:2,0.04
Chamelea,gallina,36.25,33.25,1303:363:1,0.04
Chamelea,gallina,36.25,33.75,1303:363:2,0.02
Chamelea,gallina,36.25,34.25,1303:364:1,0.02
Chamelea,gallina,36.75,34.75,1303:364:4,0.05
Chamelea,gallina,35.25,35.75,1303:455:2,0.04
Chamelea,gallina,35.75,35.75,1303:455:4,0.06
Chamelea,gallina,36.25,35.75,1303:465:2,0.09
Chamelea,gallina,36.75,35.25,1303:465:3,0.11
Chamelea,gallina,36.75,35.75,1303:465:4,0.10
Chamelea,gallina,40.25,9.75,1400:209:2,0.16
Chamelea,gallina,40.75,9.75,1400:209:4,0.19
Chamelea,gallina,41.25,9.75,1400:219:2,0.19
Chamelea,gallina,42.25,9.75,1400:229:2,0.12
Chamelea,gallina,43.25,6.75,1400:236:2,0.13
Chamelea,gallina,43.25,9.25,1400:239:1,0.11
Chamelea,gallina,43.25,9.75,1400:239:2,0.13
Chamelea,gallina,44.25,8.75,1400:248:2,0.10
Chamelea,gallina,44.25,9.25,1400:249:1,0.11
Chamelea,gallina,40.75,12.75,1401:102:4,0.14
Chamelea,gallina,40.75,13.25,1401:103:3,0.18
Chamelea,gallina,42.25,10.25,1401:120:1,0.09
Chamelea,gallina,42.25,10.75,1401:120:2,0.10
Chamelea,gallina,42.75,10.25,1401:120:3,0.10
Chamelea,gallina,40.25,17.75,1401:207:2,0.13
Chamelea,gallina,45.25,12.25,1401:352:1,0.19
Chamelea,gallina,44.75,28.75,1402:248:4,0.04
Chamelea,gallina,44.75,29.25,1402:249:3,0.02
Chamelea,gallina,44.75,29.75,1402:249:4,0.06
Chamelea,gallina,45.25,29.75,1402:459:2,0.05
Chamelea,gallina,43.75,39.25,1403:239:3,0.16
Chamelea,gallina,45.75,31.25,1403:351:3,0.18
Chamelea,gallina,45.75,31.75,1403:351:4,0.18
Chamelea,gallina,45.75,32.25,1403:352:3,0.17
Chamelea,gallina,52.25,3.75,1500:123:2,0.19
Chamelea,gallina,54.25,0.75,1500:140:2,0.11
Chamelea,gallina,54.75,3.25,1500:143:3,0.11
Chamelea,gallina,55.25,1.75,1500:351:2,0.11
Chamelea,gallina,55.25,3.25,1500:353:1,0.11
Chamelea,gallina,38.75,1.25,1300:381:3,0.30
