Mapping parameters for Coptodon guineensis (Guinean tilapia)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34,
Bounding Box (NSWE): ,16,-12,-17,16

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,2,5,8
Temperature (°C),1,23.65,25.46,27.85,32.05
Salinity (psu),1,17.12,23.8,34.11,34.61
Primary Production (mgC·m-3·day-1) ,1,5.54,6.93,46.38,75.45
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,102.89,186.65,214.55,230.55
Distance to Land (km),0,0,1,24,44.5
 

Map data (HSPEC) for predicted occurrences (n = 154): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Coptodon,guineensis,-5.75,11.75,3001:351:4,0.06
Coptodon,guineensis,-6.25,12.25,3001:362:1,0.06
Coptodon,guineensis,-10.75,13.75,3101:103:4,0.01
Coptodon,guineensis,4.75,-1.25,7000:141:3,0.07
Coptodon,guineensis,8.25,-13.75,7001:383:2,0.12
Coptodon,guineensis,15.25,-16.75,7101:456:2,0.11
Coptodon,guineensis,1.25,9.25,1000:219:1,0.34
Coptodon,guineensis,-10.25,13.75,3101:103:2,0.22
Coptodon,guineensis,5.25,-0.25,7000:350:1,0.21
Coptodon,guineensis,5.25,-0.75,7000:350:2,0.26
Coptodon,guineensis,7.75,-13.25,7001:373:3,0.33
Coptodon,guineensis,4.75,8.75,1000:248:4,0.51
Coptodon,guineensis,-5.25,11.75,3001:351:2,0.58
Coptodon,guineensis,-8.25,13.25,3001:383:1,0.56
Coptodon,guineensis,-8.75,13.25,3001:383:3,0.42
Coptodon,guineensis,-9.25,13.25,3001:393:1,0.53
Coptodon,guineensis,-9.75,13.25,3001:393:3,0.56
Coptodon,guineensis,-10.25,13.25,3101:103:1,0.51
Coptodon,guineensis,4.75,-1.75,7000:141:4,0.42
Coptodon,guineensis,4.75,-3.25,7000:143:3,0.43
Coptodon,guineensis,10.75,-16.25,7101:206:3,0.50
Coptodon,guineensis,11.25,-16.75,7101:216:2,0.51
Coptodon,guineensis,14.25,-16.75,7101:246:2,0.57
Coptodon,guineensis,0.75,9.25,1000:209:3,0.65
Coptodon,guineensis,3.25,9.75,1000:239:2,0.79
Coptodon,guineensis,4.75,7.75,1000:247:4,0.78
Coptodon,guineensis,-1.25,5.75,3000:215:2,0.76
Coptodon,guineensis,-6.75,12.25,3001:362:3,0.65
Coptodon,guineensis,-7.25,12.75,3001:372:2,0.77
Coptodon,guineensis,-7.75,13.25,3001:373:3,0.65
Coptodon,guineensis,4.75,-2.75,7000:142:4,0.76
Coptodon,guineensis,4.75,-5.75,7000:245:4,0.69
Coptodon,guineensis,4.75,-6.25,7000:246:3,0.60
Coptodon,guineensis,4.75,-6.75,7000:246:4,0.75
Coptodon,guineensis,5.25,-1.25,7000:351:1,0.69
Coptodon,guineensis,5.25,-4.25,7000:354:1,0.63
Coptodon,guineensis,6.25,-11.25,7001:361:1,0.67
Coptodon,guineensis,9.25,-14.25,7001:394:1,0.64
Coptodon,guineensis,9.75,-14.75,7001:394:4,0.72
Coptodon,guineensis,0.25,9.25,1000:209:1,1.00
Coptodon,guineensis,0.25,9.75,1000:209:2,1.00
Coptodon,guineensis,0.75,9.75,1000:209:4,1.00
Coptodon,guineensis,1.25,9.75,1000:219:2,1.00
Coptodon,guineensis,1.75,9.75,1000:219:4,1.00
Coptodon,guineensis,2.25,9.75,1000:229:2,0.88
Coptodon,guineensis,2.75,9.75,1000:229:4,0.87
Coptodon,guineensis,3.75,9.25,1000:239:3,0.86
Coptodon,guineensis,3.75,9.75,1000:239:4,0.88
Coptodon,guineensis,4.25,5.25,1000:245:1,0.95
Coptodon,guineensis,4.25,5.75,1000:245:2,0.96
Coptodon,guineensis,4.75,5.25,1000:245:3,0.95
Coptodon,guineensis,4.75,5.75,1000:245:4,0.97
Coptodon,guineensis,4.25,6.25,1000:246:1,0.98
Coptodon,guineensis,4.25,6.75,1000:246:2,0.99
Coptodon,guineensis,4.25,7.25,1000:247:1,0.99
Coptodon,guineensis,4.25,9.25,1000:249:1,0.91
Coptodon,guineensis,4.25,9.75,1000:249:2,0.97
Coptodon,guineensis,5.75,0.25,1000:350:3,1.00
Coptodon,guineensis,5.75,0.75,1000:350:4,1.00
Coptodon,guineensis,5.75,1.25,1000:351:3,1.00
Coptodon,guineensis,5.75,4.75,1000:354:4,0.95
Coptodon,guineensis,6.25,1.25,1000:361:1,1.00
Coptodon,guineensis,6.25,1.75,1000:361:2,1.00
Coptodon,guineensis,6.25,2.25,1000:362:1,1.00
Coptodon,guineensis,6.25,2.75,1000:362:2,1.00
Coptodon,guineensis,6.25,3.25,1000:363:1,0.99
Coptodon,guineensis,6.25,3.75,1000:363:2,0.97
Coptodon,guineensis,6.75,3.25,1000:363:3,1.00
Coptodon,guineensis,6.25,4.25,1000:364:1,0.96
Coptodon,guineensis,6.25,4.75,1000:364:2,0.98
Coptodon,guineensis,5.25,5.25,1000:455:1,0.97
Coptodon,guineensis,5.75,5.25,1000:455:3,0.99
Coptodon,guineensis,-0.75,8.75,3000:208:4,1.00
Coptodon,guineensis,-0.25,9.25,3000:209:1,1.00
Coptodon,guineensis,-0.75,9.25,3000:209:3,1.00
Coptodon,guineensis,-1.25,8.75,3000:218:2,1.00
Coptodon,guineensis,-1.25,9.25,3000:219:1,1.00
Coptodon,guineensis,-1.75,9.25,3000:219:3,1.00
Coptodon,guineensis,-2.25,9.25,3000:229:1,1.00
Coptodon,guineensis,-2.25,9.75,3000:229:2,1.00
Coptodon,guineensis,-2.75,9.25,3000:229:3,1.00
Coptodon,guineensis,-2.75,9.75,3000:229:4,1.00
Coptodon,guineensis,-2.75,10.25,3001:120:3,1.00
Coptodon,guineensis,-3.25,10.25,3001:130:1,1.00
Coptodon,guineensis,-3.25,10.75,3001:130:2,1.00
Coptodon,guineensis,-3.75,10.75,3001:130:4,1.00
Coptodon,guineensis,-3.75,11.25,3001:131:3,1.00
Coptodon,guineensis,-4.25,11.25,3001:141:1,1.00
Coptodon,guineensis,-4.25,11.75,3001:141:2,1.00
Coptodon,guineensis,-4.75,11.75,3001:141:4,1.00
Coptodon,guineensis,-4.75,12.25,3001:142:3,1.00
Coptodon,guineensis,-5.25,12.25,3001:352:1,1.00
Coptodon,guineensis,-5.75,12.25,3001:352:3,0.95
Coptodon,guineensis,-6.75,11.75,3001:361:4,1.00
Coptodon,guineensis,-6.25,12.75,3001:362:2,0.87
Coptodon,guineensis,-6.75,12.75,3001:362:4,0.82
Coptodon,guineensis,-7.75,12.75,3001:372:4,0.80
Coptodon,guineensis,4.75,-2.25,7000:142:3,1.00
Coptodon,guineensis,4.25,-7.25,7000:247:1,1.00
Coptodon,guineensis,4.25,-7.75,7000:247:2,1.00
Coptodon,guineensis,4.75,-7.25,7000:247:3,1.00
Coptodon,guineensis,4.75,-7.75,7000:247:4,1.00
Coptodon,guineensis,4.25,-8.25,7000:248:1,0.98
Coptodon,guineensis,4.75,-8.25,7000:248:3,1.00
Coptodon,guineensis,4.75,-8.75,7000:248:4,1.00
Coptodon,guineensis,5.75,-0.25,7000:350:3,1.00
Coptodon,guineensis,5.25,-1.75,7000:351:2,0.87
Coptodon,guineensis,5.25,-2.75,7000:352:2,1.00
Coptodon,guineensis,5.25,-3.25,7000:353:1,1.00
Coptodon,guineensis,5.25,-3.75,7000:353:2,0.99
Coptodon,guineensis,5.25,-4.75,7000:354:2,0.85
Coptodon,guineensis,5.25,-5.25,7000:455:1,0.88
Coptodon,guineensis,5.25,-5.75,7000:455:2,0.91
Coptodon,guineensis,5.25,-9.25,7000:459:1,1.00
Coptodon,guineensis,5.25,-9.75,7000:459:2,0.98
Coptodon,guineensis,5.75,-9.75,7000:459:4,1.00
Coptodon,guineensis,5.75,-10.25,7001:350:3,1.00
Coptodon,guineensis,6.25,-10.25,7001:360:1,1.00
Coptodon,guineensis,6.25,-10.75,7001:360:2,1.00
Coptodon,guineensis,6.75,-10.75,7001:360:4,1.00
Coptodon,guineensis,6.75,-11.25,7001:361:3,1.00
Coptodon,guineensis,6.75,-11.75,7001:361:4,1.00
Coptodon,guineensis,7.25,-11.75,7001:371:2,1.00
Coptodon,guineensis,7.25,-12.25,7001:372:1,1.00
Coptodon,guineensis,7.25,-12.75,7001:372:2,1.00
Coptodon,guineensis,7.75,-12.75,7001:372:4,1.00
Coptodon,guineensis,8.25,-12.75,7001:382:2,1.00
Coptodon,guineensis,8.25,-13.25,7001:383:1,1.00
Coptodon,guineensis,8.75,-13.25,7001:383:3,1.00
Coptodon,guineensis,8.75,-13.75,7001:383:4,1.00
Coptodon,guineensis,9.25,-13.25,7001:393:1,1.00
Coptodon,guineensis,9.25,-13.75,7001:393:2,1.00
