Mapping parameters for Coregonus lavaretus (European whitefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,73,40,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,1.18,6.22,10.76,18.53
Salinity (psu),1,3.56,5.63,34.97,38.07
Primary Production,1,448,658,2006,2507.5
Sea Ice Concentration,1,-0.95,0.01,0.109999999403954,0.33
Distance to Land (km),0,0,1,57,291
 

Map data (HSPEC) for predicted occurrences (n = 1453): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Coregonus,lavaretus,41.25,2.25,1400:112:1,0.01,,,,,,
Coregonus,lavaretus,42.25,3.25,1400:123:1,0.01,,,,,,
Coregonus,lavaretus,42.75,3.25,1400:123:3,0.01,,,,,,
Coregonus,lavaretus,43.25,3.25,1400:133:1,0.01,,,,,,
Coregonus,lavaretus,43.25,3.75,1400:133:2,0.02,,,,,,
Coregonus,lavaretus,43.75,3.75,1400:133:4,0.02,,,,,,
Coregonus,lavaretus,43.25,4.25,1400:134:1,0.01,,,,,,
Coregonus,lavaretus,43.25,4.75,1400:134:2,0.01,,,,,,
Coregonus,lavaretus,43.75,4.25,1400:134:3,0.01,,,,,,
Coregonus,lavaretus,43.25,5.25,1400:235:1,0.01,,,,,,
Coregonus,lavaretus,43.75,12.75,1401:132:4,0.01,,,,,,
Coregonus,lavaretus,43.75,13.25,1401:133:3,0.04,,,,,,
Coregonus,lavaretus,43.75,13.75,1401:133:4,0.04,,,,,,
Coregonus,lavaretus,44.25,12.25,1401:142:1,0.03,,,,,,
Coregonus,lavaretus,44.25,12.75,1401:142:2,0.03,,,,,,
Coregonus,lavaretus,44.75,12.25,1401:142:3,0.03,,,,,,
Coregonus,lavaretus,44.75,12.75,1401:142:4,0.03,,,,,,
Coregonus,lavaretus,44.25,13.25,1401:143:1,0.04,,,,,,
Coregonus,lavaretus,44.75,13.75,1401:143:4,0.02,,,,,,
Coregonus,lavaretus,45.25,12.25,1401:352:1,0.04,,,,,,
Coregonus,lavaretus,45.25,12.75,1401:352:2,0.04,,,,,,
Coregonus,lavaretus,45.75,12.25,1401:352:3,0.01,,,,,,
Coregonus,lavaretus,45.75,12.75,1401:352:4,0.02,,,,,,
Coregonus,lavaretus,45.25,13.25,1401:353:1,0.04,,,,,,
Coregonus,lavaretus,45.25,13.75,1401:353:2,0.04,,,,,,
Coregonus,lavaretus,45.75,13.25,1401:353:3,0.02,,,,,,
Coregonus,lavaretus,40.25,24.25,1402:104:1,0.01,,,,,,
Coregonus,lavaretus,40.75,24.25,1402:104:3,0.01,,,,,,
