Mapping parameters for Crassostrea virginica (American cupped oyster)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  37 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,40,79
Temperature (°C),1,2.66,8.47,26.95,31.15
Salinity (psu),1,18.94,26.85,36.16,38.51
Primary Production (mgC·m-3·day-1) ,1,0.2,1.2,34.51,56.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0.02,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,133.17,201.78,306.62,358.8
Distance to Land (km),0,0,3,85,346
 

Map data (HSPEC) for predicted occurrences (n = 2822): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Crassostrea,virginica,39.25,2.25,1300:392:1,0.09
Crassostrea,virginica,39.25,3.25,1300:393:1,0.19
Crassostrea,virginica,39.75,3.25,1300:393:3,0.16
Crassostrea,virginica,39.75,3.75,1300:393:4,0.18
Crassostrea,virginica,37.75,8.75,1300:478:4,0.16
Crassostrea,virginica,37.75,9.25,1300:479:3,0.17
Crassostrea,virginica,38.75,8.25,1300:488:3,0.11
Crassostrea,virginica,38.75,8.75,1300:488:4,0.15
Crassostrea,virginica,38.75,9.25,1300:489:3,0.11
Crassostrea,virginica,39.25,8.25,1300:498:1,0.14
Crassostrea,virginica,39.25,8.75,1300:498:2,0.16
Crassostrea,virginica,39.75,8.25,1300:498:3,0.15
Crassostrea,virginica,39.75,8.75,1300:498:4,0.18
Crassostrea,virginica,39.25,9.25,1300:499:1,0.18
Crassostrea,virginica,39.25,9.75,1300:499:2,0.16
Crassostrea,virginica,39.75,9.75,1300:499:4,0.15
Crassostrea,virginica,32.75,12.75,1301:122:4,0.17
Crassostrea,virginica,32.75,13.25,1301:123:3,0.14
Crassostrea,virginica,32.75,13.75,1301:123:4,0.11
Crassostrea,virginica,32.25,14.75,1301:124:2,0.10
Crassostrea,virginica,32.75,14.25,1301:124:3,0.08
Crassostrea,virginica,32.75,14.75,1301:124:4,0.05
Crassostrea,virginica,33.75,10.25,1301:130:3,0.15
Crassostrea,virginica,33.75,10.75,1301:130:4,0.19
Crassostrea,virginica,33.25,11.75,1301:131:2,0.18
Crassostrea,virginica,33.75,11.25,1301:131:3,0.17
Crassostrea,virginica,33.75,11.75,1301:131:4,0.13
Crassostrea,virginica,33.25,12.25,1301:132:1,0.12
Crassostrea,virginica,33.25,12.75,1301:132:2,0.11
Crassostrea,virginica,33.75,12.25,1301:132:3,0.10
Crassostrea,virginica,33.75,12.75,1301:132:4,0.06
Crassostrea,virginica,33.25,13.25,1301:133:1,0.15
Crassostrea,virginica,33.25,13.75,1301:133:2,0.05
Crassostrea,virginica,34.25,10.25,1301:140:1,0.15
Crassostrea,virginica,34.25,10.75,1301:140:2,0.19
Crassostrea,virginica,34.75,10.25,1301:140:3,0.03
Crassostrea,virginica,34.25,11.25,1301:141:1,0.15
Crassostrea,virginica,34.25,11.75,1301:141:2,0.12
Crassostrea,virginica,34.75,11.75,1301:141:4,0.17
Crassostrea,virginica,34.25,12.25,1301:142:1,0.07
Crassostrea,virginica,34.75,12.25,1301:142:3,0.14
Crassostrea,virginica,34.75,12.75,1301:142:4,0.11
Crassostrea,virginica,34.75,13.25,1301:143:3,0.01
Crassostrea,virginica,30.75,18.75,1301:208:4,0.13
Crassostrea,virginica,31.25,15.75,1301:215:2,0.17
Crassostrea,virginica,31.75,15.25,1301:215:3,0.13
Crassostrea,virginica,31.75,15.75,1301:215:4,0.10
Crassostrea,virginica,31.25,16.25,1301:216:1,0.12
Crassostrea,virginica,31.25,16.75,1301:216:2,0.06
Crassostrea,virginica,31.75,16.25,1301:216:3,0.03
Crassostrea,virginica,31.25,17.25,1301:217:1,0.06
Crassostrea,virginica,31.25,17.75,1301:217:2,0.07
Crassostrea,virginica,31.25,18.25,1301:218:1,0.05
Crassostrea,virginica,31.25,19.75,1301:219:2,0.11
Crassostrea,virginica,31.75,19.75,1301:219:4,0.04
Crassostrea,virginica,32.25,15.25,1301:225:1,0.04
Crassostrea,virginica,32.25,15.75,1301:225:2,0.03
Crassostrea,virginica,32.25,19.75,1301:229:2,0.02
Crassostrea,virginica,35.25,10.75,1301:350:2,0.08
Crassostrea,virginica,35.25,11.75,1301:351:2,0.18
Crassostrea,virginica,35.75,11.75,1301:351:4,0.16
Crassostrea,virginica,35.25,12.25,1301:352:1,0.16
Crassostrea,virginica,35.25,12.75,1301:352:2,0.13
Crassostrea,virginica,35.75,12.25,1301:352:3,0.15
Crassostrea,virginica,35.75,12.75,1301:352:4,0.13
Crassostrea,virginica,35.25,13.25,1301:353:1,0.05
Crassostrea,virginica,35.75,14.25,1301:354:3,0.14
Crassostrea,virginica,35.75,14.75,1301:354:4,0.14
Crassostrea,virginica,36.25,10.25,1301:360:1,0.11
Crassostrea,virginica,36.25,11.25,1301:361:1,0.15
Crassostrea,virginica,36.75,11.25,1301:361:3,0.16
Crassostrea,virginica,36.75,11.75,1301:361:4,0.15
Crassostrea,virginica,36.75,12.25,1301:362:3,0.15
Crassostrea,virginica,36.75,12.75,1301:362:4,0.08
Crassostrea,virginica,36.25,14.25,1301:364:1,0.17
Crassostrea,virginica,36.25,14.75,1301:364:2,0.02
Crassostrea,virginica,36.75,14.75,1301:364:4,0.19
Crassostrea,virginica,37.75,10.25,1301:370:3,0.04
Crassostrea,virginica,37.75,10.75,1301:370:4,0.05
Crassostrea,virginica,37.25,11.25,1301:371:1,0.16
Crassostrea,virginica,37.25,11.75,1301:371:2,0.03
Crassostrea,virginica,37.75,11.75,1301:371:4,0.11
Crassostrea,virginica,37.25,12.25,1301:372:1,0.07
Crassostrea,virginica,37.25,12.75,1301:372:2,0.14
Crassostrea,virginica,37.75,12.25,1301:372:3,0.13
Crassostrea,virginica,37.75,12.75,1301:372:4,0.14
Crassostrea,virginica,37.25,13.25,1301:373:1,0.18
