Mapping parameters for Diplodus sargus (White seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47 |  51,
Bounding Box (NSWE): ,48,-36,-18,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,50,50
Temperature (°C),1,13.76,16.82,22.66,27.21
Salinity (psu),1,16.33,34.71,38.71,39.25
Primary Production (mgC·m-3·day-1) ,1,0.08,0.48,38.27,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,37.5,183.67,250.05,309.22
Distance to Land (km),0,0,5,79,594
 

Map data (HSPEC) for predicted occurrences (n = 1282): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diplodus,sargus,47.75,-4.75,7400:374:4,0.04
Diplodus,sargus,47.75,-4.25,7400:374:3,0.06
Diplodus,sargus,47.75,-3.75,7400:373:4,0.07
Diplodus,sargus,47.75,-3.25,7400:373:3,0.04
Diplodus,sargus,47.25,-3.25,7400:373:1,0.16
Diplodus,sargus,47.25,-2.75,7400:372:2,0.06
Diplodus,sargus,47.25,-2.25,7400:372:1,0.04
Diplodus,sargus,47.25,-1.75,7400:371:2,0.09
Diplodus,sargus,46.75,-1.75,7400:361:4,0.19
Diplodus,sargus,12.25,-16.25,7101:226:1,0.13
Diplodus,sargus,12.25,-15.75,7101:225:2,0.13
Diplodus,sargus,12.25,-15.25,7101:225:1,0.15
Diplodus,sargus,11.75,-16.75,7101:216:4,0.12
Diplodus,sargus,11.25,-16.75,7101:216:2,0.16
Diplodus,sargus,11.75,-15.25,7101:215:3,0.04
Diplodus,sargus,10.75,-16.25,7101:206:3,0.10
Diplodus,sargus,10.25,-16.75,7101:206:2,0.14
Diplodus,sargus,10.25,-16.25,7101:206:1,0.12
Diplodus,sargus,10.75,-15.75,7101:205:4,0.02
Diplodus,sargus,10.25,-15.75,7101:205:2,0.06
Diplodus,sargus,11.25,-14.75,7101:114:2,0.02
Diplodus,sargus,9.75,-16.25,7001:496:3,0.06
Diplodus,sargus,9.75,-15.75,7001:495:4,0.03
Diplodus,sargus,5.25,-5.75,7000:455:2,0.04
Diplodus,sargus,5.25,-5.25,7000:455:1,0.05
Diplodus,sargus,5.25,-4.75,7000:354:2,0.05
Diplodus,sargus,5.25,-4.25,7000:354:1,0.06
Diplodus,sargus,5.25,-3.75,7000:353:2,0.05
Diplodus,sargus,5.25,-3.25,7000:353:1,0.05
Diplodus,sargus,5.25,-2.75,7000:352:2,0.05
Diplodus,sargus,5.25,-1.75,7000:351:2,0.06
Diplodus,sargus,5.25,-1.25,7000:351:1,0.07
Diplodus,sargus,5.75,-0.25,7000:350:3,0.05
Diplodus,sargus,5.25,-0.75,7000:350:2,0.08
Diplodus,sargus,5.25,-0.25,7000:350:1,0.05
Diplodus,sargus,4.75,-7.25,7000:247:3,0.02
Diplodus,sargus,4.75,-6.75,7000:246:4,0.06
Diplodus,sargus,4.75,-6.25,7000:246:3,0.06
Diplodus,sargus,4.75,-5.75,7000:245:4,0.04
Diplodus,sargus,4.75,-5.25,7000:245:3,0.02
Diplodus,sargus,4.75,-2.25,7000:142:3,0.01
Diplodus,sargus,4.75,-1.75,7000:141:4,0.04
Diplodus,sargus,4.75,-1.25,7000:141:3,0.03
Diplodus,sargus,-21.25,39.75,3203:219:2,0.16
Diplodus,sargus,-21.25,35.75,3203:215:2,0.19
Diplodus,sargus,-20.25,36.25,3203:206:1,0.15
Diplodus,sargus,-20.75,35.75,3203:205:4,0.19
Diplodus,sargus,-20.75,35.25,3203:205:3,0.17
Diplodus,sargus,-20.25,35.75,3203:205:2,0.18
Diplodus,sargus,-20.25,35.25,3203:205:1,0.12
Diplodus,sargus,-20.75,34.75,3203:104:4,0.11
Diplodus,sargus,-20.25,34.75,3203:104:2,0.07
Diplodus,sargus,-29.25,16.75,3201:496:2,0.17
Diplodus,sargus,-28.75,16.75,3201:486:4,0.19
Diplodus,sargus,-28.75,16.25,3201:486:3,0.13
Diplodus,sargus,-28.25,16.25,3201:486:1,0.15
Diplodus,sargus,-28.25,15.75,3201:485:2,0.13
Diplodus,sargus,-27.75,15.75,3201:475:4,0.13
Diplodus,sargus,-27.25,15.25,3201:475:1,0.15
Diplodus,sargus,-26.75,15.25,3201:465:3,0.09
Diplodus,sargus,-26.25,15.25,3201:465:1,0.07
Diplodus,sargus,-26.25,14.75,3201:364:2,0.07
Diplodus,sargus,-25.75,14.75,3201:354:4,0.04
Diplodus,sargus,-25.25,14.75,3201:354:2,0.03
Diplodus,sargus,-24.75,14.75,3201:144:4,0.07
Diplodus,sargus,-24.25,14.75,3201:144:2,0.10
Diplodus,sargus,-24.25,14.25,3201:144:1,0.04
Diplodus,sargus,-23.75,14.75,3201:134:4,0.13
Diplodus,sargus,-23.75,14.25,3201:134:3,0.09
Diplodus,sargus,-23.25,14.75,3201:134:2,0.15
Diplodus,sargus,-23.25,14.25,3201:134:1,0.15
Diplodus,sargus,-22.75,14.75,3201:124:4,0.18
Diplodus,sargus,-22.75,14.25,3201:124:3,0.14
Diplodus,sargus,-22.25,14.25,3201:124:1,0.15
Diplodus,sargus,-15.75,40.25,3104:350:3,0.02
Diplodus,sargus,-19.75,36.25,3103:496:3,0.14
Diplodus,sargus,-19.25,36.75,3103:496:2,0.12
Diplodus,sargus,-19.25,36.25,3103:496:1,0.12
Diplodus,sargus,-19.75,35.75,3103:495:4,0.14
Diplodus,sargus,-19.75,35.25,3103:495:3,0.08
Diplodus,sargus,-19.25,35.75,3103:495:2,0.11
Diplodus,sargus,-19.25,35.25,3103:495:1,0.10
Diplodus,sargus,-18.75,37.25,3103:487:3,0.08
Diplodus,sargus,-18.25,37.25,3103:487:1,0.10
Diplodus,sargus,-18.75,36.75,3103:486:4,0.12
Diplodus,sargus,-18.75,36.25,3103:486:3,0.13
Diplodus,sargus,-18.25,36.75,3103:486:2,0.13
Diplodus,sargus,-18.75,35.75,3103:485:4,0.11
Diplodus,sargus,-17.25,39.25,3103:479:1,0.02
Diplodus,sargus,-17.25,38.75,3103:478:2,0.08
Diplodus,sargus,-17.25,38.25,3103:478:1,0.12
Diplodus,sargus,-17.75,37.75,3103:477:4,0.10
Diplodus,sargus,-17.75,37.25,3103:477:3,0.12
Diplodus,sargus,-17.25,37.75,3103:477:2,0.11
Diplodus,sargus,-17.75,36.75,3103:476:4,0.11
Diplodus,sargus,-16.75,39.75,3103:469:4,0.02
Diplodus,sargus,-16.75,39.25,3103:469:3,0.07
Diplodus,sargus,-16.25,39.75,3103:469:2,0.04
Diplodus,sargus,-19.75,34.75,3103:394:4,0.09
Diplodus,sargus,-3.25,40.25,3004:130:1,0.02
Diplodus,sargus,-2.25,41.25,3004:121:1,0.04
Diplodus,sargus,-2.75,40.75,3004:120:4,0.03
Diplodus,sargus,-2.75,40.25,3004:120:3,0.02
Diplodus,sargus,-2.25,40.75,3004:120:2,0.05
Diplodus,sargus,-1.75,41.75,3004:111:4,0.04
Diplodus,sargus,-1.75,41.25,3004:111:3,0.05
Diplodus,sargus,-1.25,41.75,3004:111:2,0.05
Diplodus,sargus,-1.75,40.75,3004:110:4,0.02
Diplodus,sargus,-0.75,41.75,3004:101:4,0.03
Diplodus,sargus,-3.25,39.75,3003:239:2,0.01
Diplodus,sargus,-6.75,12.25,3001:362:3,0.12
Diplodus,sargus,-6.25,12.25,3001:362:1,0.03
Diplodus,sargus,-6.75,11.75,3001:361:4,0.19
Diplodus,sargus,-6.25,11.75,3001:361:2,0.05
Diplodus,sargus,-5.75,12.25,3001:352:3,0.19
Diplodus,sargus,-5.25,12.25,3001:352:1,0.19
Diplodus,sargus,-5.75,11.75,3001:351:4,0.02
Diplodus,sargus,-5.25,11.75,3001:351:2,0.09
Diplodus,sargus,-4.75,12.25,3001:142:3,0.17
Diplodus,sargus,-4.75,11.75,3001:141:4,0.16
Diplodus,sargus,-4.25,11.75,3001:141:2,0.16
Diplodus,sargus,-3.75,11.25,3001:131:3,0.16
Diplodus,sargus,-3.25,10.75,3001:130:2,0.19
Diplodus,sargus,-1.25,9.25,3000:219:1,0.14
Diplodus,sargus,-1.25,8.75,3000:218:2,0.14
Diplodus,sargus,-1.25,5.75,3000:215:2,0.13
Diplodus,sargus,-0.75,9.25,3000:209:3,0.07
Diplodus,sargus,-0.25,9.25,3000:209:1,0.01
Diplodus,sargus,-0.75,8.75,3000:208:4,0.08
Diplodus,sargus,-0.25,8.75,3000:208:2,0.02
Diplodus,sargus,43.25,41.25,1404:131:1,0.14
Diplodus,sargus,43.25,40.75,1404:130:2,0.13
Diplodus,sargus,43.25,40.25,1404:130:1,0.14
Diplodus,sargus,42.75,41.75,1404:121:4,0.18
Diplodus,sargus,42.75,41.25,1404:121:3,0.14
Diplodus,sargus,42.25,41.75,1404:121:2,0.18
Diplodus,sargus,42.75,40.75,1404:120:4,0.14
Diplodus,sargus,41.75,41.75,1404:111:4,0.19
Diplodus,sargus,41.25,41.25,1404:111:1,0.16
Diplodus,sargus,41.25,40.75,1404:110:2,0.14
Diplodus,sargus,41.25,40.25,1404:110:1,0.14
Diplodus,sargus,47.25,39.25,1403:479:1,0.01
Diplodus,sargus,46.75,38.75,1403:468:4,0.01
Diplodus,sargus,46.25,38.75,1403:468:2,0.02
Diplodus,sargus,46.25,38.25,1403:468:1,0.02
Diplodus,sargus,46.75,37.25,1403:467:3,0.01
Diplodus,sargus,46.25,37.75,1403:467:2,0.02
Diplodus,sargus,46.25,37.25,1403:467:1,0.01
Diplodus,sargus,46.75,36.75,1403:466:4,0.01
Diplodus,sargus,46.25,36.75,1403:466:2,0.01
Diplodus,sargus,46.25,36.25,1403:466:1,0.01
Diplodus,sargus,46.25,35.75,1403:465:2,0.01
Diplodus,sargus,45.75,37.75,1403:457:4,0.04
Diplodus,sargus,45.75,37.25,1403:457:3,0.03
Diplodus,sargus,45.25,37.75,1403:457:2,0.06
Diplodus,sargus,45.25,37.25,1403:457:1,0.05
Diplodus,sargus,45.75,36.75,1403:456:4,0.03
Diplodus,sargus,45.75,36.25,1403:456:3,0.03
Diplodus,sargus,45.25,36.75,1403:456:2,0.05
Diplodus,sargus,45.25,36.25,1403:456:1,0.06
Diplodus,sargus,45.75,35.75,1403:455:4,0.03
Diplodus,sargus,45.75,35.25,1403:455:3,0.03
Diplodus,sargus,45.25,35.75,1403:455:2,0.06
Diplodus,sargus,45.25,35.25,1403:455:1,0.05
Diplodus,sargus,46.25,32.25,1403:362:1,0.01
Diplodus,sargus,46.25,31.75,1403:361:2,0.01
Diplodus,sargus,46.25,31.25,1403:361:1,0.01
Diplodus,sargus,46.25,30.75,1403:360:2,0.01
Diplodus,sargus,46.25,30.25,1403:360:1,0.01
Diplodus,sargus,45.25,33.75,1403:353:2,0.05
Diplodus,sargus,45.25,33.25,1403:353:1,0.08
Diplodus,sargus,45.75,32.25,1403:352:3,0.03
Diplodus,sargus,45.25,32.75,1403:352:2,0.07
Diplodus,sargus,45.75,31.75,1403:351:4,0.04
Diplodus,sargus,45.75,31.25,1403:351:3,0.04
Diplodus,sargus,45.25,31.75,1403:351:2,0.07
Diplodus,sargus,45.25,31.25,1403:351:1,0.07
Diplodus,sargus,45.75,30.75,1403:350:4,0.03
Diplodus,sargus,45.75,30.25,1403:350:3,0.02
Diplodus,sargus,45.25,30.75,1403:350:2,0.05
Diplodus,sargus,45.25,30.25,1403:350:1,0.02
Diplodus,sargus,44.25,39.25,1403:249:1,0.13
Diplodus,sargus,44.75,38.25,1403:248:3,0.11
Diplodus,sargus,44.25,38.75,1403:248:2,0.14
Diplodus,sargus,44.25,38.25,1403:248:1,0.14
Diplodus,sargus,44.75,37.75,1403:247:4,0.10
Diplodus,sargus,44.75,37.25,1403:247:3,0.06
Diplodus,sargus,44.75,36.75,1403:246:4,0.09
Diplodus,sargus,44.75,36.25,1403:246:3,0.10
Diplodus,sargus,44.75,35.75,1403:245:4,0.10
