Mapping parameters for Dormitator latifrons (Pacific fat sleeper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,41,0,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,12.54,24.17,29.01,33.21
Salinity (psu),1,29.2,31,34.45,36.98
Primary Production (mgC·m-3·day-1) ,1,0.69,1.69,40.72,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,33.42,211.75,369.05
Distance to Land (km),0,0,6,141,343
 

Map data (HSPEC) for predicted occurrences (n = 336): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dormitator,latifrons,36.75,-122.25,7312:362:3,0.01
Dormitator,latifrons,36.75,-121.75,7312:361:4,0.02
Dormitator,latifrons,36.25,-121.75,7312:361:2,0.04
Dormitator,latifrons,36.25,-121.25,7312:361:1,0.04
Dormitator,latifrons,35.75,-121.25,7312:351:3,0.07
Dormitator,latifrons,35.25,-120.75,7312:350:2,0.10
Dormitator,latifrons,34.75,-120.75,7312:140:4,0.07
Dormitator,latifrons,34.75,-120.25,7312:140:3,0.15
Dormitator,latifrons,34.25,-120.25,7312:140:1,0.18
Dormitator,latifrons,25.75,-171.25,7217:351:3,0.04
Dormitator,latifrons,25.75,-170.75,7217:350:4,0.16
Dormitator,latifrons,25.25,-170.75,7217:350:2,0.09
Dormitator,latifrons,25.25,-168.25,7216:458:1,0.03
Dormitator,latifrons,25.25,-167.75,7216:457:2,0.01
Dormitator,latifrons,22.25,-160.25,7216:120:1,0.14
Dormitator,latifrons,21.75,-160.25,7216:110:3,0.02
Dormitator,latifrons,21.75,-159.75,7215:219:4,0.13
Dormitator,latifrons,21.75,-159.25,7215:219:3,0.16
Dormitator,latifrons,21.25,-158.25,7215:218:1,0.19
Dormitator,latifrons,33.75,-120.25,7312:130:3,0.20
Dormitator,latifrons,34.25,-119.75,7311:249:2,0.22
Dormitator,latifrons,34.25,-119.25,7311:249:1,0.25
Dormitator,latifrons,34.25,-118.75,7311:248:2,0.27
Dormitator,latifrons,34.25,-118.25,7311:248:1,0.37
Dormitator,latifrons,33.75,-119.75,7311:239:4,0.27
Dormitator,latifrons,33.25,-119.75,7311:239:2,0.24
Dormitator,latifrons,33.25,-119.25,7311:239:1,0.31
Dormitator,latifrons,33.75,-118.75,7311:238:4,0.37
Dormitator,latifrons,33.75,-118.25,7311:238:3,0.33
Dormitator,latifrons,33.25,-118.75,7311:238:2,0.38
Dormitator,latifrons,32.75,-118.75,7311:228:4,0.37
Dormitator,latifrons,32.75,-117.25,7311:227:3,0.37
Dormitator,latifrons,31.75,-116.75,7311:216:4,0.34
Dormitator,latifrons,31.25,-116.75,7311:216:2,0.39
Dormitator,latifrons,30.75,-116.25,7311:206:3,0.33
