Mapping parameters for Eleutheronema tetradactylum (Fourfinger threadfin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,32,-26,47,154

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,12,23
Temperature (°C),1,18.1,24.64,29.12,33.32
Salinity (psu),1,14.99,28.74,35.47,38.69
Primary Production (mgC·m-3·day-1) ,1,1.95,5.71,30.59,238.36
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,41.32,197.03,213.49,324.15
Distance to Land (km),0,0,3,84,407
 

Map data (HSPEC) for predicted occurrences (n = 3246): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Eleutheronema,tetradactylum,-23.75,152.75,3215:132:4,0.09
Eleutheronema,tetradactylum,-21.25,153.25,3215:113:1,0.07
Eleutheronema,tetradactylum,-20.75,152.75,3215:102:4,0.07
Eleutheronema,tetradactylum,-20.25,151.25,3215:101:1,0.13
Eleutheronema,tetradactylum,-25.75,112.75,3211:352:4,0.13
Eleutheronema,tetradactylum,-25.25,112.75,3211:352:2,0.15
Eleutheronema,tetradactylum,-24.25,113.25,3211:143:1,0.19
Eleutheronema,tetradactylum,-24.75,112.75,3211:142:4,0.16
Eleutheronema,tetradactylum,-19.75,150.75,3115:390:4,0.08
Eleutheronema,tetradactylum,-18.75,148.75,3114:488:4,0.10
Eleutheronema,tetradactylum,-17.25,146.75,3114:476:2,0.17
Eleutheronema,tetradactylum,-13.75,144.75,3114:134:4,0.10
Eleutheronema,tetradactylum,-13.25,144.25,3114:134:1,0.01
Eleutheronema,tetradactylum,-11.25,135.25,3113:215:1,0.18
Eleutheronema,tetradactylum,-11.25,134.25,3113:114:1,0.18
Eleutheronema,tetradactylum,-19.25,120.75,3112:390:2,0.18
Eleutheronema,tetradactylum,-16.25,121.75,3112:361:2,0.13
Eleutheronema,tetradactylum,-11.25,126.75,3112:216:2,0.03
Eleutheronema,tetradactylum,-10.75,128.75,3112:208:4,0.03
Eleutheronema,tetradactylum,-10.25,128.25,3112:208:1,0.19
Eleutheronema,tetradactylum,-10.75,127.25,3112:207:3,0.03
Eleutheronema,tetradactylum,-10.25,127.75,3112:207:2,0.18
Eleutheronema,tetradactylum,-10.75,126.75,3112:206:4,0.12
Eleutheronema,tetradactylum,-14.25,122.25,3112:142:1,0.17
Eleutheronema,tetradactylum,-14.25,121.75,3112:141:2,0.10
Eleutheronema,tetradactylum,-13.75,122.25,3112:132:3,0.09
Eleutheronema,tetradactylum,-13.75,121.75,3112:131:4,0.08
