Mapping parameters for Epinephelus akaara (Hong Kong grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,39,20,109,143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,29,55
Temperature (°C),1,11.89,18.63,25.22,29.42
Salinity (psu),1,28.14,31.74,34.03,34.76
Primary Production (mgC·m-3·day-1) ,1,3.22,10.23,62.42,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,94.35,171.09,235.46,281.55
Distance to Land (km),0,1.5,5,25,97
 

Map data (HSPEC) for predicted occurrences (n = 477): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,akaara,20.25,109.25,1210:209:1,0.03
Epinephelus,akaara,20.75,109.25,1210:209:3,0.07
Epinephelus,akaara,20.25,112.75,1211:102:2,0.02
Epinephelus,akaara,20.75,113.25,1211:103:3,0.13
Epinephelus,akaara,20.75,113.75,1211:103:4,0.01
Epinephelus,akaara,20.75,114.25,1211:104:3,0.02
Epinephelus,akaara,22.75,114.25,1211:124:3,0.13
Epinephelus,akaara,20.75,121.75,1212:101:4,0.01
Epinephelus,akaara,21.75,120.75,1212:110:4,0.14
Epinephelus,akaara,21.25,121.75,1212:111:2,0.04
Epinephelus,akaara,22.25,120.25,1212:120:1,0.12
Epinephelus,akaara,22.25,121.75,1212:121:2,0.13
Epinephelus,akaara,22.75,121.75,1212:121:4,0.18
Epinephelus,akaara,24.25,122.75,1212:142:2,0.10
Epinephelus,akaara,24.75,122.25,1212:142:3,0.05
Epinephelus,akaara,24.25,123.25,1212:143:1,0.06
Epinephelus,akaara,24.25,123.75,1212:143:2,0.07
Epinephelus,akaara,24.75,123.25,1212:143:3,0.12
Epinephelus,akaara,24.25,124.25,1212:144:1,0.07
Epinephelus,akaara,24.75,124.25,1212:144:3,0.12
Epinephelus,akaara,24.75,124.75,1212:144:4,0.11
Epinephelus,akaara,24.75,125.25,1212:245:3,0.12
Epinephelus,akaara,24.75,125.75,1212:245:4,0.09
Epinephelus,akaara,28.25,121.75,1212:381:2,0.09
Epinephelus,akaara,25.25,125.75,1212:455:2,0.15
Epinephelus,akaara,25.75,127.25,1212:457:3,0.01
Epinephelus,akaara,26.25,126.75,1212:466:2,0.18
Epinephelus,akaara,26.25,127.25,1212:467:1,0.12
Epinephelus,akaara,26.25,127.75,1212:467:2,0.11
Epinephelus,akaara,26.75,127.25,1212:467:3,0.19
Epinephelus,akaara,26.75,127.75,1212:467:4,0.17
Epinephelus,akaara,26.25,128.25,1212:468:1,0.08
Epinephelus,akaara,26.75,128.25,1212:468:3,0.14
Epinephelus,akaara,27.25,127.75,1212:477:2,0.18
Epinephelus,akaara,27.25,128.25,1212:478:1,0.13
Epinephelus,akaara,27.25,128.75,1212:478:2,0.10
Epinephelus,akaara,27.75,128.25,1212:478:3,0.13
Epinephelus,akaara,27.75,128.75,1212:478:4,0.10
Epinephelus,akaara,27.75,129.25,1212:479:3,0.12
Epinephelus,akaara,28.25,129.25,1212:489:1,0.15
Epinephelus,akaara,28.25,129.75,1212:489:2,0.16
Epinephelus,akaara,28.75,129.25,1212:489:3,0.17
Epinephelus,akaara,28.75,129.75,1212:489:4,0.17
Epinephelus,akaara,29.75,125.25,1212:495:3,0.13
Epinephelus,akaara,29.75,126.75,1212:496:4,0.15
Epinephelus,akaara,25.75,131.25,1213:351:3,0.01
Epinephelus,akaara,28.25,130.25,1213:380:1,0.14
Epinephelus,akaara,30.25,124.75,1312:104:2,0.14
Epinephelus,akaara,31.75,122.75,1312:112:4,0.10
Epinephelus,akaara,32.25,122.75,1312:122:2,0.15
Epinephelus,akaara,32.75,122.75,1312:122:4,0.14
Epinephelus,akaara,33.25,122.25,1312:132:1,0.02
Epinephelus,akaara,33.25,122.75,1312:132:2,0.19
Epinephelus,akaara,33.75,122.25,1312:132:3,0.06
Epinephelus,akaara,33.75,123.25,1312:133:3,0.10
Epinephelus,akaara,33.75,123.75,1312:133:4,0.03
Epinephelus,akaara,33.25,124.25,1312:134:1,0.15
Epinephelus,akaara,34.75,121.75,1312:141:4,0.07
Epinephelus,akaara,34.25,122.25,1312:142:1,0.15
Epinephelus,akaara,34.25,122.75,1312:142:2,0.09
Epinephelus,akaara,34.75,122.25,1312:142:3,0.13
Epinephelus,akaara,30.75,125.25,1312:205:3,0.04
Epinephelus,akaara,30.75,125.75,1312:205:4,0.02
Epinephelus,akaara,31.25,125.75,1312:215:2,0.14
Epinephelus,akaara,31.75,125.75,1312:215:4,0.09
Epinephelus,akaara,32.25,125.75,1312:225:2,0.05
Epinephelus,akaara,33.75,125.75,1312:235:4,0.04
Epinephelus,akaara,34.25,125.25,1312:245:1,0.11
Epinephelus,akaara,34.25,125.75,1312:245:2,0.16
Epinephelus,akaara,34.75,125.25,1312:245:3,0.08
Epinephelus,akaara,34.75,125.75,1312:245:4,0.10
Epinephelus,akaara,34.25,126.25,1312:246:1,0.19
Epinephelus,akaara,35.25,121.25,1312:351:1,0.01
Epinephelus,akaara,35.25,121.75,1312:351:2,0.08
Epinephelus,akaara,35.25,122.25,1312:352:1,0.06
Epinephelus,akaara,35.75,122.25,1312:352:3,0.03
Epinephelus,akaara,35.75,122.75,1312:352:4,0.03
Epinephelus,akaara,36.25,122.75,1312:362:2,0.01
Epinephelus,akaara,36.75,124.75,1312:364:4,0.03
Epinephelus,akaara,37.25,124.75,1312:374:2,0.06
Epinephelus,akaara,37.75,124.25,1312:374:3,0.03
Epinephelus,akaara,37.75,124.75,1312:374:4,0.09
Epinephelus,akaara,38.75,121.75,1312:381:4,0.01
Epinephelus,akaara,38.25,124.25,1312:384:1,0.02
Epinephelus,akaara,38.25,124.75,1312:384:2,0.04
Epinephelus,akaara,35.25,125.75,1312:455:2,0.15
Epinephelus,akaara,35.75,125.25,1312:455:3,0.02
Epinephelus,akaara,35.75,125.75,1312:455:4,0.12
Epinephelus,akaara,35.25,128.25,1312:458:1,0.15
Epinephelus,akaara,36.25,125.25,1312:465:1,0.01
Epinephelus,akaara,36.25,125.75,1312:465:2,0.07
Epinephelus,akaara,36.75,125.25,1312:465:3,0.02
Epinephelus,akaara,36.75,125.75,1312:465:4,0.06
Epinephelus,akaara,36.75,126.25,1312:466:3,0.05
Epinephelus,akaara,36.75,126.75,1312:466:4,0.11
