Mapping parameters for Epinephelus lanceolatus (Giant grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,29,-39,24,-122

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,22,50,200
Temperature (°C),1,16,23.34,29.12,33.32
Salinity (psu),1,28.14,32.09,35.61,39
Primary Production (mgC·m-3·day-1) ,1,0.08,0.8,22.52,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,2.69,99.85,212.39,280.66
Distance to Land (km),0,0,11,180,396
 

Map data (HSPEC) for predicted occurrences (n = 5984): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,lanceolatus,25.75,-172.25,7217:352:3,0.16
Epinephelus,lanceolatus,25.75,-170.25,7217:350:3,0.13
Epinephelus,lanceolatus,24.75,-167.25,7216:247:3,0.03
Epinephelus,lanceolatus,-36.25,-125.25,5312:465:1,0.13
Epinephelus,lanceolatus,-29.75,-178.25,5217:498:3,0.18
Epinephelus,lanceolatus,-28.25,-179.25,5217:489:1,0.15
Epinephelus,lanceolatus,-28.75,-177.75,5217:487:4,0.14
Epinephelus,lanceolatus,-23.25,-176.25,5217:236:1,0.03
Epinephelus,lanceolatus,-21.75,-157.75,5215:217:4,0.18
Epinephelus,lanceolatus,-22.75,-152.75,5215:122:4,0.18
Epinephelus,lanceolatus,-27.25,-145.75,5214:475:2,0.04
Epinephelus,lanceolatus,-26.75,-146.25,5214:466:3,0.09
