Mapping parameters for Epinephelus malabaricus (Malabar grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51 |  57 |  61 |  71 |  77,
Bounding Box (NSWE): ,30,-32,29,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,16,73,150
Temperature (°C),1,21.47,24.42,29.13,33.33
Salinity (psu),1,22.8,31.93,35.42,38.83
Primary Production (mgC·m-3·day-1) ,1,0.56,1.77,22.75,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,4.27,100.37,211.52,258.33
Distance to Land (km),0,0,9,110,620
 

Map data (HSPEC) for predicted occurrences (n = 5350): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,malabaricus,28.25,-177.25,7217:487:1,0.03
Epinephelus,malabaricus,28.75,-176.75,7217:486:4,0.01
Epinephelus,malabaricus,26.25,-174.75,7217:364:2,0.02
Epinephelus,malabaricus,26.25,-174.25,7217:364:1,0.07
Epinephelus,malabaricus,26.25,-173.75,7217:363:2,0.05
Epinephelus,malabaricus,26.25,-173.25,7217:363:1,0.03
Epinephelus,malabaricus,25.75,-173.75,7217:353:4,0.05
Epinephelus,malabaricus,25.75,-173.25,7217:353:3,0.03
Epinephelus,malabaricus,-23.75,-179.25,5217:239:3,0.15
Epinephelus,malabaricus,-23.75,-178.75,5217:238:4,0.13
Epinephelus,malabaricus,-22.75,-176.25,5217:226:3,0.08
Epinephelus,malabaricus,-22.75,-175.75,5217:225:4,0.09
Epinephelus,malabaricus,-19.75,-175.25,5117:495:3,0.14
Epinephelus,malabaricus,-16.25,-179.25,5117:469:1,0.12
Epinephelus,malabaricus,-15.75,-179.75,5117:459:4,0.07
Epinephelus,malabaricus,-19.25,-174.75,5117:394:2,0.07
Epinephelus,malabaricus,-19.25,-174.25,5117:394:1,0.11
