Mapping parameters for Larimichthys crocea (Large yellow croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 ,
Bounding Box (NSWE): ,38,13,106,141

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,12,59,120
Temperature (°C),1,14.65,18.4,26.63,30.83
Salinity (psu),1,24.32,28.14,33.63,37.13
Primary Production (mgC·m-3·day-1) ,1,2.05,3.87,49.93,119.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,81.27,163.02,235.46,285.84
Distance to Land (km),0,0,6,170,269
 

Map data (HSPEC) for predicted occurrences (n = 808): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Larimichthys,crocea,14.75,109.75,1110:249:4,0.03
Larimichthys,crocea,15.25,109.75,1110:459:2,0.04
Larimichthys,crocea,16.75,109.75,1110:469:4,0.02
Larimichthys,crocea,18.25,107.25,1110:487:1,0.03
Larimichthys,crocea,15.75,114.25,1111:354:3,0.17
Larimichthys,crocea,17.25,110.25,1111:370:1,0.03
Larimichthys,crocea,17.75,110.75,1111:370:4,0.06
Larimichthys,crocea,18.25,111.25,1111:381:1,0.02
Larimichthys,crocea,19.75,110.25,1111:390:3,0.08
Larimichthys,crocea,19.25,112.25,1111:392:1,0.10
Larimichthys,crocea,19.75,113.25,1111:393:3,0.17
Larimichthys,crocea,19.75,113.75,1111:393:4,0.07
Larimichthys,crocea,13.25,122.25,1112:132:1,0.10
Larimichthys,crocea,14.75,121.25,1112:141:3,0.19
Larimichthys,crocea,16.25,122.25,1112:362:1,0.15
Larimichthys,crocea,18.75,120.75,1112:380:4,0.12
Larimichthys,crocea,19.75,121.75,1112:391:4,0.14
Larimichthys,crocea,19.75,122.25,1112:392:3,0.03
Larimichthys,crocea,21.25,106.75,1210:216:2,0.08
Larimichthys,crocea,21.25,107.25,1210:217:1,0.17
Larimichthys,crocea,20.25,114.25,1211:104:1,0.11
Larimichthys,crocea,22.75,113.25,1211:123:3,0.07
Larimichthys,crocea,23.25,113.25,1211:133:1,0.08
Larimichthys,crocea,23.25,113.75,1211:133:2,0.08
Larimichthys,crocea,20.75,115.25,1211:205:3,0.07
Larimichthys,crocea,20.25,121.75,1212:101:2,0.12
Larimichthys,crocea,20.25,122.25,1212:102:1,0.07
Larimichthys,crocea,26.75,123.75,1212:363:4,0.13
Larimichthys,crocea,28.25,120.75,1212:380:2,0.04
Larimichthys,crocea,26.25,125.25,1212:465:1,0.07
Larimichthys,crocea,29.25,127.25,1212:497:1,0.06
Larimichthys,crocea,24.75,131.25,1213:141:3,0.16
Larimichthys,crocea,34.25,119.75,1311:249:2,0.18
Larimichthys,crocea,35.25,119.25,1311:459:1,0.10
Larimichthys,crocea,35.25,119.75,1311:459:2,0.17
Larimichthys,crocea,35.75,119.75,1311:459:4,0.09
Larimichthys,crocea,33.25,120.75,1312:130:2,0.07
Larimichthys,crocea,33.75,120.25,1312:130:3,0.12
Larimichthys,crocea,33.75,120.75,1312:130:4,0.15
Larimichthys,crocea,33.25,121.25,1312:131:1,0.15
Larimichthys,crocea,30.25,127.75,1312:207:2,0.07
Larimichthys,crocea,31.75,127.75,1312:217:4,0.15
Larimichthys,crocea,32.25,127.25,1312:227:1,0.15
Larimichthys,crocea,33.25,128.25,1312:238:1,0.01
Larimichthys,crocea,34.75,125.75,1312:245:4,0.12
Larimichthys,crocea,35.25,120.75,1312:350:2,0.14
Larimichthys,crocea,35.75,120.25,1312:350:3,0.15
Larimichthys,crocea,35.75,121.25,1312:351:3,0.04
Larimichthys,crocea,35.75,121.75,1312:351:4,0.14
Larimichthys,crocea,36.25,120.25,1312:360:1,0.10
Larimichthys,crocea,36.25,120.75,1312:360:2,0.13
Larimichthys,crocea,36.75,120.75,1312:360:4,0.01
Larimichthys,crocea,36.25,121.25,1312:361:1,0.05
Larimichthys,crocea,36.75,121.25,1312:361:3,0.01
Larimichthys,crocea,36.25,122.25,1312:362:1,0.03
Larimichthys,crocea,36.25,123.75,1312:363:2,0.18
Larimichthys,crocea,36.75,123.25,1312:363:3,0.09
Larimichthys,crocea,36.75,123.75,1312:363:4,0.08
Larimichthys,crocea,36.75,124.25,1312:364:3,0.14
Larimichthys,crocea,36.75,124.75,1312:364:4,0.14
Larimichthys,crocea,37.25,123.75,1312:373:2,0.03
Larimichthys,crocea,37.25,124.25,1312:374:1,0.05
Larimichthys,crocea,35.25,125.75,1312:455:2,0.16
Larimichthys,crocea,35.75,125.75,1312:455:4,0.13
Larimichthys,crocea,35.25,126.75,1312:456:2,0.04
Larimichthys,crocea,35.75,126.25,1312:456:3,0.12
Larimichthys,crocea,35.25,127.75,1312:457:2,0.06
Larimichthys,crocea,35.25,128.25,1312:458:1,0.13
Larimichthys,crocea,36.25,125.25,1312:465:1,0.13
Larimichthys,crocea,36.25,125.75,1312:465:2,0.03
Larimichthys,crocea,36.25,126.75,1312:466:2,0.14
Larimichthys,crocea,36.75,126.75,1312:466:4,0.01
Larimichthys,crocea,32.25,132.25,1313:122:1,0.07
Larimichthys,crocea,33.25,132.75,1313:132:2,0.14
Larimichthys,crocea,37.25,140.75,1314:370:2,0.11
Larimichthys,crocea,16.25,109.25,1110:469:1,0.27
Larimichthys,crocea,16.75,109.25,1110:469:3,0.28
Larimichthys,crocea,17.25,109.75,1110:479:2,0.24
Larimichthys,crocea,18.75,107.75,1110:487:4,0.33
Larimichthys,crocea,19.75,109.75,1110:499:4,0.25
Larimichthys,crocea,18.75,111.25,1111:381:3,0.34
Larimichthys,crocea,19.25,111.75,1111:391:2,0.21
Larimichthys,crocea,19.75,112.75,1111:392:4,0.33
Larimichthys,crocea,15.75,119.75,1111:459:4,0.24
Larimichthys,crocea,13.25,120.25,1112:130:1,0.32
Larimichthys,crocea,13.75,120.25,1112:130:3,0.21
Larimichthys,crocea,13.25,121.75,1112:131:2,0.21
Larimichthys,crocea,13.25,122.75,1112:132:2,0.32
Larimichthys,crocea,14.75,123.25,1112:143:3,0.29
Larimichthys,crocea,14.25,124.25,1112:144:1,0.33
Larimichthys,crocea,16.75,122.25,1112:362:3,0.29
Larimichthys,crocea,17.25,120.25,1112:370:1,0.30
Larimichthys,crocea,17.75,120.25,1112:370:3,0.21
Larimichthys,crocea,18.25,120.25,1112:380:1,0.27
Larimichthys,crocea,18.25,120.75,1112:380:2,0.29
Larimichthys,crocea,18.75,121.25,1112:381:3,0.31
Larimichthys,crocea,19.25,121.25,1112:391:1,0.26
Larimichthys,crocea,19.25,121.75,1112:391:2,0.39
Larimichthys,crocea,19.25,122.25,1112:392:1,0.20
Larimichthys,crocea,20.25,113.75,1211:103:2,0.37
Larimichthys,crocea,20.25,114.75,1211:104:2,0.31
Larimichthys,crocea,22.25,114.25,1211:124:1,0.32
Larimichthys,crocea,20.75,116.75,1211:206:4,0.29
Larimichthys,crocea,20.75,117.25,1211:207:3,0.27
Larimichthys,crocea,21.25,115.75,1211:215:2,0.37
Larimichthys,crocea,22.25,119.25,1211:229:1,0.28
Larimichthys,crocea,20.75,122.25,1212:102:3,0.27
Larimichthys,crocea,26.25,124.25,1212:364:1,0.36
Larimichthys,crocea,29.75,122.25,1212:392:3,0.23
Larimichthys,crocea,29.25,126.75,1212:496:2,0.31
Larimichthys,crocea,27.25,140.75,1214:370:2,0.31
