Mapping parameters for Lateolabrax japonicus (Japanese seabass)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 ,
Bounding Box (NSWE): ,44,15,106,143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,9,28,50
Temperature (°C),1,9.42,14.27,25.22,29.42
Salinity (psu),1,11.83,25.72,33.94,38.83
Primary Production (mgC·m-3·day-1) ,1,1.58,5.71,67.73,131.74
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,132.29,276.67,312.56
Distance to Land (km),0,0,2,89,248
 

Map data (HSPEC) for predicted occurrences (n = 734): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lateolabrax,japonicus,16.75,108.25,1110:468:3,0.13
Lateolabrax,japonicus,16.25,109.25,1110:469:1,0.12
Lateolabrax,japonicus,16.75,109.25,1110:469:3,0.12
Lateolabrax,japonicus,16.75,109.75,1110:469:4,0.05
Lateolabrax,japonicus,17.25,108.75,1110:478:2,0.14
Lateolabrax,japonicus,17.75,108.25,1110:478:3,0.07
Lateolabrax,japonicus,17.25,109.75,1110:479:2,0.11
Lateolabrax,japonicus,18.25,108.25,1110:488:1,0.07
Lateolabrax,japonicus,18.75,108.25,1110:488:3,0.16
Lateolabrax,japonicus,15.75,111.25,1111:351:3,0.02
Lateolabrax,japonicus,15.75,113.75,1111:353:4,0.04
Lateolabrax,japonicus,15.75,114.25,1111:354:3,0.07
Lateolabrax,japonicus,16.25,111.75,1111:361:2,0.02
Lateolabrax,japonicus,16.75,111.75,1111:361:4,0.02
Lateolabrax,japonicus,16.25,112.25,1111:362:1,0.02
Lateolabrax,japonicus,16.25,112.75,1111:362:2,0.02
Lateolabrax,japonicus,16.75,112.25,1111:362:3,0.02
Lateolabrax,japonicus,16.75,112.75,1111:362:4,0.02
Lateolabrax,japonicus,16.25,114.25,1111:364:1,0.03
Lateolabrax,japonicus,17.25,110.25,1111:370:1,0.06
Lateolabrax,japonicus,17.75,110.25,1111:370:3,0.17
Lateolabrax,japonicus,17.75,110.75,1111:370:4,0.02
Lateolabrax,japonicus,17.25,111.25,1111:371:1,0.02
Lateolabrax,japonicus,17.25,111.75,1111:371:2,0.02
Lateolabrax,japonicus,17.25,112.25,1111:372:1,0.02
Lateolabrax,japonicus,18.75,111.25,1111:381:3,0.15
Lateolabrax,japonicus,19.25,111.75,1111:391:2,0.13
Lateolabrax,japonicus,19.25,112.25,1111:392:1,0.09
Lateolabrax,japonicus,19.75,112.75,1111:392:4,0.03
Lateolabrax,japonicus,15.25,117.75,1111:457:2,0.01
Lateolabrax,japonicus,15.25,119.75,1111:459:2,0.12
Lateolabrax,japonicus,15.75,119.75,1111:459:4,0.04
Lateolabrax,japonicus,16.25,119.75,1111:469:2,0.14
Lateolabrax,japonicus,15.25,120.25,1112:350:1,0.16
Lateolabrax,japonicus,15.75,121.75,1112:351:4,0.19
Lateolabrax,japonicus,15.25,122.25,1112:352:1,0.16
Lateolabrax,japonicus,16.25,120.25,1112:360:1,0.14
Lateolabrax,japonicus,16.75,120.25,1112:360:3,0.12
Lateolabrax,japonicus,16.25,121.75,1112:361:2,0.15
Lateolabrax,japonicus,16.25,122.25,1112:362:1,0.05
Lateolabrax,japonicus,16.75,122.25,1112:362:3,0.07
Lateolabrax,japonicus,16.75,122.75,1112:362:4,0.02
Lateolabrax,japonicus,17.25,120.25,1112:370:1,0.05
Lateolabrax,japonicus,17.75,120.25,1112:370:3,0.04
Lateolabrax,japonicus,17.25,122.25,1112:372:1,0.11
Lateolabrax,japonicus,17.25,122.75,1112:372:2,0.02
Lateolabrax,japonicus,18.25,120.75,1112:380:2,0.08
Lateolabrax,japonicus,18.75,120.75,1112:380:4,0.06
Lateolabrax,japonicus,18.75,121.25,1112:381:3,0.12
Lateolabrax,japonicus,18.75,122.25,1112:382:3,0.19
Lateolabrax,japonicus,19.25,121.25,1112:391:1,0.11
Lateolabrax,japonicus,19.25,121.75,1112:391:2,0.13
Lateolabrax,japonicus,19.75,121.75,1112:391:4,0.06
Lateolabrax,japonicus,19.25,122.25,1112:392:1,0.07
Lateolabrax,japonicus,19.75,122.25,1112:392:3,0.04
Lateolabrax,japonicus,20.25,112.75,1211:102:2,0.12
Lateolabrax,japonicus,20.25,113.25,1211:103:1,0.04
Lateolabrax,japonicus,20.25,114.75,1211:104:2,0.10
Lateolabrax,japonicus,20.75,114.25,1211:104:3,0.17
Lateolabrax,japonicus,20.75,114.75,1211:104:4,0.14
Lateolabrax,japonicus,21.75,114.75,1211:114:4,0.04
Lateolabrax,japonicus,22.25,113.75,1211:123:2,0.19
Lateolabrax,japonicus,20.75,116.75,1211:206:4,0.16
Lateolabrax,japonicus,20.75,117.25,1211:207:3,0.15
Lateolabrax,japonicus,20.25,121.75,1212:101:2,0.07
Lateolabrax,japonicus,20.75,121.75,1212:101:4,0.19
Lateolabrax,japonicus,20.25,122.25,1212:102:1,0.05
Lateolabrax,japonicus,20.75,122.25,1212:102:3,0.12
Lateolabrax,japonicus,29.25,123.25,1212:393:1,0.18
Lateolabrax,japonicus,25.75,127.25,1212:457:3,0.02
Lateolabrax,japonicus,29.75,125.25,1212:495:3,0.14
Lateolabrax,japonicus,29.75,127.25,1212:497:3,0.09
Lateolabrax,japonicus,24.75,131.25,1213:141:3,0.16
Lateolabrax,japonicus,37.75,119.75,1311:479:4,0.17
Lateolabrax,japonicus,30.75,121.75,1312:101:4,0.16
Lateolabrax,japonicus,30.25,124.25,1312:104:1,0.09
Lateolabrax,japonicus,30.75,124.25,1312:104:3,0.18
Lateolabrax,japonicus,30.75,124.75,1312:104:4,0.14
Lateolabrax,japonicus,32.25,121.25,1312:121:1,0.12
Lateolabrax,japonicus,32.75,124.75,1312:124:4,0.14
Lateolabrax,japonicus,33.25,124.25,1312:134:1,0.14
Lateolabrax,japonicus,31.25,125.75,1312:215:2,0.14
Lateolabrax,japonicus,35.75,121.25,1312:351:3,0.18
