Mapping parameters for Leukoma staminea (Pacific littleneck)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,22,-164,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,4,24,46
Temperature (°C),1,4.32,6.87,16.14,23.62
Salinity (psu),1,23.93,25.56,33.28,36.88
Primary Production (mgC·m-3·day-1) ,1,1.56,14.13,65.62,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.03
Dissolved Bottom Oxygen (mmol·m-3),0,9.66,84.64,301.97,329.86
Distance to Land (km),0,0,3,22,113
 

Map data (HSPEC) for predicted occurrences (n = 472): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leukoma,staminea,24.75,-111.75,7211:141:4,0.01
Leukoma,staminea,24.75,-112.25,7211:142:3,0.04
Leukoma,staminea,25.25,-112.25,7211:352:1,0.08
Leukoma,staminea,25.25,-112.75,7211:352:2,0.02
Leukoma,staminea,25.75,-112.25,7211:352:3,0.15
Leukoma,staminea,25.75,-112.75,7211:352:4,0.09
Leukoma,staminea,26.25,-112.25,7211:362:1,0.08
Leukoma,staminea,26.25,-113.25,7211:363:1,0.15
Leukoma,staminea,26.25,-113.75,7211:363:2,0.19
Leukoma,staminea,27.75,-112.75,7211:372:4,0.06
Leukoma,staminea,28.25,-112.75,7211:382:2,0.03
Leukoma,staminea,28.75,-112.75,7211:382:4,0.02
Leukoma,staminea,28.75,-113.25,7211:383:3,0.09
Leukoma,staminea,28.75,-113.75,7211:383:4,0.13
Leukoma,staminea,29.25,-113.25,7211:393:1,0.02
Leukoma,staminea,29.25,-113.75,7211:393:2,0.07
Leukoma,staminea,30.25,-114.75,7311:104:2,0.09
Leukoma,staminea,31.75,-113.75,7311:113:4,0.01
Leukoma,staminea,31.75,-114.25,7311:114:3,0.01
Leukoma,staminea,37.75,-122.75,7312:372:4,0.14
Leukoma,staminea,47.75,-122.75,7412:372:4,0.15
Leukoma,staminea,47.25,-123.25,7412:373:1,0.18
Leukoma,staminea,55.75,-130.25,7513:350:3,0.04
Leukoma,staminea,56.25,-131.25,7513:361:1,0.10
Leukoma,staminea,57.75,-132.75,7513:372:4,0.03
Leukoma,staminea,57.25,-136.25,7513:476:1,0.05
Leukoma,staminea,59.25,-135.25,7513:495:1,0.14
Leukoma,staminea,59.25,-135.75,7513:495:2,0.08
Leukoma,staminea,59.25,-137.25,7513:497:1,0.14
Leukoma,staminea,59.75,-138.75,7513:498:4,0.11
Leukoma,staminea,59.75,-146.75,7514:496:4,0.14
Leukoma,staminea,57.25,-151.25,7515:371:1,0.14
Leukoma,staminea,57.75,-151.75,7515:371:4,0.08
Leukoma,staminea,59.75,-152.25,7515:392:3,0.18
Leukoma,staminea,56.75,-158.25,7515:468:3,0.10
Leukoma,staminea,56.75,-158.75,7515:468:4,0.01
Leukoma,staminea,56.75,-159.25,7515:469:3,0.01
Leukoma,staminea,56.75,-159.75,7515:469:4,0.02
Leukoma,staminea,57.25,-157.75,7515:477:2,0.05
Leukoma,staminea,57.75,-157.25,7515:477:3,0.02
Leukoma,staminea,58.75,-156.75,7515:486:4,0.02
Leukoma,staminea,58.25,-157.25,7515:487:1,0.03
Leukoma,staminea,55.75,-163.25,7516:353:3,0.18
Leukoma,staminea,56.25,-160.75,7516:360:2,0.10
Leukoma,staminea,56.75,-160.25,7516:360:3,0.02
Leukoma,staminea,56.25,-161.25,7516:361:1,0.11
Leukoma,staminea,56.25,-161.75,7516:361:2,0.12
Leukoma,staminea,56.75,-161.25,7516:361:3,0.02
Leukoma,staminea,26.25,-112.75,7211:362:2,0.28
Leukoma,staminea,26.75,-112.75,7211:362:4,0.20
Leukoma,staminea,26.75,-114.25,7211:364:3,0.32
Leukoma,staminea,27.75,-113.75,7211:373:4,0.20
Leukoma,staminea,28.75,-118.25,7211:488:3,0.28
Leukoma,staminea,29.25,-118.25,7211:498:1,0.35
Leukoma,staminea,37.25,-122.75,7312:372:2,0.30
Leukoma,staminea,38.25,-122.25,7312:382:1,0.27
Leukoma,staminea,45.25,-124.25,7412:354:1,0.32
Leukoma,staminea,46.25,-123.25,7412:363:1,0.24
Leukoma,staminea,47.25,-122.75,7412:372:2,0.23
Leukoma,staminea,47.75,-123.25,7412:373:3,0.23
Leukoma,staminea,49.75,-123.25,7412:393:3,0.25
Leukoma,staminea,49.75,-126.25,7412:496:3,0.25
Leukoma,staminea,50.25,-123.75,7512:103:2,0.25
Leukoma,staminea,50.25,-124.25,7512:104:1,0.25
Leukoma,staminea,50.75,-124.75,7512:104:4,0.25
Leukoma,staminea,50.75,-125.25,7512:205:3,0.25
Leukoma,staminea,50.75,-125.75,7512:205:4,0.25
Leukoma,staminea,51.25,-125.75,7512:215:2,0.25
Leukoma,staminea,51.25,-126.75,7512:216:2,0.25
Leukoma,staminea,52.25,-127.25,7512:227:1,0.25
Leukoma,staminea,52.75,-127.25,7512:227:3,0.25
Leukoma,staminea,52.75,-127.75,7512:227:4,0.25
Leukoma,staminea,53.25,-128.25,7512:238:1,0.25
Leukoma,staminea,53.75,-128.25,7512:238:3,0.25
Leukoma,staminea,54.25,-128.75,7512:248:2,0.25
Leukoma,staminea,55.75,-129.75,7512:459:4,0.25
Leukoma,staminea,58.25,-139.25,7513:489:1,0.27
Leukoma,staminea,59.25,-136.25,7513:496:1,0.21
Leukoma,staminea,59.25,-136.75,7513:496:2,0.24
Leukoma,staminea,57.25,-151.75,7515:371:2,0.34
Leukoma,staminea,58.75,-154.25,7515:384:3,0.33
Leukoma,staminea,59.25,-152.25,7515:392:1,0.38
Leukoma,staminea,59.75,-153.75,7515:393:4,0.26
Leukoma,staminea,59.25,-154.25,7515:394:1,0.39
Leukoma,staminea,56.75,-157.75,7515:467:4,0.34
Leukoma,staminea,56.25,-158.75,7515:468:2,0.31
Leukoma,staminea,56.25,-159.75,7515:469:2,0.27
Leukoma,staminea,58.25,-155.25,7515:485:1,0.29
Leukoma,staminea,55.75,-160.75,7516:350:4,0.22
Leukoma,staminea,55.75,-161.25,7516:351:3,0.35
Leukoma,staminea,55.75,-161.75,7516:351:4,0.35
Leukoma,staminea,55.25,-162.75,7516:352:2,0.35
Leukoma,staminea,55.75,-162.25,7516:352:3,0.26
Leukoma,staminea,55.75,-162.75,7516:352:4,0.32
Leukoma,staminea,55.25,-163.25,7516:353:1,0.35
Leukoma,staminea,55.25,-163.75,7516:353:2,0.38
Leukoma,staminea,56.25,-160.25,7516:360:1,0.20
Leukoma,staminea,26.75,-113.25,7211:363:3,0.42
Leukoma,staminea,26.75,-113.75,7211:363:4,0.47
Leukoma,staminea,27.25,-113.75,7211:373:2,0.44
Leukoma,staminea,27.25,-114.25,7211:374:1,0.53
Leukoma,staminea,27.25,-114.75,7211:374:2,0.57
Leukoma,staminea,27.75,-114.25,7211:374:3,0.57
Leukoma,staminea,28.75,-114.25,7211:384:3,0.43
Leukoma,staminea,29.25,-114.75,7211:394:2,0.43
Leukoma,staminea,29.75,-115.25,7211:495:3,0.52
Leukoma,staminea,30.25,-115.75,7311:205:2,0.59
Leukoma,staminea,30.75,-115.75,7311:205:4,0.47
Leukoma,staminea,32.75,-118.75,7311:228:4,0.50
Leukoma,staminea,33.25,-117.25,7311:237:1,0.57
Leukoma,staminea,33.75,-119.25,7311:239:3,0.45
Leukoma,staminea,37.25,-122.25,7312:372:1,0.43
Leukoma,staminea,38.25,-122.75,7312:382:2,0.49
Leukoma,staminea,46.25,-123.75,7412:363:2,0.46
Leukoma,staminea,48.25,-122.75,7412:382:2,0.54
Leukoma,staminea,49.25,-125.25,7412:495:1,0.50
Leukoma,staminea,51.75,-127.25,7512:217:3,0.50
Leukoma,staminea,51.75,-128.75,7512:218:4,0.50
Leukoma,staminea,53.25,-128.75,7512:238:2,0.50
Leukoma,staminea,55.75,-130.75,7513:350:4,0.51
Leukoma,staminea,57.25,-132.75,7513:372:2,0.59
Leukoma,staminea,57.75,-133.25,7513:373:3,0.53
Leukoma,staminea,58.25,-133.75,7513:383:2,0.44
Leukoma,staminea,58.25,-138.75,7513:488:2,0.59
Leukoma,staminea,56.75,-152.25,7515:362:3,0.53
Leukoma,staminea,58.25,-150.25,7515:380:1,0.56
Leukoma,staminea,59.75,-150.75,7515:390:4,0.52
Leukoma,staminea,59.75,-151.25,7515:391:3,0.47
Leukoma,staminea,59.75,-151.75,7515:391:4,0.49
Leukoma,staminea,59.75,-152.75,7515:392:4,0.48
Leukoma,staminea,59.25,-153.75,7515:393:2,0.50
Leukoma,staminea,59.75,-153.25,7515:393:3,0.48
Leukoma,staminea,55.75,-156.75,7515:456:4,0.52
Leukoma,staminea,56.75,-155.25,7515:465:3,0.57
Leukoma,staminea,57.25,-156.75,7515:476:2,0.51
Leukoma,staminea,57.75,-156.25,7515:476:3,0.50
Leukoma,staminea,54.75,-162.75,7516:142:4,0.54
Leukoma,staminea,54.25,-163.25,7516:143:1,0.53
Leukoma,staminea,54.75,-163.25,7516:143:3,0.51
Leukoma,staminea,54.75,-163.75,7516:143:4,0.52
Leukoma,staminea,55.75,-160.25,7516:350:3,0.50
Leukoma,staminea,55.25,-161.75,7516:351:2,0.56
Leukoma,staminea,55.25,-162.25,7516:352:1,0.44
Leukoma,staminea,27.75,-114.75,7211:374:4,0.60
Leukoma,staminea,28.25,-114.25,7211:384:1,0.63
Leukoma,staminea,28.25,-114.75,7211:384:2,0.65
Leukoma,staminea,28.75,-114.75,7211:384:4,0.71
Leukoma,staminea,27.75,-115.25,7211:475:3,0.63
Leukoma,staminea,28.25,-115.25,7211:485:1,0.67
Leukoma,staminea,28.25,-115.75,7211:485:2,0.67
Leukoma,staminea,31.25,-116.25,7311:216:1,0.66
Leukoma,staminea,32.25,-116.75,7311:226:2,0.67
Leukoma,staminea,33.25,-117.75,7311:237:2,0.77
Leukoma,staminea,33.75,-117.75,7311:237:4,0.70
Leukoma,staminea,33.25,-118.25,7311:238:1,0.79
Leukoma,staminea,33.25,-119.25,7311:239:1,0.79
Leukoma,staminea,33.25,-119.75,7311:239:2,0.75
Leukoma,staminea,36.75,-121.75,7312:361:4,0.65
Leukoma,staminea,46.25,-124.25,7412:364:1,0.65
Leukoma,staminea,48.25,-122.25,7412:382:1,0.75
Leukoma,staminea,48.25,-123.25,7412:383:1,0.74
Leukoma,staminea,52.75,-130.75,7513:120:4,0.67
Leukoma,staminea,56.25,-131.75,7513:361:2,0.75
Leukoma,staminea,56.75,-132.25,7513:362:3,0.66
Leukoma,staminea,58.75,-134.75,7513:384:4,0.66
Leukoma,staminea,59.75,-139.25,7513:499:3,0.68
Leukoma,staminea,56.75,-151.75,7515:361:4,0.79
Leukoma,staminea,56.25,-152.75,7515:362:2,0.75
Leukoma,staminea,56.25,-153.75,7515:363:2,0.76
Leukoma,staminea,58.25,-154.75,7515:384:2,0.79
Leukoma,staminea,59.75,-150.25,7515:390:3,0.70
Leukoma,staminea,59.25,-152.75,7515:392:2,0.67
Leukoma,staminea,59.25,-153.25,7515:393:1,0.67
Leukoma,staminea,55.75,-159.75,7515:459:4,0.78
Leukoma,staminea,56.25,-155.75,7515:465:2,0.67
