Mapping parameters for Lutjanus johnii (John's snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,31,-30,30,-174

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,40,80
Temperature (°C),1,21.47,25.69,29.21,33.41
Salinity (psu),1,17.92,29.87,35.37,38.86
Primary Production (mgC·m-3·day-1) ,1,0.43,3.58,28.27,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,152.68,210.42,269.39
Distance to Land (km),0,0,8,97,620
 

Map data (HSPEC) for predicted occurrences (n = 5122): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,johnii,28.25,-178.25,7217:488:1,0.03
Lutjanus,johnii,28.25,-177.25,7217:487:1,0.03
Lutjanus,johnii,27.75,-175.75,7217:475:4,0.03
Lutjanus,johnii,26.75,-176.25,7217:466:3,0.01
Lutjanus,johnii,26.25,-174.75,7217:364:2,0.04
Lutjanus,johnii,26.25,-174.25,7217:364:1,0.06
Lutjanus,johnii,-23.75,-179.25,5217:239:3,0.07
Lutjanus,johnii,-23.75,-178.75,5217:238:4,0.07
Lutjanus,johnii,-21.25,-178.75,5217:218:2,0.16
Lutjanus,johnii,-21.25,-175.25,5217:215:1,0.13
Lutjanus,johnii,-20.75,-178.75,5217:208:4,0.18
Lutjanus,johnii,-20.75,-175.25,5217:205:3,0.13
Lutjanus,johnii,-20.25,-175.25,5217:205:1,0.13
Lutjanus,johnii,-21.25,-174.75,5217:114:2,0.12
Lutjanus,johnii,-20.75,-174.75,5217:104:4,0.14
Lutjanus,johnii,-20.25,-174.75,5217:104:2,0.17
Lutjanus,johnii,-20.25,-174.25,5217:104:1,0.13
Lutjanus,johnii,-19.75,-175.25,5117:495:3,0.09
Lutjanus,johnii,-17.75,-178.25,5117:478:3,0.17
Lutjanus,johnii,-16.75,-179.25,5117:469:3,0.18
Lutjanus,johnii,-16.25,-179.75,5117:469:2,0.19
Lutjanus,johnii,-16.25,-179.25,5117:469:1,0.09
Lutjanus,johnii,-16.75,-178.75,5117:468:4,0.12
Lutjanus,johnii,-15.75,-179.75,5117:459:4,0.07
Lutjanus,johnii,-15.75,-179.25,5117:459:3,0.02
Lutjanus,johnii,-15.75,-175.75,5117:455:4,0.02
Lutjanus,johnii,-19.75,-174.75,5117:394:4,0.15
Lutjanus,johnii,-19.75,-174.25,5117:394:3,0.13
Lutjanus,johnii,-19.25,-174.75,5117:394:2,0.07
Lutjanus,johnii,-19.25,-174.25,5117:394:1,0.08
Lutjanus,johnii,-18.75,-174.75,5117:384:4,0.02
Lutjanus,johnii,-18.75,-174.25,5117:384:3,0.04
Lutjanus,johnii,-14.25,-178.25,5117:248:1,0.03
Lutjanus,johnii,-14.25,-177.75,5117:247:2,0.01
Lutjanus,johnii,-14.25,-176.25,5117:246:1,0.02
Lutjanus,johnii,-14.25,-175.75,5117:245:2,0.02
Lutjanus,johnii,-13.25,-179.25,5117:239:1,0.03
Lutjanus,johnii,-13.25,-176.25,5117:236:1,0.05
Lutjanus,johnii,-12.75,-179.25,5117:229:3,0.06
Lutjanus,johnii,-12.25,-179.75,5117:229:2,0.12
Lutjanus,johnii,-12.25,-179.25,5117:229:1,0.08
Lutjanus,johnii,-11.75,-179.75,5117:219:4,0.12
