Mapping parameters for Lutjanus malabaricus (Malabar blood snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,33,-33,43,-178

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,12,21,56,100
Temperature (°C),1,21.33,25.25,28.84,33.04
Salinity (psu),1,20.55,32.16,35.3,38.65
Primary Production (mgC·m-3·day-1) ,1,0.74,2.67,17.1,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,154.95,209.68,249.82
Distance to Land (km),0,0,15,244,943
 

Map data (HSPEC) for predicted occurrences (n = 4744): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,malabaricus,-21.25,-178.75,5217:218:2,0.10
Lutjanus,malabaricus,-20.75,-178.75,5217:208:4,0.13
Lutjanus,malabaricus,-19.75,-178.25,5117:498:3,0.16
Lutjanus,malabaricus,-19.25,-178.25,5117:498:1,0.19
Lutjanus,malabaricus,-17.75,-178.25,5117:478:3,0.12
Lutjanus,malabaricus,-16.75,-179.25,5117:469:3,0.13
Lutjanus,malabaricus,-16.25,-179.75,5117:469:2,0.16
Lutjanus,malabaricus,-16.75,-178.75,5117:468:4,0.04
Lutjanus,malabaricus,-12.25,-179.75,5117:229:2,0.03
Lutjanus,malabaricus,-11.75,-179.75,5117:219:4,0.03
Lutjanus,malabaricus,-10.75,-179.25,5117:209:3,0.13
Lutjanus,malabaricus,-31.75,159.25,3315:219:3,0.02
Lutjanus,malabaricus,-31.25,159.25,3315:219:1,0.07
Lutjanus,malabaricus,-32.75,152.75,3315:122:4,0.16
Lutjanus,malabaricus,-32.25,152.75,3315:122:2,0.13
Lutjanus,malabaricus,-31.75,152.75,3315:112:4,0.11
Lutjanus,malabaricus,-31.25,152.75,3315:112:2,0.15
Lutjanus,malabaricus,-30.75,114.75,3311:104:4,0.07
Lutjanus,malabaricus,-30.25,114.75,3311:104:2,0.06
Lutjanus,malabaricus,-22.25,171.25,3217:121:1,0.10
Lutjanus,malabaricus,-21.75,174.75,3217:114:4,0.01
Lutjanus,malabaricus,-28.75,167.75,3216:487:4,0.01
Lutjanus,malabaricus,-26.25,162.25,3216:362:1,0.14
Lutjanus,malabaricus,-26.25,161.75,3216:361:2,0.15
Lutjanus,malabaricus,-26.25,161.25,3216:361:1,0.05
Lutjanus,malabaricus,-25.75,163.25,3216:353:3,0.15
Lutjanus,malabaricus,-25.75,162.75,3216:352:4,0.15
Lutjanus,malabaricus,-25.75,162.25,3216:352:3,0.16
Lutjanus,malabaricus,-25.25,162.75,3216:352:2,0.18
Lutjanus,malabaricus,-25.25,162.25,3216:352:1,0.19
Lutjanus,malabaricus,-25.75,161.75,3216:351:4,0.17
Lutjanus,malabaricus,-25.75,161.25,3216:351:3,0.18
Lutjanus,malabaricus,-25.25,161.75,3216:351:2,0.19
Lutjanus,malabaricus,-22.75,169.75,3216:229:4,0.12
Lutjanus,malabaricus,-22.25,169.25,3216:229:1,0.11
Lutjanus,malabaricus,-21.75,168.75,3216:218:4,0.17
Lutjanus,malabaricus,-21.25,168.25,3216:218:1,0.19
Lutjanus,malabaricus,-20.25,169.75,3216:209:2,0.07
Lutjanus,malabaricus,-20.75,167.25,3216:207:3,0.14
Lutjanus,malabaricus,-20.75,166.75,3216:206:4,0.16
Lutjanus,malabaricus,-20.75,166.25,3216:206:3,0.16
Lutjanus,malabaricus,-20.25,166.75,3216:206:2,0.09
Lutjanus,malabaricus,-20.25,166.25,3216:206:1,0.09
Lutjanus,malabaricus,-20.75,165.75,3216:205:4,0.16
Lutjanus,malabaricus,-20.75,161.75,3216:101:4,0.14
Lutjanus,malabaricus,-20.25,161.25,3216:101:1,0.10
Lutjanus,malabaricus,-20.75,160.75,3216:100:4,0.11
Lutjanus,malabaricus,-20.25,160.75,3216:100:2,0.10
Lutjanus,malabaricus,-29.75,159.25,3215:499:3,0.18
Lutjanus,malabaricus,-22.25,153.25,3215:123:1,0.16
Lutjanus,malabaricus,-21.25,152.25,3215:112:1,0.11
Lutjanus,malabaricus,-29.75,114.75,3211:394:4,0.05
Lutjanus,malabaricus,-29.75,114.25,3211:394:3,0.14
Lutjanus,malabaricus,-29.25,114.75,3211:394:2,0.02
Lutjanus,malabaricus,-29.25,114.25,3211:394:1,0.11
Lutjanus,malabaricus,-29.25,113.75,3211:393:2,0.13
Lutjanus,malabaricus,-28.75,114.75,3211:384:4,0.07
Lutjanus,malabaricus,-28.75,114.25,3211:384:3,0.11
Lutjanus,malabaricus,-28.25,114.75,3211:384:2,0.14
Lutjanus,malabaricus,-28.25,114.25,3211:384:1,0.09
Lutjanus,malabaricus,-27.75,114.25,3211:374:3,0.18
Lutjanus,malabaricus,-27.75,113.75,3211:373:4,0.15
Lutjanus,malabaricus,-25.25,112.25,3211:352:1,0.07
Lutjanus,malabaricus,-20.25,114.75,3211:104:2,0.02
Lutjanus,malabaricus,-21.25,55.75,3205:215:2,0.04
Lutjanus,malabaricus,-21.25,55.25,3205:215:1,0.07
Lutjanus,malabaricus,-20.25,57.75,3205:207:2,0.08
Lutjanus,malabaricus,-20.25,57.25,3205:207:1,0.10
Lutjanus,malabaricus,-20.75,55.75,3205:205:4,0.03
Lutjanus,malabaricus,-20.75,55.25,3205:205:3,0.03
Lutjanus,malabaricus,-18.25,179.75,3117:489:2,0.14
Lutjanus,malabaricus,-17.75,178.25,3117:478:3,0.09
Lutjanus,malabaricus,-19.25,170.25,3117:390:1,0.06
Lutjanus,malabaricus,-11.75,175.75,3117:215:4,0.01
Lutjanus,malabaricus,-11.25,175.75,3117:215:2,0.06
Lutjanus,malabaricus,-10.75,179.75,3117:209:4,0.10
Lutjanus,malabaricus,-10.25,179.75,3117:209:2,0.19
Lutjanus,malabaricus,-11.75,174.25,3117:114:3,0.01
Lutjanus,malabaricus,-11.75,173.75,3117:113:4,0.12
Lutjanus,malabaricus,-11.75,172.25,3117:112:3,0.03
Lutjanus,malabaricus,-19.75,169.75,3116:499:4,0.10
Lutjanus,malabaricus,-19.75,169.25,3116:499:3,0.15
Lutjanus,malabaricus,-19.25,169.75,3116:499:2,0.09
Lutjanus,malabaricus,-19.25,169.25,3116:499:1,0.16
Lutjanus,malabaricus,-19.75,165.75,3116:495:4,0.06
Lutjanus,malabaricus,-18.75,169.25,3116:489:3,0.16
Lutjanus,malabaricus,-17.25,168.75,3116:478:2,0.15
Lutjanus,malabaricus,-16.75,168.75,3116:468:4,0.10
Lutjanus,malabaricus,-15.75,168.25,3116:458:3,0.07
Lutjanus,malabaricus,-15.25,167.75,3116:457:2,0.08
Lutjanus,malabaricus,-19.75,164.25,3116:394:3,0.15
Lutjanus,malabaricus,-18.75,164.25,3116:384:3,0.04
Lutjanus,malabaricus,-18.25,164.25,3116:384:1,0.02
Lutjanus,malabaricus,-18.75,163.75,3116:383:4,0.10
Lutjanus,malabaricus,-18.75,162.75,3116:382:4,0.18
Lutjanus,malabaricus,-17.75,163.25,3116:373:3,0.03
Lutjanus,malabaricus,-17.75,162.75,3116:372:4,0.03
Lutjanus,malabaricus,-14.75,167.25,3116:247:3,0.11
Lutjanus,malabaricus,-14.25,167.25,3116:247:1,0.08
