Mapping parameters for Mactra quadrangularis (venus mactra)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,20,20
Temperature (°C),1,8.23,13.99,22.16,27.55
Salinity (psu),1,28.66,31.13,33.81,35.81
Primary Production (mgC·m-3·day-1) ,1,13.8,17.23,62.42,70.8
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,186.99,211.52,273.51,304.81
Distance to Land (km),0,3,13,24,25
 

Map data (HSPEC) for predicted occurrences (n = 263): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mactra,quadrangularis,10.75,108.25,1110:208:3,0.01
Mactra,quadrangularis,11.25,108.25,1110:218:1,0.01
Mactra,quadrangularis,11.25,108.75,1110:218:2,0.02
Mactra,quadrangularis,18.25,106.25,1110:486:1,0.19
Mactra,quadrangularis,22.75,113.75,1211:123:4,0.05
Mactra,quadrangularis,22.75,114.75,1211:124:4,0.02
Mactra,quadrangularis,23.25,119.75,1211:239:2,0.14
Mactra,quadrangularis,23.25,120.25,1212:130:1,0.12
Mactra,quadrangularis,24.25,121.75,1212:141:2,0.10
Mactra,quadrangularis,25.75,122.25,1212:352:3,0.03
Mactra,quadrangularis,32.75,129.75,1312:229:4,0.01
Mactra,quadrangularis,34.75,129.25,1312:249:3,0.13
Mactra,quadrangularis,36.75,126.75,1312:466:4,0.19
Mactra,quadrangularis,38.25,128.75,1312:488:2,0.18
Mactra,quadrangularis,38.75,128.25,1312:488:3,0.03
Mactra,quadrangularis,39.25,127.75,1312:497:2,0.13
Mactra,quadrangularis,31.25,131.25,1313:111:1,0.09
Mactra,quadrangularis,32.75,132.25,1313:122:3,0.14
Mactra,quadrangularis,32.75,132.75,1313:122:4,0.03
Mactra,quadrangularis,35.75,132.75,1313:352:4,0.02
Mactra,quadrangularis,35.75,133.75,1313:353:4,0.16
Mactra,quadrangularis,39.25,140.25,1314:390:1,0.01
Mactra,quadrangularis,39.25,142.25,1314:392:1,0.04
Mactra,quadrangularis,40.75,129.25,1412:209:3,0.08
Mactra,quadrangularis,41.25,129.75,1412:219:2,0.16
Mactra,quadrangularis,42.25,143.75,1414:123:2,0.18
Mactra,quadrangularis,42.75,143.25,1414:123:3,0.18
Mactra,quadrangularis,42.75,143.75,1414:123:4,0.11
Mactra,quadrangularis,42.75,144.25,1414:124:3,0.10
Mactra,quadrangularis,42.75,144.75,1414:124:4,0.09
Mactra,quadrangularis,43.25,144.25,1414:134:1,0.02
Mactra,quadrangularis,43.25,144.75,1414:134:2,0.01
Mactra,quadrangularis,45.25,142.25,1414:352:1,0.01
Mactra,quadrangularis,18.25,105.75,1110:485:2,0.23
Mactra,quadrangularis,18.75,105.75,1110:485:4,0.26
Mactra,quadrangularis,19.25,105.75,1110:495:2,0.28
Mactra,quadrangularis,19.75,105.75,1110:495:4,0.30
Mactra,quadrangularis,19.75,106.25,1110:496:3,0.30
Mactra,quadrangularis,19.75,110.75,1111:390:4,0.30
Mactra,quadrangularis,20.25,106.25,1210:206:1,0.34
Mactra,quadrangularis,20.25,106.75,1210:206:2,0.35
Mactra,quadrangularis,20.75,106.75,1210:206:4,0.39
Mactra,quadrangularis,21.75,107.75,1210:217:4,0.21
Mactra,quadrangularis,20.75,110.75,1211:100:4,0.25
Mactra,quadrangularis,21.25,112.75,1211:112:2,0.36
Mactra,quadrangularis,21.75,114.25,1211:114:3,0.38
Mactra,quadrangularis,22.75,113.25,1211:123:3,0.21
Mactra,quadrangularis,23.25,113.25,1211:133:1,0.36
Mactra,quadrangularis,23.25,113.75,1211:133:2,0.30
Mactra,quadrangularis,22.75,118.75,1211:228:4,0.22
Mactra,quadrangularis,23.75,120.25,1212:130:3,0.38
Mactra,quadrangularis,24.75,121.75,1212:141:4,0.30
