Mapping parameters for Mercenaria mercenaria (northern quahog)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  37,
Bounding Box (NSWE): ,49,30,80,-65

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,3,19,36
Temperature (°C),1,-1.27,9.75,22.69,25.97
Salinity (psu),1,19.98,24.88,35.93,36.43
Primary Production (mgC·m-3·day-1) ,1,3.71,7.24,39.01,56.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0.01,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,144.71,216.1,293.79,353.49
Distance to Land (km),0,0,2,82,193
 

Map data (HSPEC) for predicted occurrences (n = 186): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mercenaria,mercenaria,31.75,-79.75,7307:219:4,0.08
Mercenaria,mercenaria,32.75,-78.25,7307:228:3,0.04
Mercenaria,mercenaria,32.25,-79.25,7307:229:1,0.19
Mercenaria,mercenaria,33.75,-76.75,7307:236:4,0.15
Mercenaria,mercenaria,33.25,-77.25,7307:237:1,0.14
Mercenaria,mercenaria,39.25,-73.25,7307:393:1,0.12
Mercenaria,mercenaria,37.75,-76.75,7307:476:4,0.15
Mercenaria,mercenaria,38.25,-76.75,7307:486:2,0.02
Mercenaria,mercenaria,38.75,-76.25,7307:486:3,0.17
Mercenaria,mercenaria,38.75,-76.75,7307:486:4,0.08
Mercenaria,mercenaria,38.75,-77.25,7307:487:3,0.07
Mercenaria,mercenaria,39.25,-76.75,7307:496:2,0.11
Mercenaria,mercenaria,30.75,-80.25,7308:100:3,0.03
Mercenaria,mercenaria,31.25,-80.25,7308:110:1,0.12
Mercenaria,mercenaria,30.25,-86.75,7308:206:2,0.18
Mercenaria,mercenaria,30.25,-90.25,7309:100:1,0.04
Mercenaria,mercenaria,40.75,-68.25,7406:208:3,0.06
Mercenaria,mercenaria,41.25,-69.25,7406:219:1,0.18
Mercenaria,mercenaria,41.75,-69.75,7406:219:4,0.10
Mercenaria,mercenaria,42.25,-67.25,7406:227:1,0.08
Mercenaria,mercenaria,42.25,-69.75,7406:229:2,0.11
Mercenaria,mercenaria,43.75,-65.25,7406:235:3,0.14
Mercenaria,mercenaria,43.25,-66.25,7406:236:1,0.03
Mercenaria,mercenaria,41.25,-70.25,7407:110:1,0.03
Mercenaria,mercenaria,41.25,-73.75,7407:113:2,0.02
Mercenaria,mercenaria,32.75,-78.75,7307:228:4,0.27
Mercenaria,mercenaria,33.25,-77.75,7307:237:2,0.24
Mercenaria,mercenaria,33.75,-77.25,7307:237:3,0.37
Mercenaria,mercenaria,34.25,-76.25,7307:246:1,0.26
Mercenaria,mercenaria,35.25,-74.75,7307:354:2,0.22
Mercenaria,mercenaria,35.75,-74.75,7307:354:4,0.24
Mercenaria,mercenaria,38.25,-74.25,7307:384:1,0.24
Mercenaria,mercenaria,38.75,-75.75,7307:485:4,0.26
Mercenaria,mercenaria,38.25,-77.25,7307:487:1,0.22
Mercenaria,mercenaria,39.25,-75.75,7307:495:2,0.30
Mercenaria,mercenaria,39.75,-75.25,7307:495:3,0.27
Mercenaria,mercenaria,39.25,-76.25,7307:496:1,0.33
Mercenaria,mercenaria,30.25,-80.75,7308:100:2,0.20
Mercenaria,mercenaria,30.75,-80.75,7308:100:4,0.28
Mercenaria,mercenaria,32.75,-80.75,7308:120:4,0.33
Mercenaria,mercenaria,30.25,-85.25,7308:205:1,0.26
Mercenaria,mercenaria,30.25,-86.25,7308:206:1,0.27
Mercenaria,mercenaria,30.25,-88.75,7308:208:2,0.23
Mercenaria,mercenaria,30.25,-93.75,7309:103:2,0.31
Mercenaria,mercenaria,41.25,-67.25,7406:217:1,0.24
Mercenaria,mercenaria,41.75,-67.25,7406:217:3,0.30
Mercenaria,mercenaria,44.75,-68.75,7406:248:4,0.30
Mercenaria,mercenaria,44.25,-69.75,7406:249:2,0.30
Mercenaria,mercenaria,40.75,-70.25,7407:100:3,0.31
Mercenaria,mercenaria,40.75,-74.25,7407:104:3,0.28
Mercenaria,mercenaria,41.25,-70.75,7407:110:2,0.27
Mercenaria,mercenaria,32.25,-79.75,7307:229:2,0.58
Mercenaria,mercenaria,33.25,-78.25,7307:238:1,0.42
Mercenaria,mercenaria,34.75,-75.75,7307:245:4,0.43
Mercenaria,mercenaria,34.25,-76.75,7307:246:2,0.50
Mercenaria,mercenaria,36.25,-74.75,7307:364:2,0.41
Mercenaria,mercenaria,37.25,-74.75,7307:374:2,0.47
Mercenaria,mercenaria,39.75,-73.25,7307:393:3,0.47
Mercenaria,mercenaria,37.75,-76.25,7307:476:3,0.44
Mercenaria,mercenaria,39.75,-75.75,7307:495:4,0.49
Mercenaria,mercenaria,39.75,-76.25,7307:496:3,0.40
Mercenaria,mercenaria,30.25,-81.25,7308:101:1,0.48
Mercenaria,mercenaria,31.25,-80.75,7308:110:2,0.56
Mercenaria,mercenaria,31.75,-80.25,7308:110:3,0.46
Mercenaria,mercenaria,30.75,-87.25,7308:207:3,0.59
Mercenaria,mercenaria,40.75,-69.25,7406:209:3,0.58
Mercenaria,mercenaria,40.75,-69.75,7406:209:4,0.53
Mercenaria,mercenaria,41.25,-67.75,7406:217:2,0.41
Mercenaria,mercenaria,41.75,-68.25,7406:218:3,0.52
Mercenaria,mercenaria,44.75,-67.75,7406:247:4,0.59
Mercenaria,mercenaria,44.75,-68.25,7406:248:3,0.57
Mercenaria,mercenaria,32.75,-79.25,7307:229:3,0.78
Mercenaria,mercenaria,33.25,-79.75,7307:239:2,0.67
Mercenaria,mercenaria,39.25,-73.75,7307:393:2,0.71
Mercenaria,mercenaria,35.25,-75.25,7307:455:1,0.79
Mercenaria,mercenaria,30.25,-85.75,7308:205:2,0.76
Mercenaria,mercenaria,30.25,-87.25,7308:207:1,0.65
Mercenaria,mercenaria,30.25,-87.75,7308:207:2,0.72
Mercenaria,mercenaria,30.25,-88.25,7308:208:1,0.76
Mercenaria,mercenaria,41.75,-67.75,7406:217:4,0.65
Mercenaria,mercenaria,41.25,-68.25,7406:218:1,0.71
Mercenaria,mercenaria,44.25,-65.75,7406:245:2,0.60
Mercenaria,mercenaria,45.25,-67.25,7406:457:1,0.61
Mercenaria,mercenaria,40.75,-71.75,7407:101:4,0.64
Mercenaria,mercenaria,40.25,-73.25,7407:103:1,0.76
Mercenaria,mercenaria,42.25,-71.25,7407:121:1,0.67
Mercenaria,mercenaria,32.75,-79.75,7307:229:4,1.00
Mercenaria,mercenaria,33.75,-77.75,7307:237:4,0.95
Mercenaria,mercenaria,33.25,-78.75,7307:238:2,0.85
Mercenaria,mercenaria,33.75,-78.25,7307:238:3,1.00
Mercenaria,mercenaria,33.75,-78.75,7307:238:4,1.00
Mercenaria,mercenaria,33.25,-79.25,7307:239:1,1.00
Mercenaria,mercenaria,33.75,-79.25,7307:239:3,1.00
Mercenaria,mercenaria,34.75,-76.25,7307:246:3,0.99
Mercenaria,mercenaria,34.75,-76.75,7307:246:4,0.94
