Mapping parameters for Miichthys miiuy (Mi-iuy croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,43,21,116,146

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,23,58,100
Temperature (°C),1,6.53,15.09,25.16,29.36
Salinity (psu),1,24.32,29.63,33.72,37.94
Primary Production (mgC·m-3·day-1) ,1,4.18,5.18,34.74,42.16
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,81.27,179.29,264.12,343.79
Distance to Land (km),0,3,15,326,358
 

Map data (HSPEC) for predicted occurrences (n = 575): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Miichthys,miiuy,21.75,117.25,1211:217:3,0.11
Miichthys,miiuy,24.75,118.25,1211:248:3,0.07
Miichthys,miiuy,25.25,118.75,1211:458:2,0.16
Miichthys,miiuy,26.25,124.25,1212:364:1,0.11
Miichthys,miiuy,29.25,122.25,1212:392:1,0.15
Miichthys,miiuy,29.75,122.25,1212:392:3,0.17
Miichthys,miiuy,25.75,127.25,1212:457:3,0.10
Miichthys,miiuy,29.25,126.75,1212:496:2,0.02
Miichthys,miiuy,35.25,119.75,1311:459:2,0.02
Miichthys,miiuy,33.25,120.75,1312:130:2,0.09
Miichthys,miiuy,33.75,120.25,1312:130:3,0.02
Miichthys,miiuy,33.25,121.25,1312:131:1,0.18
Miichthys,miiuy,31.75,127.25,1312:217:3,0.09
Miichthys,miiuy,32.25,126.75,1312:226:2,0.19
Miichthys,miiuy,32.25,128.75,1312:228:2,0.02
Miichthys,miiuy,33.25,127.75,1312:237:2,0.09
Miichthys,miiuy,33.75,128.75,1312:238:4,0.02
Miichthys,miiuy,35.75,122.75,1312:352:4,0.08
Miichthys,miiuy,38.25,124.25,1312:384:1,0.01
Miichthys,miiuy,39.25,122.25,1312:392:1,0.07
Miichthys,miiuy,35.25,125.25,1312:455:1,0.13
Miichthys,miiuy,34.75,137.75,1313:247:4,0.18
Miichthys,miiuy,35.25,131.75,1313:351:2,0.02
Miichthys,miiuy,35.75,132.25,1313:352:3,0.05
Miichthys,miiuy,21.75,116.25,1211:216:3,0.36
Miichthys,miiuy,22.75,119.75,1211:229:4,0.21
Miichthys,miiuy,25.25,119.25,1211:459:1,0.31
Miichthys,miiuy,22.25,120.25,1212:120:1,0.33
