Mapping parameters for Mimachlamys varia (variegated scallop)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,69,15,-25,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,-0.77,10.08,20.11,30.14
Salinity (psu),1,5.21,32.07,37.97,39.25
Primary Production (mgC·m-3·day-1) ,1,0.08,0.72,22.29,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,178.8,201.7,285.37,408.48
Distance to Land (km),0,0,4,91,968
 

Map data (HSPEC) for predicted occurrences (n = 2421): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mimachlamys,varia,38.75,2.75,1300:382:4,0.11
Mimachlamys,varia,38.25,9.75,1300:489:2,0.01
Mimachlamys,varia,34.75,10.25,1301:140:3,0.04
Mimachlamys,varia,31.75,16.75,1301:216:4,0.14
Mimachlamys,varia,31.25,18.75,1301:218:2,0.03
Mimachlamys,varia,35.25,10.75,1301:350:2,0.08
Mimachlamys,varia,35.25,14.75,1301:354:2,0.10
Mimachlamys,varia,36.25,10.25,1301:360:1,0.09
Mimachlamys,varia,38.25,11.25,1301:381:1,0.09
Mimachlamys,varia,32.75,23.75,1302:123:4,0.08
Mimachlamys,varia,32.25,24.75,1302:124:2,0.19
Mimachlamys,varia,34.75,23.75,1302:143:4,0.05
Mimachlamys,varia,34.75,24.25,1302:144:3,0.16
Mimachlamys,varia,34.75,24.75,1302:144:4,0.14
Mimachlamys,varia,31.75,25.25,1302:215:3,0.16
Mimachlamys,varia,31.75,25.75,1302:215:4,0.14
Mimachlamys,varia,31.75,26.25,1302:216:3,0.13
Mimachlamys,varia,31.75,26.75,1302:216:4,0.12
Mimachlamys,varia,31.75,27.25,1302:217:3,0.12
