Mapping parameters for Mytilus coruscus (Far eastern mussel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,44,25,118,142

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,20,100
Temperature (°C),1,8.13,13.27,22.06,27.1
Salinity (psu),1,28.16,28.66,33.63,35.5
Primary Production (mgC·m-3·day-1) ,1,7.3,8.3,62.42,80.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,103.9,163.15,262.03,320.04
Distance to Land (km),0,0,8,22,88
 

Map data (HSPEC) for predicted occurrences (n = 403): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mytilus,coruscus,25.75,122.75,1212:352:4,0.05
Mytilus,coruscus,25.75,123.25,1212:353:3,0.01
Mytilus,coruscus,25.75,123.75,1212:353:4,0.01
Mytilus,coruscus,25.75,124.75,1212:354:4,0.01
Mytilus,coruscus,26.25,122.75,1212:362:2,0.12
Mytilus,coruscus,26.25,123.25,1212:363:1,0.11
Mytilus,coruscus,26.25,123.75,1212:363:2,0.04
Mytilus,coruscus,26.75,123.25,1212:363:3,0.17
Mytilus,coruscus,26.25,124.25,1212:364:1,0.02
Mytilus,coruscus,26.75,124.25,1212:364:3,0.14
Mytilus,coruscus,26.75,124.75,1212:364:4,0.17
Mytilus,coruscus,28.25,124.25,1212:384:1,0.09
Mytilus,coruscus,28.25,124.75,1212:384:2,0.15
Mytilus,coruscus,28.75,124.75,1212:384:4,0.06
Mytilus,coruscus,29.25,124.25,1212:394:1,0.05
Mytilus,coruscus,26.75,125.25,1212:465:3,0.04
Mytilus,coruscus,27.25,125.75,1212:475:2,0.07
Mytilus,coruscus,27.75,126.25,1212:476:3,0.09
Mytilus,coruscus,28.25,125.25,1212:485:1,0.13
Mytilus,coruscus,28.25,125.75,1212:485:2,0.15
Mytilus,coruscus,28.75,125.25,1212:485:3,0.12
Mytilus,coruscus,28.75,125.75,1212:485:4,0.15
Mytilus,coruscus,28.25,126.25,1212:486:1,0.07
Mytilus,coruscus,28.75,126.75,1212:486:4,0.05
Mytilus,coruscus,29.25,125.25,1212:495:1,0.13
Mytilus,coruscus,29.25,125.75,1212:495:2,0.14
Mytilus,coruscus,29.25,126.75,1212:496:2,0.01
Mytilus,coruscus,29.75,129.75,1212:499:4,0.19
Mytilus,coruscus,32.75,123.75,1312:123:4,0.16
