Mapping parameters for Mytilus galloprovincialis (Mediterranean mussel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  27 |  37 |  58,
Bounding Box (NSWE): ,61,30,-11,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,125,132,163,200
Temperature (°C),1,9.64,12.66,20.2,24.73
Salinity (psu),1,13.88,17.66,38.39,39.25
Primary Production (mgC·m-3·day-1) ,1,0.08,0.61,27.52,96.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,0.1,183.45,294.14,365.54
Distance to Land (km),0,0,5,91,240
 

Map data (HSPEC) for predicted occurrences (n = 957): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mytilus,galloprovincialis,38.25,9.75,1300:489:2,0.02
Mytilus,galloprovincialis,31.25,18.75,1301:218:2,0.09
Mytilus,galloprovincialis,31.75,25.75,1302:215:4,0.19
Mytilus,galloprovincialis,31.75,26.25,1302:216:3,0.17
Mytilus,galloprovincialis,31.75,26.75,1302:216:4,0.15
Mytilus,galloprovincialis,31.75,27.25,1302:217:3,0.15
Mytilus,galloprovincialis,34.75,25.25,1302:245:3,0.19
Mytilus,galloprovincialis,34.75,25.75,1302:245:4,0.19
Mytilus,galloprovincialis,35.25,27.25,1302:457:1,0.13
Mytilus,galloprovincialis,35.75,27.25,1302:457:3,0.11
Mytilus,galloprovincialis,35.75,27.75,1302:457:4,0.05
Mytilus,galloprovincialis,36.75,26.75,1302:466:4,0.16
Mytilus,galloprovincialis,36.25,27.25,1302:467:1,0.10
Mytilus,galloprovincialis,36.25,27.75,1302:467:2,0.05
Mytilus,galloprovincialis,36.75,27.25,1302:467:3,0.06
Mytilus,galloprovincialis,36.75,27.75,1302:467:4,0.03
Mytilus,galloprovincialis,36.25,28.25,1302:468:1,0.01
Mytilus,galloprovincialis,36.75,28.25,1302:468:3,0.01
Mytilus,galloprovincialis,36.75,28.75,1302:468:4,0.02
Mytilus,galloprovincialis,36.25,29.25,1302:469:1,0.02
Mytilus,galloprovincialis,36.25,29.75,1302:469:2,0.01
Mytilus,galloprovincialis,37.25,26.75,1302:476:2,0.19
Mytilus,galloprovincialis,31.75,33.25,1303:113:3,0.15
Mytilus,galloprovincialis,31.75,33.75,1303:113:4,0.17
Mytilus,galloprovincialis,32.25,30.25,1303:120:1,0.11
Mytilus,galloprovincialis,32.25,30.75,1303:120:2,0.11
Mytilus,galloprovincialis,32.25,31.25,1303:121:1,0.10
Mytilus,galloprovincialis,32.25,31.75,1303:121:2,0.10
Mytilus,galloprovincialis,32.25,32.25,1303:122:1,0.08
Mytilus,galloprovincialis,33.25,34.75,1303:134:2,0.14
Mytilus,galloprovincialis,34.75,32.25,1303:142:3,0.02
Mytilus,galloprovincialis,34.75,32.75,1303:142:4,0.02
Mytilus,galloprovincialis,34.75,33.25,1303:143:3,0.03
Mytilus,galloprovincialis,34.75,33.75,1303:143:4,0.02
Mytilus,galloprovincialis,34.75,34.25,1303:144:3,0.03
Mytilus,galloprovincialis,33.25,35.25,1303:235:1,0.17
Mytilus,galloprovincialis,33.75,35.25,1303:235:3,0.10
Mytilus,galloprovincialis,33.75,35.75,1303:235:4,0.19
Mytilus,galloprovincialis,34.25,35.75,1303:245:2,0.14
Mytilus,galloprovincialis,34.75,35.75,1303:245:4,0.06
Mytilus,galloprovincialis,35.25,33.25,1303:353:1,0.02
Mytilus,galloprovincialis,35.25,33.75,1303:353:2,0.02
Mytilus,galloprovincialis,35.25,34.25,1303:354:1,0.02
Mytilus,galloprovincialis,35.75,34.25,1303:354:3,0.02
Mytilus,galloprovincialis,35.75,34.75,1303:354:4,0.03
Mytilus,galloprovincialis,36.25,30.25,1303:360:1,0.01
Mytilus,galloprovincialis,36.25,30.75,1303:360:2,0.01
Mytilus,galloprovincialis,36.75,30.75,1303:360:4,0.02
Mytilus,galloprovincialis,36.75,31.25,1303:361:3,0.02
Mytilus,galloprovincialis,36.25,32.25,1303:362:1,0.02
Mytilus,galloprovincialis,36.25,32.75,1303:362:2,0.06
Mytilus,galloprovincialis,36.25,33.25,1303:363:1,0.06
Mytilus,galloprovincialis,36.25,33.75,1303:363:2,0.03
Mytilus,galloprovincialis,36.25,34.25,1303:364:1,0.03
Mytilus,galloprovincialis,36.25,34.75,1303:364:2,0.04
Mytilus,galloprovincialis,36.75,34.75,1303:364:4,0.06
Mytilus,galloprovincialis,35.25,35.75,1303:455:2,0.06
Mytilus,galloprovincialis,35.75,35.75,1303:455:4,0.07
Mytilus,galloprovincialis,36.25,35.25,1303:465:1,0.07
Mytilus,galloprovincialis,36.25,35.75,1303:465:2,0.12
Mytilus,galloprovincialis,36.75,35.75,1303:465:4,0.15
Mytilus,galloprovincialis,40.75,7.75,1400:207:4,0.15
Mytilus,galloprovincialis,58.75,0.25,1500:380:3,0.18
Mytilus,galloprovincialis,58.75,0.75,1500:380:4,0.19
Mytilus,galloprovincialis,58.75,3.75,1500:383:4,0.19
Mytilus,galloprovincialis,59.25,0.25,1500:390:1,0.14
Mytilus,galloprovincialis,59.25,0.75,1500:390:2,0.14
Mytilus,galloprovincialis,59.75,0.25,1500:390:3,0.14
Mytilus,galloprovincialis,59.75,0.75,1500:390:4,0.14
Mytilus,galloprovincialis,59.25,1.25,1500:391:1,0.13
Mytilus,galloprovincialis,59.75,1.25,1500:391:3,0.06
Mytilus,galloprovincialis,59.75,1.75,1500:391:4,0.02
Mytilus,galloprovincialis,59.25,2.25,1500:392:1,0.10
Mytilus,galloprovincialis,59.25,3.75,1500:393:2,0.05
Mytilus,galloprovincialis,59.25,4.75,1500:394:2,0.13
Mytilus,galloprovincialis,59.75,4.75,1500:394:4,0.12
Mytilus,galloprovincialis,58.25,5.25,1500:485:1,0.19
Mytilus,galloprovincialis,58.25,5.75,1500:485:2,0.19
Mytilus,galloprovincialis,58.75,5.25,1500:485:3,0.13
Mytilus,galloprovincialis,58.25,6.25,1500:486:1,0.19
Mytilus,galloprovincialis,59.25,5.25,1500:495:1,0.07
Mytilus,galloprovincialis,59.25,5.75,1500:495:2,0.03
Mytilus,galloprovincialis,59.75,5.75,1500:495:4,0.01
Mytilus,galloprovincialis,60.25,0.25,1600:100:1,0.18
Mytilus,galloprovincialis,60.25,0.75,1600:100:2,0.18
Mytilus,galloprovincialis,60.25,1.25,1600:101:1,0.16
Mytilus,galloprovincialis,60.25,1.75,1600:101:2,0.15
Mytilus,galloprovincialis,60.75,1.75,1600:101:4,0.19
Mytilus,galloprovincialis,60.75,2.25,1600:102:3,0.17
Mytilus,galloprovincialis,60.75,2.75,1600:102:4,0.18
Mytilus,galloprovincialis,60.25,3.25,1600:103:1,0.15
Mytilus,galloprovincialis,60.75,3.25,1600:103:3,0.09
Mytilus,galloprovincialis,60.25,4.75,1600:104:2,0.07
Mytilus,galloprovincialis,60.75,4.25,1600:104:3,0.03
Mytilus,galloprovincialis,39.25,-9.25,7300:499:1,0.14
Mytilus,galloprovincialis,43.75,-9.25,7400:239:3,0.14
Mytilus,galloprovincialis,53.75,-4.25,7500:134:3,0.16
