Mapping parameters for Nodipecten subnodosus (giant lions-paw)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1073,2712,7000
Temperature (°C),1,13.19,18.96,28.6,32.8
Salinity (psu),1,29.17,31.06,34.87,37.84
Primary Production (mgC·m-3·day-1) ,1,0.35,1.35,33.66,75.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,38.06,219.5,237.17
Distance to Land (km),0,1,7,105,219
 

Map data (HSPEC) for predicted occurrences (n = 25867): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nodipecten,subnodosus,-27.75,-70.75,5207:370:4,0.07
Nodipecten,subnodosus,-39.75,-160.75,5316:390:4,0.17
Nodipecten,subnodosus,-39.25,-161.75,5316:391:2,0.19
Nodipecten,subnodosus,-39.75,-161.25,5316:391:3,0.18
Nodipecten,subnodosus,-39.25,-162.25,5316:392:1,0.19
Nodipecten,subnodosus,-39.75,-162.25,5316:392:3,0.17
Nodipecten,subnodosus,-39.75,-162.75,5316:392:4,0.18
Nodipecten,subnodosus,-39.75,-163.25,5316:393:3,0.19
Nodipecten,subnodosus,-29.25,153.25,3215:393:1,0.09
Nodipecten,subnodosus,-29.75,153.25,3215:393:3,0.07
Nodipecten,subnodosus,-36.75,149.75,3314:469:4,0.03
Nodipecten,subnodosus,-31.25,152.75,3315:112:2,0.04
Nodipecten,subnodosus,-31.75,152.75,3315:112:4,0.12
Nodipecten,subnodosus,-32.75,151.75,3315:121:4,0.09
Nodipecten,subnodosus,-32.25,152.25,3315:122:1,0.02
Nodipecten,subnodosus,-32.75,152.25,3315:122:3,0.12
Nodipecten,subnodosus,-33.25,151.75,3315:131:2,0.13
Nodipecten,subnodosus,-33.75,151.25,3315:131:3,0.10
Nodipecten,subnodosus,-34.25,150.75,3315:140:2,0.04
Nodipecten,subnodosus,-34.75,150.75,3315:140:4,0.09
Nodipecten,subnodosus,-35.25,150.25,3315:350:1,0.03
Nodipecten,subnodosus,-35.75,150.25,3315:350:3,0.11
Nodipecten,subnodosus,-34.75,172.75,3317:142:4,0.13
Nodipecten,subnodosus,-35.25,173.25,3317:353:1,0.18
Nodipecten,subnodosus,-35.25,174.25,3317:354:1,0.14
Nodipecten,subnodosus,-35.75,174.25,3317:354:3,0.01
Nodipecten,subnodosus,-35.75,174.75,3317:354:4,0.12
Nodipecten,subnodosus,-36.25,174.25,3317:364:1,0.06
Nodipecten,subnodosus,-36.25,174.75,3317:364:2,0.04
Nodipecten,subnodosus,-36.75,174.75,3317:364:4,0.01
Nodipecten,subnodosus,-37.25,174.75,3317:374:2,0.04
Nodipecten,subnodosus,-37.75,174.75,3317:374:4,0.08
Nodipecten,subnodosus,-38.75,173.25,3317:383:3,0.11
Nodipecten,subnodosus,-38.75,173.75,3317:383:4,0.08
Nodipecten,subnodosus,-38.25,174.25,3317:384:1,0.12
Nodipecten,subnodosus,-38.25,174.75,3317:384:2,0.05
Nodipecten,subnodosus,-38.75,174.25,3317:384:3,0.05
Nodipecten,subnodosus,-38.75,174.75,3317:384:4,0.03
Nodipecten,subnodosus,-39.25,172.75,3317:392:2,0.12
Nodipecten,subnodosus,-39.75,172.25,3317:392:3,0.14
Nodipecten,subnodosus,-39.75,172.75,3317:392:4,0.09
Nodipecten,subnodosus,-39.25,173.25,3317:393:1,0.06
Nodipecten,subnodosus,-39.25,173.75,3317:393:2,0.06
Nodipecten,subnodosus,-39.75,173.25,3317:393:3,0.05
Nodipecten,subnodosus,-39.75,173.75,3317:393:4,0.04
Nodipecten,subnodosus,-39.25,174.25,3317:394:1,0.02
Nodipecten,subnodosus,-39.75,174.25,3317:394:3,0.03
Nodipecten,subnodosus,-39.75,174.75,3317:394:4,0.02
Nodipecten,subnodosus,-36.25,175.25,3317:465:1,0.05
Nodipecten,subnodosus,-36.25,175.75,3317:465:2,0.12
Nodipecten,subnodosus,-36.75,175.25,3317:465:3,0.01
Nodipecten,subnodosus,-36.75,175.75,3317:465:4,0.08
Nodipecten,subnodosus,-37.25,175.25,3317:475:1,0.05
Nodipecten,subnodosus,-37.25,175.75,3317:475:2,0.05
Nodipecten,subnodosus,-37.75,176.25,3317:476:3,0.03
Nodipecten,subnodosus,-37.75,178.25,3317:478:3,0.08
Nodipecten,subnodosus,-38.75,177.75,3317:487:4,0.06
Nodipecten,subnodosus,-38.25,178.25,3317:488:1,0.05
Nodipecten,subnodosus,-39.75,175.25,3317:495:3,0.01
Nodipecten,subnodosus,-39.25,176.75,3317:496:2,0.02
Nodipecten,subnodosus,-39.75,176.75,3317:496:4,0.02
Nodipecten,subnodosus,-39.25,177.25,3317:497:1,0.04
Nodipecten,subnodosus,-39.25,177.75,3317:497:2,0.05
Nodipecten,subnodosus,-41.75,153.25,3415:113:3,0.19
Nodipecten,subnodosus,-41.75,154.25,3415:114:3,0.19
Nodipecten,subnodosus,-41.75,154.75,3415:114:4,0.19
Nodipecten,subnodosus,-42.25,152.25,3415:122:1,0.18
Nodipecten,subnodosus,-42.25,152.75,3415:122:2,0.17
Nodipecten,subnodosus,-42.75,152.25,3415:122:3,0.15
Nodipecten,subnodosus,-42.75,152.75,3415:122:4,0.13
Nodipecten,subnodosus,-42.25,153.25,3415:123:1,0.16
Nodipecten,subnodosus,-42.25,153.75,3415:123:2,0.16
Nodipecten,subnodosus,-42.75,153.25,3415:123:3,0.12
Nodipecten,subnodosus,-42.75,153.75,3415:123:4,0.11
Nodipecten,subnodosus,-42.25,154.25,3415:124:1,0.15
Nodipecten,subnodosus,-42.25,154.75,3415:124:2,0.15
Nodipecten,subnodosus,-42.75,154.25,3415:124:3,0.11
Nodipecten,subnodosus,-42.75,154.75,3415:124:4,0.11
Nodipecten,subnodosus,-43.75,150.25,3415:130:3,0.15
Nodipecten,subnodosus,-43.75,150.75,3415:130:4,0.14
Nodipecten,subnodosus,-43.25,151.25,3415:131:1,0.19
Nodipecten,subnodosus,-43.25,151.75,3415:131:2,0.14
Nodipecten,subnodosus,-43.75,151.25,3415:131:3,0.14
Nodipecten,subnodosus,-43.75,151.75,3415:131:4,0.09
Nodipecten,subnodosus,-43.25,152.25,3415:132:1,0.11
Nodipecten,subnodosus,-43.25,152.75,3415:132:2,0.10
Nodipecten,subnodosus,-43.75,152.25,3415:132:3,0.08
Nodipecten,subnodosus,-43.75,152.75,3415:132:4,0.07
Nodipecten,subnodosus,-43.25,153.25,3415:133:1,0.08
Nodipecten,subnodosus,-43.25,153.75,3415:133:2,0.08
Nodipecten,subnodosus,-43.75,153.25,3415:133:3,0.05
Nodipecten,subnodosus,-43.75,153.75,3415:133:4,0.04
Nodipecten,subnodosus,-43.25,154.25,3415:134:1,0.07
Nodipecten,subnodosus,-43.25,154.75,3415:134:2,0.06
Nodipecten,subnodosus,-43.75,154.25,3415:134:3,0.04
Nodipecten,subnodosus,-43.75,154.75,3415:134:4,0.03
Nodipecten,subnodosus,-44.25,150.25,3415:140:1,0.07
Nodipecten,subnodosus,-44.25,150.75,3415:140:2,0.07
Nodipecten,subnodosus,-44.25,151.25,3415:141:1,0.06
Nodipecten,subnodosus,-44.25,151.75,3415:141:2,0.04
Nodipecten,subnodosus,-44.25,152.25,3415:142:1,0.03
Nodipecten,subnodosus,-44.25,152.75,3415:142:2,0.02
Nodipecten,subnodosus,-44.25,153.25,3415:143:1,0.01
Nodipecten,subnodosus,-44.25,153.75,3415:143:2,0.01
Nodipecten,subnodosus,-40.75,159.75,3415:209:4,0.19
Nodipecten,subnodosus,-41.75,155.25,3415:215:3,0.19
Nodipecten,subnodosus,-41.75,157.25,3415:217:3,0.19
Nodipecten,subnodosus,-41.75,157.75,3415:217:4,0.19
Nodipecten,subnodosus,-41.75,158.25,3415:218:3,0.18
Nodipecten,subnodosus,-41.75,158.75,3415:218:4,0.18
Nodipecten,subnodosus,-41.75,159.25,3415:219:3,0.18
Nodipecten,subnodosus,-42.25,155.25,3415:225:1,0.15
Nodipecten,subnodosus,-42.25,155.75,3415:225:2,0.15
Nodipecten,subnodosus,-42.75,155.25,3415:225:3,0.10
Nodipecten,subnodosus,-42.75,155.75,3415:225:4,0.10
Nodipecten,subnodosus,-42.25,156.25,3415:226:1,0.15
Nodipecten,subnodosus,-42.25,156.75,3415:226:2,0.16
Nodipecten,subnodosus,-42.75,156.25,3415:226:3,0.11
Nodipecten,subnodosus,-42.75,156.75,3415:226:4,0.11
Nodipecten,subnodosus,-42.25,157.25,3415:227:1,0.17
Nodipecten,subnodosus,-42.25,157.75,3415:227:2,0.16
Nodipecten,subnodosus,-42.75,157.25,3415:227:3,0.12
Nodipecten,subnodosus,-42.75,157.75,3415:227:4,0.11
Nodipecten,subnodosus,-42.25,158.25,3415:228:1,0.14
Nodipecten,subnodosus,-42.25,158.75,3415:228:2,0.13
Nodipecten,subnodosus,-42.75,158.25,3415:228:3,0.10
Nodipecten,subnodosus,-42.75,158.75,3415:228:4,0.11
Nodipecten,subnodosus,-42.25,159.25,3415:229:1,0.13
Nodipecten,subnodosus,-42.25,159.75,3415:229:2,0.12
Nodipecten,subnodosus,-42.75,159.25,3415:229:3,0.10
Nodipecten,subnodosus,-42.75,159.75,3415:229:4,0.09
Nodipecten,subnodosus,-43.25,155.25,3415:235:1,0.06
Nodipecten,subnodosus,-43.25,155.75,3415:235:2,0.06
Nodipecten,subnodosus,-43.75,155.25,3415:235:3,0.02
Nodipecten,subnodosus,-43.75,155.75,3415:235:4,0.01
Nodipecten,subnodosus,-43.25,156.25,3415:236:1,0.07
Nodipecten,subnodosus,-43.25,156.75,3415:236:2,0.07
Nodipecten,subnodosus,-43.75,156.25,3415:236:3,0.02
Nodipecten,subnodosus,-43.75,156.75,3415:236:4,0.03
Nodipecten,subnodosus,-43.25,157.25,3415:237:1,0.07
Nodipecten,subnodosus,-43.25,157.75,3415:237:2,0.07
Nodipecten,subnodosus,-43.75,157.25,3415:237:3,0.03
Nodipecten,subnodosus,-43.75,157.75,3415:237:4,0.02
Nodipecten,subnodosus,-43.25,158.25,3415:238:1,0.07
Nodipecten,subnodosus,-43.25,158.75,3415:238:2,0.07
Nodipecten,subnodosus,-43.75,158.25,3415:238:3,0.02
Nodipecten,subnodosus,-43.75,158.75,3415:238:4,0.02
Nodipecten,subnodosus,-43.25,159.25,3415:239:1,0.06
Nodipecten,subnodosus,-43.25,159.75,3415:239:2,0.05
Nodipecten,subnodosus,-43.75,159.25,3415:239:3,0.02
Nodipecten,subnodosus,-43.75,159.75,3415:239:4,0.02
Nodipecten,subnodosus,-40.75,160.75,3416:100:4,0.19
Nodipecten,subnodosus,-40.75,161.25,3416:101:3,0.19
Nodipecten,subnodosus,-41.25,160.25,3416:110:1,0.18
Nodipecten,subnodosus,-41.25,160.75,3416:110:2,0.16
