Mapping parameters for Oncorhynchus gorbuscha (Pink salmon)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  61 |  67 |  77 ,
Bounding Box (NSWE): ,79,32,117,-120

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,28,118,250
Temperature (°C),1,-1.79,3.88,10.68,19.95
Salinity (psu),1,19.4,31.17,32.88,35.06
Primary Production,1,0,528,1748,2662
Sea Ice Concentration,1,-0.93882518392157,0,0.16,0.95
Distance to Land (km),0,0,4,191,458
 

Map data (HSPEC) for predicted occurrences (n = 3186): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Oncorhynchus,gorbuscha,37.25,118.75,1311:478:2,0.06,0.10714285714286,0.66235167206041,0.83432455395072,1,1,1
Oncorhynchus,gorbuscha,37.75,118.75,1311:478:4,0.12,0.21428571428571,0.66235167206041,0.83432455395072,1,1,1
Oncorhynchus,gorbuscha,38.75,118.75,1311:488:4,0.06,1,0.71844660194175,0.83432455395072,0.10612691466083,1,1
Oncorhynchus,gorbuscha,38.25,119.25,1311:489:1,0.17,1,0.79719525350593,0.88105352591334,0.24398249452954,1,1
Oncorhynchus,gorbuscha,38.75,119.25,1311:489:3,0.07,1,0.79719525350593,0.88105352591334,0.096280087527352,1,1
Oncorhynchus,gorbuscha,32.25,120.25,1312:120:1,0.01,0.035714285714286,0.37001078748652,1,0.5109409190372,1,1
Oncorhynchus,gorbuscha,32.25,122.25,1312:122:1,0.09,0.92857142857143,0.3462783171521,0.97960917587086,0.30087527352298,1,1
Oncorhynchus,gorbuscha,32.25,122.75,1312:122:2,0.01,1,0.3462783171521,0.97960917587086,0.043763676148796,1,1
Oncorhynchus,gorbuscha,32.75,122.25,1312:122:3,0.15,1,0.3462783171521,0.97960917587086,0.44857768052516,1,1
Oncorhynchus,gorbuscha,32.75,122.75,1312:122:4,0.10,1,0.3462783171521,0.97960917587086,0.30087527352298,1,1
Oncorhynchus,gorbuscha,32.25,123.25,1312:123:1,0.11,1,0.30852211434736,1,0.35776805251641,1,1
Oncorhynchus,gorbuscha,32.25,124.25,1312:124:1,0.19,1,0.21467098166127,1,0.90700218818381,1,1
Oncorhynchus,gorbuscha,33.75,120.25,1312:130:3,0.14,0.57142857142857,0.41423948220065,1,0.61159737417943,1,1
Oncorhynchus,gorbuscha,33.25,121.75,1312:131:2,0.16,1,0.39805825242718,1,0.40700218818381,1,1
Oncorhynchus,gorbuscha,33.75,121.75,1312:131:4,0.16,1,0.39805825242718,1,0.39059080962801,1,1
Oncorhynchus,gorbuscha,33.25,122.25,1312:132:1,0.11,1,0.39050701186624,1,0.2800875273523,1,1
Oncorhynchus,gorbuscha,33.75,122.25,1312:132:3,0.18,1,0.39050701186624,1,0.4617067833698,1,1
Oncorhynchus,gorbuscha,34.25,121.25,1312:141:1,0.11,1,0.44012944983819,1,0.24288840262582,1,1
Oncorhynchus,gorbuscha,32.25,125.25,1312:225:1,0.13,1,0.13484358144552,1,1,1,1
