Mapping parameters for Oncorhynchus mykiss (Rainbow trout)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  2 |  7 |  18 |  21 |  37 |  61 |  67 |  77 ,
Bounding Box (NSWE): ,67,32,135,-117

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,0.775,5.4,15.43,23.92
Salinity (psu),1,29.5,30.27,33.47,38.04
Primary Production,1,235.5,871,2537,3287.5
Sea Ice Concentration,1,-0.96,0,0.17,0.43
Distance to Land (km),0,0,1,20,280
 

Map data (HSPEC) for predicted occurrences (n = 2191): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Oncorhynchus,mykiss,32.25,139.75,1313:229:2,0.02,1,0.14840989399293,0.76148796498906,0.19118804091267,1,1
Oncorhynchus,mykiss,32.75,139.75,1313:229:4,0.01,0.20952380952381,0.14840989399293,0.76148796498906,0.24154209284028,1,1
Oncorhynchus,mykiss,33.25,135.75,1313:235:2,0.08,1,0.24381625441696,0.80962800875273,0.38945712037766,1,1
Oncorhynchus,mykiss,33.75,135.25,1313:235:3,0.12,1,0.24381625441696,0.80962800875273,0.59874114870181,1,1
Oncorhynchus,mykiss,33.75,135.75,1313:235:4,0.13,1,0.24381625441696,0.80962800875273,0.64909520062943,1,1
Oncorhynchus,mykiss,33.75,136.25,1313:236:3,0.12,1,0.22143698468787,0.80962800875273,0.68686073957514,1,1
Oncorhynchus,mykiss,33.75,138.75,1313:238:4,0.07,1,0.22025912838634,0.7855579868709,0.41306058221873,1,1
Oncorhynchus,mykiss,33.25,139.75,1313:239:2,0.05,1,0.22379269729093,0.7746170678337,0.29661683713611,1,1
Oncorhynchus,mykiss,33.75,139.75,1313:239:4,0.06,1,0.22379269729093,0.7746170678337,0.32179386309992,1,1
Oncorhynchus,mykiss,34.25,135.25,1313:245:1,0.13,1,0.37573616018846,0.80962800875273,0.42250196695515,1,1
Oncorhynchus,mykiss,34.75,135.25,1313:245:3,0.13,1,0.37573616018846,0.80962800875273,0.44295830055075,1,1
Oncorhynchus,mykiss,34.25,136.25,1313:246:1,0.17,1,0.2979976442874,0.80962800875273,0.6852871754524,1,1
Oncorhynchus,mykiss,34.25,136.75,1313:246:2,0.19,1,0.2979976442874,0.80962800875273,0.80173092053501,1,1
Oncorhynchus,mykiss,34.25,137.25,1313:247:1,0.14,1,0.2791519434629,0.7964989059081,0.64594807238395,1,1
Oncorhynchus,mykiss,34.75,137.75,1313:247:4,0.15,1,0.2791519434629,0.7964989059081,0.6726986624705,1,1
Oncorhynchus,mykiss,34.25,138.25,1313:248:1,0.14,1,0.28975265017668,0.7855579868709,0.62234461054288,1,1
Oncorhynchus,mykiss,34.25,138.75,1313:248:2,0.13,1,0.28975265017668,0.78993435448578,0.56254917387884,1,1
Oncorhynchus,mykiss,34.25,139.25,1313:249:1,0.13,1,0.32037691401649,0.78993435448578,0.5279307631786,1,1
Oncorhynchus,mykiss,34.25,139.75,1313:249:2,0.11,1,0.32037691401649,0.78993435448578,0.42879622344611,1,1
Oncorhynchus,mykiss,34.75,139.25,1313:249:3,0.19,1,0.32037691401649,0.78993435448578,0.7513768686074,1,1
