Mapping parameters for Ostrea edulis (edible oyster)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  37 ,
Bounding Box (NSWE): ,66,30,-16,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,132,163,200
Temperature (°C),1,7.51,9.88,17.83,22.15
Salinity (psu),1,16.4,33.41,37.15,40
Primary Production,1,300,535,1746,2840.5
Sea Ice Concentration,1,-0.9900000000000001,0,0.02,0.13
Distance to Land (km),0,2,6,225,556
 

Map data (HSPEC) for predicted occurrences (n = 1838): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Ostrea,edulis,38.75,2.75,1300:382:4,0.12,0.43243243243243,0.66203703703704,0.95087719298246,0.45531914893617,1,1
Ostrea,edulis,39.75,2.75,1300:392:4,0.19,1,0.71759259259259,0.79298245614035,0.33191489361702,1,1
Ostrea,edulis,38.25,9.75,1300:489:2,0.01,0.027027027027027,0.70833333333333,0.83859649122807,0.52765957446809,1,1
Ostrea,edulis,39.75,8.75,1300:498:4,0.04,0.12121212121212,0.75694444444444,0.86315789473684,0.5531914893617,1,1
Ostrea,edulis,32.75,12.25,1301:122:3,0.02,0.1969696969697,0.27546296296296,0.82456140350877,0.37021276595745,1,1
Ostrea,edulis,32.75,12.75,1301:122:4,0.05,0.31060606060606,0.27546296296296,0.82456140350877,0.74893617021277,1,1
Ostrea,edulis,32.75,13.25,1301:123:3,0.05,0.28030303030303,0.23842592592593,0.78947368421053,1,1,1
Ostrea,edulis,32.75,13.75,1301:123:4,0.19,1,0.23842592592593,0.78947368421053,1,1,1
Ostrea,edulis,32.25,14.75,1301:124:2,0.01,0.12878787878788,0.1875,0.65614035087719,0.8936170212766,1,1
Ostrea,edulis,32.75,14.25,1301:124:3,0.05,1,0.1875,0.74385964912281,0.39148936170213,1,1
Ostrea,edulis,32.75,14.75,1301:124:4,0.04,1,0.1875,0.74385964912281,0.27659574468085,1,1
Ostrea,edulis,33.75,10.25,1301:130:3,0.09,0.57575757575758,0.2337962962963,0.86315789473684,0.75744680851064,1,1
Ostrea,edulis,33.75,10.75,1301:130:4,0.09,0.46969696969697,0.2337962962963,0.86315789473684,1,1,1
Ostrea,edulis,33.25,11.25,1301:131:1,0.06,0.25,0.27083333333333,0.86315789473684,1,1,1
Ostrea,edulis,33.25,11.75,1301:131:2,0.03,0.31060606060606,0.27083333333333,0.86315789473684,0.35744680851064,1,1
