Mapping parameters for Pagellus erythrinus (Common pandora)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,60,10,-26,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,20,100,300
Temperature (°C),1,9.68,14.62,21.27,26.05
Salinity (psu),1,16.77,34.93,38.84,39.97
Primary Production,1,263,339,1372,3781
Sea Ice Concentration,1,-1,0,0,0.03
Distance to Land (km),0,1,9,156,358
 

Map data (HSPEC) for predicted occurrences (n = 1809): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagellus,erythrinus,39.25,7.75,1300:497:2,0.06
Pagellus,erythrinus,33.75,13.75,1301:133:4,0.02
Pagellus,erythrinus,33.75,14.75,1301:134:4,0.03
Pagellus,erythrinus,34.75,10.25,1301:140:3,0.05
Pagellus,erythrinus,32.75,15.75,1301:225:4,0.16
Pagellus,erythrinus,32.25,19.25,1301:229:1,0.01
Pagellus,erythrinus,34.25,15.75,1301:245:2,0.06
Pagellus,erythrinus,35.25,10.75,1301:350:2,0.10
Pagellus,erythrinus,36.25,10.25,1301:360:1,0.10
Pagellus,erythrinus,36.25,13.75,1301:363:2,0.04
Pagellus,erythrinus,36.75,29.25,1302:469:3,0.11
Pagellus,erythrinus,37.25,27.75,1302:477:2,0.01
Pagellus,erythrinus,37.25,28.25,1302:478:1,0.13
Pagellus,erythrinus,49.75,1.25,1400:391:3,0.15
Pagellus,erythrinus,41.75,10.25,1401:110:3,0.12
Pagellus,erythrinus,42.25,12.25,1401:122:1,0.15
Pagellus,erythrinus,40.75,19.75,1401:209:4,0.15
Pagellus,erythrinus,42.75,18.75,1401:228:4,0.05
Pagellus,erythrinus,43.75,16.75,1401:236:4,0.05
Pagellus,erythrinus,44.25,15.75,1401:245:2,0.05
Pagellus,erythrinus,44.75,15.25,1401:245:3,0.05
Pagellus,erythrinus,45.75,12.25,1401:352:3,0.05
Pagellus,erythrinus,40.25,24.75,1402:104:2,0.10
Pagellus,erythrinus,40.25,27.75,1402:207:2,0.07
Pagellus,erythrinus,40.75,27.25,1402:207:3,0.07
Pagellus,erythrinus,40.75,27.75,1402:207:4,0.07
Pagellus,erythrinus,40.25,28.25,1402:208:1,0.07
Pagellus,erythrinus,40.25,28.75,1402:208:2,0.07
