Mapping parameters for Pagrus auratus (Silver seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  61 |  71 |  81 ,
Bounding Box (NSWE): ,44,-47,90,-175

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,7.92,15.25,25.04,29.24
Salinity (psu),1,33.56,34.92,35.92,36.42
Primary Production,1,300,400,871,1628
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,8,154,485
 

Map data (HSPEC) for predicted occurrences (n = 2848): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pagrus,auratus,1.75,117.75,1011:217:4,0.01,1,0.049999999999999,0.22058823529412,0.55217965653897,1,1
Pagrus,auratus,1.25,118.75,1011:218:2,0.01,1,0.04047619047619,0.20588235294118,1,1,1
Pagrus,auratus,1.75,118.25,1011:218:3,0.01,1,0.04047619047619,0.22058823529412,1,1,1
Pagrus,auratus,1.75,118.75,1011:218:4,0.01,1,0.04047619047619,0.22058823529412,0.7331571994716,1,1
Pagrus,auratus,1.25,119.25,1011:219:1,0.01,1,0.028571428571428,0.20588235294118,1,1,1
Pagrus,auratus,1.75,119.25,1011:219:3,0.01,1,0.028571428571428,0.20588235294118,1,1,1
Pagrus,auratus,2.25,118.75,1011:228:2,0.01,1,0.045238095238095,0.22058823529412,1,1,1
Pagrus,auratus,2.75,118.25,1011:228:3,0.01,1,0.045238095238095,0.22058823529412,0.92470277410832,1,1
Pagrus,auratus,3.25,118.25,1011:238:1,0.01,0.78095238095238,0.052380952380952,0.1985294117647,0.85336856010568,1,1
Pagrus,auratus,4.25,117.75,1011:247:2,0.01,1,0.066666666666666,0.1985294117647,0.56935270805812,1,1
Pagrus,auratus,4.25,118.25,1011:248:1,0.01,1,0.069047619047619,0.1985294117647,0.55878467635403,1,1
Pagrus,auratus,4.25,118.75,1011:248:2,0.01,1,0.069047619047619,0.28676470588235,0.72787318361955,1,1
