Mapping parameters for Pagrus auriga (Redbanded seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47,
Bounding Box (NSWE): ,44,-16,-17,35

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,19,82,170
Temperature (°C),1,12.67,19.5,27.86,32.06
Salinity (psu),1,17.55,25.93,37.21,39.21
Primary Production (mgC·m-3·day-1) ,1,0.12,1.12,57.26,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,86.33,238.44,281.05
Distance to Land (km),0,2,9,95,134
 

Map data (HSPEC) for predicted occurrences (n = 1082): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagrus,auriga,4.25,9.75,1000:249:2,0.04
Pagrus,auriga,6.75,3.25,1000:363:3,0.06
Pagrus,auriga,38.75,0.75,1300:380:4,0.05
Pagrus,auriga,39.25,3.75,1300:393:2,0.14
Pagrus,auriga,34.25,13.75,1301:143:2,0.09
Pagrus,auriga,34.75,13.75,1301:143:4,0.08
Pagrus,auriga,34.25,14.25,1301:144:1,0.05
Pagrus,auriga,34.25,14.75,1301:144:2,0.13
Pagrus,auriga,32.25,16.25,1301:226:1,0.09
Pagrus,auriga,34.75,15.25,1301:245:3,0.03
Pagrus,auriga,35.25,10.75,1301:350:2,0.04
Pagrus,auriga,35.25,13.75,1301:353:2,0.16
Pagrus,auriga,36.25,10.25,1301:360:1,0.05
Pagrus,auriga,36.25,11.75,1301:361:2,0.16
Pagrus,auriga,37.75,11.25,1301:371:3,0.09
Pagrus,auriga,35.25,15.25,1301:455:1,0.06
Pagrus,auriga,39.25,17.25,1301:497:1,0.19
Pagrus,auriga,39.75,17.25,1301:497:3,0.19
Pagrus,auriga,39.75,17.75,1301:497:4,0.16
Pagrus,auriga,39.75,18.25,1301:498:3,0.16
Pagrus,auriga,39.25,19.75,1301:499:2,0.19
Pagrus,auriga,31.75,20.25,1302:110:3,0.15
Pagrus,auriga,32.75,20.25,1302:120:3,0.17
Pagrus,auriga,32.75,20.75,1302:120:4,0.17
Pagrus,auriga,32.75,21.25,1302:121:3,0.17
Pagrus,auriga,32.75,21.75,1302:121:4,0.15
Pagrus,auriga,32.75,22.25,1302:122:3,0.13
Pagrus,auriga,32.75,22.75,1302:122:4,0.12
Pagrus,auriga,32.25,23.25,1302:123:1,0.11
Pagrus,auriga,32.25,23.75,1302:123:2,0.10
Pagrus,auriga,32.75,23.25,1302:123:3,0.11
Pagrus,auriga,32.75,23.75,1302:123:4,0.01
Pagrus,auriga,32.25,24.25,1302:124:1,0.09
Pagrus,auriga,32.25,24.75,1302:124:2,0.07
Pagrus,auriga,34.75,24.25,1302:144:3,0.06
Pagrus,auriga,34.75,24.75,1302:144:4,0.05
Pagrus,auriga,30.75,29.25,1302:209:3,0.16
Pagrus,auriga,31.75,25.25,1302:215:3,0.06
Pagrus,auriga,31.75,25.75,1302:215:4,0.06
Pagrus,auriga,31.25,26.75,1302:216:2,0.15
Pagrus,auriga,31.75,26.25,1302:216:3,0.05
Pagrus,auriga,31.75,26.75,1302:216:4,0.05
Pagrus,auriga,31.25,27.25,1302:217:1,0.15
Pagrus,auriga,31.25,27.75,1302:217:2,0.15
Pagrus,auriga,31.75,27.25,1302:217:3,0.05
Pagrus,auriga,31.25,28.25,1302:218:1,0.13
Pagrus,auriga,31.25,28.75,1302:218:2,0.10
Pagrus,auriga,31.25,29.25,1302:219:1,0.14
Pagrus,auriga,31.75,29.75,1302:219:4,0.06
Pagrus,auriga,32.25,25.25,1302:225:1,0.06
Pagrus,auriga,34.75,25.25,1302:245:3,0.04
Pagrus,auriga,34.75,25.75,1302:245:4,0.04
Pagrus,auriga,34.75,26.25,1302:246:3,0.05
Pagrus,auriga,35.25,23.75,1302:353:2,0.08
Pagrus,auriga,35.25,24.25,1302:354:1,0.09
Pagrus,auriga,35.25,24.75,1302:354:2,0.10
Pagrus,auriga,37.75,20.75,1302:370:4,0.17
Pagrus,auriga,38.25,20.25,1302:380:1,0.14
Pagrus,auriga,35.25,25.25,1302:455:1,0.10
Pagrus,auriga,35.25,25.75,1302:455:2,0.09
Pagrus,auriga,35.75,25.75,1302:455:4,0.01
Pagrus,auriga,35.25,26.25,1302:456:1,0.08
Pagrus,auriga,35.25,26.75,1302:456:2,0.04
Pagrus,auriga,35.75,26.25,1302:456:3,0.08
Pagrus,auriga,35.75,26.75,1302:456:4,0.04
Pagrus,auriga,35.25,27.25,1302:457:1,0.02
Pagrus,auriga,35.75,27.25,1302:457:3,0.02
Pagrus,auriga,36.25,25.25,1302:465:1,0.15
Pagrus,auriga,36.25,25.75,1302:465:2,0.10
Pagrus,auriga,36.75,25.75,1302:465:4,0.11
Pagrus,auriga,36.25,26.25,1302:466:1,0.07
Pagrus,auriga,36.25,26.75,1302:466:2,0.04
Pagrus,auriga,36.75,26.25,1302:466:3,0.06
Pagrus,auriga,36.75,26.75,1302:466:4,0.03
Pagrus,auriga,36.25,27.25,1302:467:1,0.02
Pagrus,auriga,36.75,27.25,1302:467:3,0.01
Pagrus,auriga,36.75,29.25,1302:469:3,0.19
Pagrus,auriga,37.25,25.75,1302:475:2,0.13
Pagrus,auriga,37.25,26.25,1302:476:1,0.07
Pagrus,auriga,37.25,26.75,1302:476:2,0.05
Pagrus,auriga,37.75,26.75,1302:476:4,0.16
Pagrus,auriga,37.25,27.25,1302:477:1,0.05
Pagrus,auriga,37.25,27.75,1302:477:2,0.19
Pagrus,auriga,31.75,32.75,1303:112:4,0.12
Pagrus,auriga,31.75,33.25,1303:113:3,0.09
Pagrus,auriga,31.75,33.75,1303:113:4,0.09
Pagrus,auriga,32.25,30.25,1303:120:1,0.03
Pagrus,auriga,32.25,30.75,1303:120:2,0.04
Pagrus,auriga,32.25,31.25,1303:121:1,0.03
Pagrus,auriga,32.25,31.75,1303:121:2,0.04
Pagrus,auriga,32.25,32.25,1303:122:1,0.01
Pagrus,auriga,33.25,34.75,1303:134:2,0.07
Pagrus,auriga,35.75,34.75,1303:354:4,0.01
Pagrus,auriga,36.25,32.75,1303:362:2,0.03
Pagrus,auriga,36.25,33.25,1303:363:1,0.04
Pagrus,auriga,36.25,33.75,1303:363:2,0.01
Pagrus,auriga,36.25,34.25,1303:364:1,0.01
Pagrus,auriga,36.25,34.75,1303:364:2,0.02
Pagrus,auriga,36.75,34.75,1303:364:4,0.04
Pagrus,auriga,42.25,3.75,1400:123:2,0.10
Pagrus,auriga,41.25,9.75,1400:219:2,0.19
Pagrus,auriga,41.75,9.75,1400:219:4,0.15
Pagrus,auriga,42.75,6.25,1400:226:3,0.16
Pagrus,auriga,42.25,9.25,1400:229:1,0.11
Pagrus,auriga,42.25,9.75,1400:229:2,0.16
Pagrus,auriga,43.25,6.75,1400:236:2,0.14
Pagrus,auriga,43.25,9.25,1400:239:1,0.14
Pagrus,auriga,43.25,9.75,1400:239:2,0.16
Pagrus,auriga,40.25,10.25,1401:100:1,0.05
Pagrus,auriga,42.25,10.25,1401:120:1,0.14
Pagrus,auriga,42.25,10.75,1401:120:2,0.15
Pagrus,auriga,42.75,10.25,1401:120:3,0.15
Pagrus,auriga,42.25,12.25,1401:122:1,0.11
Pagrus,auriga,40.25,17.75,1401:207:2,0.13
Pagrus,auriga,40.75,19.75,1401:209:4,0.07
Pagrus,auriga,41.25,27.75,1402:217:2,0.19
Pagrus,auriga,41.25,28.75,1402:218:2,0.14
Pagrus,auriga,41.75,28.25,1402:218:3,0.04
Pagrus,auriga,41.75,28.75,1402:218:4,0.06
Pagrus,auriga,41.25,29.25,1402:219:1,0.09
Pagrus,auriga,41.25,29.75,1402:219:2,0.08
Pagrus,auriga,41.75,29.25,1402:219:3,0.06
Pagrus,auriga,42.25,27.75,1402:227:2,0.03
Pagrus,auriga,42.75,27.75,1402:227:4,0.02
Pagrus,auriga,42.25,28.25,1402:228:1,0.04
Pagrus,auriga,42.75,28.25,1402:228:3,0.03
Pagrus,auriga,42.75,28.75,1402:228:4,0.02
Pagrus,auriga,43.25,27.75,1402:237:2,0.01
Pagrus,auriga,43.25,28.25,1402:238:1,0.01
Pagrus,auriga,43.25,28.75,1402:238:2,0.02
Pagrus,auriga,43.25,29.25,1402:239:1,0.02
Pagrus,auriga,43.75,29.25,1402:239:3,0.01
Pagrus,auriga,43.75,29.75,1402:239:4,0.03
Pagrus,auriga,41.25,30.25,1403:110:1,0.08
Pagrus,auriga,41.25,30.75,1403:110:2,0.08
Pagrus,auriga,41.25,31.25,1403:111:1,0.08
Pagrus,auriga,41.25,31.75,1403:111:2,0.16
Pagrus,auriga,41.75,31.25,1403:111:3,0.06
Pagrus,auriga,41.75,31.75,1403:111:4,0.08
Pagrus,auriga,41.75,32.25,1403:112:3,0.06
Pagrus,auriga,41.75,32.75,1403:112:4,0.12
Pagrus,auriga,41.75,33.25,1403:113:3,0.14
Pagrus,auriga,41.75,34.25,1403:114:3,0.14
Pagrus,auriga,41.75,34.75,1403:114:4,0.12
Pagrus,auriga,42.25,33.25,1403:123:1,0.06
Pagrus,auriga,42.25,33.75,1403:123:2,0.04
Pagrus,auriga,42.25,34.25,1403:124:1,0.04
Pagrus,auriga,42.25,34.75,1403:124:2,0.06
Pagrus,auriga,43.75,30.25,1403:130:3,0.05
Pagrus,auriga,-6.25,12.25,3001:362:1,0.04
Pagrus,auriga,-8.75,12.75,3001:382:4,0.07
Pagrus,auriga,4.75,-7.25,7000:247:3,0.17
Pagrus,auriga,5.25,-5.75,7000:455:2,0.17
Pagrus,auriga,28.75,-14.25,7201:384:3,0.18
Pagrus,auriga,29.75,-12.75,7201:392:4,0.11
Pagrus,auriga,25.75,-15.75,7201:455:4,0.18
Pagrus,auriga,26.25,-15.25,7201:465:1,0.03
Pagrus,auriga,28.25,-15.25,7201:485:1,0.18
Pagrus,auriga,28.25,-15.75,7201:485:2,0.19
Pagrus,auriga,28.75,-16.25,7201:486:3,0.17
Pagrus,auriga,35.75,-2.25,7300:352:3,0.10
Pagrus,auriga,35.75,-4.75,7300:354:4,0.15
Pagrus,auriga,36.25,-4.25,7300:364:1,0.13
Pagrus,auriga,36.75,-9.25,7300:469:3,0.15
Pagrus,auriga,30.25,-12.75,7301:102:2,0.09
Pagrus,auriga,31.25,-13.75,7301:113:2,0.05
Pagrus,auriga,30.25,-15.75,7301:205:2,0.16
Pagrus,auriga,32.25,-16.25,7301:226:1,0.13
Pagrus,auriga,32.75,-16.25,7301:226:3,0.12
Pagrus,auriga,32.75,-16.75,7301:226:4,0.13
Pagrus,auriga,33.25,-16.25,7301:236:1,0.12
Pagrus,auriga,36.75,-11.25,7301:361:3,0.07
Pagrus,auriga,36.75,-11.75,7301:361:4,0.13
Pagrus,auriga,40.25,-9.75,7400:209:2,0.03
Pagrus,auriga,42.75,-8.75,7400:228:4,0.07
Pagrus,auriga,3.75,7.75,1000:237:4,0.32
Pagrus,auriga,3.25,8.25,1000:238:1,0.30
Pagrus,auriga,3.75,8.25,1000:238:3,0.33
Pagrus,auriga,39.25,3.25,1300:393:1,0.39
Pagrus,auriga,39.75,3.25,1300:393:3,0.37
Pagrus,auriga,37.75,8.75,1300:478:4,0.36
Pagrus,auriga,37.75,9.25,1300:479:3,0.38
Pagrus,auriga,37.75,9.75,1300:479:4,0.34
Pagrus,auriga,38.75,8.25,1300:488:3,0.28
Pagrus,auriga,38.75,8.75,1300:488:4,0.35
Pagrus,auriga,38.75,9.25,1300:489:3,0.28
Pagrus,auriga,39.25,8.25,1300:498:1,0.33
Pagrus,auriga,39.75,8.25,1300:498:3,0.36
Pagrus,auriga,39.75,8.75,1300:498:4,0.36
Pagrus,auriga,32.75,13.75,1301:123:4,0.34
Pagrus,auriga,32.25,14.75,1301:124:2,0.29
Pagrus,auriga,32.75,14.25,1301:124:3,0.29
Pagrus,auriga,32.75,14.75,1301:124:4,0.25
Pagrus,auriga,33.75,11.75,1301:131:4,0.36
Pagrus,auriga,33.25,12.25,1301:132:1,0.33
Pagrus,auriga,33.25,12.75,1301:132:2,0.32
Pagrus,auriga,33.75,12.25,1301:132:3,0.29
Pagrus,auriga,33.75,12.75,1301:132:4,0.27
Pagrus,auriga,33.25,13.75,1301:133:2,0.30
Pagrus,auriga,34.25,11.25,1301:141:1,0.39
Pagrus,auriga,34.25,11.75,1301:141:2,0.33
Pagrus,auriga,34.25,12.25,1301:142:1,0.30
