Mapping parameters for Pagrus pagrus (Red porgy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 ,
Bounding Box (NSWE): ,51,-43,-98,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,80,250
Temperature (°C),1,12.98,20,27.69,31.89
Salinity (psu),1,27.12,31.62,38,39.66
Primary Production,1,132,452,2004,4129
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,13,255,1152
 

Map data (HSPEC) for predicted occurrences (n = 3242): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pagrus,pagrus,4.75,6.75,1000:246:4,0.09,0.1,0.94047619047619,0.96888888888889,1,1,1
Pagrus,pagrus,4.75,7.25,1000:247:3,0.07,0.1,0.9452380952381,0.76,1,1,1
Pagrus,pagrus,4.25,9.75,1000:249:2,0.11,0.2,0.96428571428571,0.68444444444444,0.84188235294118,1,1
Pagrus,pagrus,6.75,3.75,1000:363:4,0.10,0.1,1,1,1,1,1
Pagrus,pagrus,5.25,5.75,1000:455:2,0.09,0.1,0.93809523809524,1,1,1,1
Pagrus,pagrus,5.75,5.75,1000:455:4,0.09,0.1,0.93809523809524,1,1,1,1
Pagrus,pagrus,33.75,13.25,1301:133:3,0.15,0.20588235294118,1,1,0.70625,1,1
Pagrus,pagrus,33.25,14.25,1301:134:1,0.05,0.070588235294118,1,1,0.7,1,1
Pagrus,pagrus,34.75,10.25,1301:140:3,0.10,0.1,1,1,1,1,1
Pagrus,pagrus,30.75,18.25,1301:208:3,0.19,1,1,0.81325301204819,0.2375,1,1
Pagrus,pagrus,31.75,17.25,1301:217:3,0.10,0.21176470588235,1,0.83734939759036,0.56875,1,1
Pagrus,pagrus,31.75,17.75,1301:217:4,0.02,0.047058823529412,1,0.83734939759036,0.578125,1,1
Pagrus,pagrus,31.25,18.75,1301:218:2,0.17,0.32941176470588,1,0.81325301204819,0.61875,1,1
Pagrus,pagrus,31.75,19.25,1301:219:3,0.09,0.17647058823529,1,0.80120481927711,0.6125,1,1
Pagrus,pagrus,34.25,15.25,1301:245:1,0.03,0.041176470588235,1,1,0.609375,1,1
Pagrus,pagrus,34.75,15.75,1301:245:4,0.14,0.22352941176471,1,1,0.64375,1,1
Pagrus,pagrus,36.25,10.25,1301:360:1,0.18,0.2,0.91452991452991,1,1,1,1
Pagrus,pagrus,36.25,12.25,1301:362:1,0.19,0.22941176470588,0.97008547008547,1,0.865625,1,1
Pagrus,pagrus,36.75,13.75,1301:363:4,0.16,0.21764705882353,0.99145299145299,1,0.759375,1,1
Pagrus,pagrus,32.75,23.75,1302:123:4,0.17,0.51764705882353,1,0.53614457831325,0.609375,1,1
Pagrus,pagrus,34.75,23.75,1302:143:4,0.13,0.44705882352941,1,0.46987951807229,0.6125,1,1
Pagrus,pagrus,36.25,24.75,1302:364:2,0.02,0.070588235294118,0.89458689458689,0.39759036144578,0.703125,1,1
Pagrus,pagrus,35.75,25.75,1302:455:4,0.12,0.51764705882353,0.95014245014245,0.34939759036145,0.684375,1,1
Pagrus,pagrus,36.75,25.25,1302:465:3,0.17,1,0.89173789173789,0.34939759036145,0.559375,1,1
Pagrus,pagrus,36.25,27.25,1302:467:1,0.13,1,0.95156695156695,0.19277108433735,0.7125,1,1
Pagrus,pagrus,36.25,27.75,1302:467:2,0.13,1,0.95156695156695,0.19277108433735,0.7125,1,1
Pagrus,pagrus,36.75,27.25,1302:467:3,0.11,1,0.95156695156695,0.19277108433735,0.603125,1,1
Pagrus,pagrus,36.75,27.75,1302:467:4,0.14,1,0.95156695156695,0.19277108433735,0.75625,1,1
Pagrus,pagrus,36.25,28.25,1302:468:1,0.14,1,1,0.19277108433735,0.7125,1,1
Pagrus,pagrus,36.75,28.25,1302:468:3,0.11,1,1,0.19277108433735,0.565625,1,1
Pagrus,pagrus,36.75,28.75,1302:468:4,0.10,1,1,0.19277108433735,0.503125,1,1
Pagrus,pagrus,36.75,29.25,1302:469:3,0.14,1,1,0.31927710843373,0.44375,1,1
Pagrus,pagrus,37.25,26.75,1302:476:2,0.10,1,0.85754985754986,0.49397590361445,0.2375,1,1
Pagrus,pagrus,37.25,27.25,1302:477:1,0.01,1,0.8988603988604,0.49397590361445,0.01875,1,1
Pagrus,pagrus,37.25,27.75,1302:477:2,0.07,1,0.8988603988604,0.19277108433735,0.4125,1,1
Pagrus,pagrus,37.25,28.25,1302:478:1,0.09,1,0.96581196581197,0.19277108433735,0.465625,1,1
Pagrus,pagrus,38.25,25.25,1302:485:1,0.18,0.36470588235294,0.79487179487179,0.75903614457831,0.825,1,1
Pagrus,pagrus,31.75,33.75,1303:113:4,0.19,0.88235294117647,1,0.3433734939759,0.621875,1,1
