Mapping parameters for Polydactylus sexfilis (Sixfinger threadfin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,34,-23,41,-148

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,20,50,50
Temperature (°C),1,-1.37,11.22,28.91,29.41
Salinity (psu),1,29.79,33.72,35.56,36.38
Primary Production,1,195,221,1366,2183
Sea Ice Concentration,1,-1,0,0,0.2
Distance to Land (km),0,3,14,133,227
 

Map data (HSPEC) for predicted occurrences (n = 4108): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Polydactylus,sexfilis,1.25,43.75,1004:113:2,0.05,0.052631578947368,1,1,1,1,1
Polydactylus,sexfilis,8.25,49.75,1004:489:2,0.13,0.15789473684211,1,1,0.79192166462668,1,1
Polydactylus,sexfilis,7.75,77.25,1007:477:3,0.09,1,1,1,0.08812729498164,1,1
Polydactylus,sexfilis,8.25,78.25,1007:488:1,0.09,1,1,1,0.08812729498164,1,1
Polydactylus,sexfilis,0.25,97.75,1009:207:2,0.16,1,0.16,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.75,97.25,1009:207:3,0.15,1,0.16,0.91348600508906,1,1,1
Polydactylus,sexfilis,0.75,97.75,1009:207:4,0.16,1,0.16,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.25,98.25,1009:208:1,0.18,1,0.18,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.25,98.75,1009:208:2,0.18,1,0.18,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.75,98.25,1009:208:3,0.18,1,0.18,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.75,98.75,1009:208:4,0.18,1,0.18,0.97709923664122,1,1,1
Polydactylus,sexfilis,0.25,99.25,1009:209:1,0.14,1,0.2,0.97709923664122,0.73684210526316,1,1
Polydactylus,sexfilis,0.25,99.75,1009:209:2,0.15,1,0.2,0.97709923664122,0.78947368421053,1,1
