Mapping parameters for Pomatomus saltatrix (Bluefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  81,
Bounding Box (NSWE): ,45,-44,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,3.91,14.04,27.44,31.64
Salinity (psu),1,13.03,29.75,36.53,40.53
Primary Production (mgC·m-3·day-1) ,1,0.11,1.4,39.34,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,0.52,163.79,264.47,315.22
Distance to Land (km),0,0,6,178,968
 

Map data (HSPEC) for predicted occurrences (n = 51351): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pomatomus,saltatrix,42.25,-71.25,7407:121:1,0.07
Pomatomus,saltatrix,41.25,-73.75,7407:113:2,0.01
Pomatomus,saltatrix,40.75,-74.25,7407:104:3,0.11
Pomatomus,saltatrix,40.25,-74.25,7407:104:1,0.15
Pomatomus,saltatrix,44.25,-69.75,7406:249:2,0.01
Pomatomus,saltatrix,44.75,-68.75,7406:248:4,0.01
Pomatomus,saltatrix,44.75,-68.25,7406:248:3,0.02
Pomatomus,saltatrix,44.75,-67.75,7406:247:4,0.03
Pomatomus,saltatrix,44.25,-65.75,7406:245:2,0.04
Pomatomus,saltatrix,42.75,-8.75,7400:228:4,0.18
Pomatomus,saltatrix,30.25,-93.75,7309:103:2,0.04
Pomatomus,saltatrix,30.75,-87.25,7308:207:3,0.08
Pomatomus,saltatrix,30.75,-86.25,7308:206:3,0.14
Pomatomus,saltatrix,30.25,-85.25,7308:205:1,0.05
Pomatomus,saltatrix,32.75,-80.75,7308:120:4,0.05
Pomatomus,saltatrix,39.25,-76.75,7307:496:2,0.04
Pomatomus,saltatrix,39.75,-75.75,7307:495:4,0.06
Pomatomus,saltatrix,39.75,-75.25,7307:495:3,0.04
Pomatomus,saltatrix,39.25,-75.75,7307:495:2,0.06
Pomatomus,saltatrix,38.75,-77.25,7307:487:3,0.02
Pomatomus,saltatrix,38.25,-77.25,7307:487:1,0.07
Pomatomus,saltatrix,38.75,-75.75,7307:485:4,0.04
Pomatomus,saltatrix,37.75,-76.75,7307:476:4,0.03
Pomatomus,saltatrix,33.25,-79.75,7307:239:2,0.09
Pomatomus,saltatrix,30.25,-52.75,7305:102:2,0.19
Pomatomus,saltatrix,30.25,-52.25,7305:102:1,0.16
Pomatomus,saltatrix,30.25,-51.75,7305:101:2,0.18
Pomatomus,saltatrix,30.25,-51.25,7305:101:1,0.16
Pomatomus,saltatrix,30.25,-50.75,7305:100:2,0.13
Pomatomus,saltatrix,30.25,-50.25,7305:100:1,0.15
Pomatomus,saltatrix,30.25,-49.75,7304:209:2,0.15
Pomatomus,saltatrix,30.25,-49.25,7304:209:1,0.14
Pomatomus,saltatrix,30.75,-48.75,7304:208:4,0.19
Pomatomus,saltatrix,30.75,-48.25,7304:208:3,0.18
Pomatomus,saltatrix,30.25,-48.75,7304:208:2,0.13
Pomatomus,saltatrix,30.25,-48.25,7304:208:1,0.13
Pomatomus,saltatrix,30.75,-47.75,7304:207:4,0.18
Pomatomus,saltatrix,30.75,-47.25,7304:207:3,0.18
Pomatomus,saltatrix,30.25,-47.75,7304:207:2,0.14
Pomatomus,saltatrix,30.25,-47.25,7304:207:1,0.13
Pomatomus,saltatrix,30.75,-46.75,7304:206:4,0.18
Pomatomus,saltatrix,30.75,-46.25,7304:206:3,0.18
Pomatomus,saltatrix,30.25,-46.75,7304:206:2,0.14
Pomatomus,saltatrix,30.25,-46.25,7304:206:1,0.14
Pomatomus,saltatrix,30.25,-45.75,7304:205:2,0.16
Pomatomus,saltatrix,30.25,-45.25,7304:205:1,0.17
Pomatomus,saltatrix,30.75,-44.25,7304:104:3,0.19
Pomatomus,saltatrix,30.25,-44.75,7304:104:2,0.16
Pomatomus,saltatrix,30.25,-44.25,7304:104:1,0.16
Pomatomus,saltatrix,30.75,-43.75,7304:103:4,0.19
Pomatomus,saltatrix,30.25,-43.75,7304:103:2,0.16
Pomatomus,saltatrix,30.25,-43.25,7304:103:1,0.18
Pomatomus,saltatrix,30.25,-42.75,7304:102:2,0.19
Pomatomus,saltatrix,33.25,-33.75,7303:133:2,0.19
Pomatomus,saltatrix,33.25,-32.25,7303:132:1,0.19
Pomatomus,saltatrix,33.75,-31.75,7303:131:4,0.18
Pomatomus,saltatrix,33.75,-31.25,7303:131:3,0.18
Pomatomus,saltatrix,33.25,-31.75,7303:131:2,0.18
Pomatomus,saltatrix,33.25,-31.25,7303:131:1,0.17
Pomatomus,saltatrix,33.75,-30.75,7303:130:4,0.18
Pomatomus,saltatrix,33.75,-30.25,7303:130:3,0.17
Pomatomus,saltatrix,33.25,-30.75,7303:130:2,0.17
Pomatomus,saltatrix,33.25,-30.25,7303:130:1,0.17
Pomatomus,saltatrix,32.75,-33.75,7303:123:4,0.19
Pomatomus,saltatrix,32.75,-33.25,7303:123:3,0.19
Pomatomus,saltatrix,32.25,-33.25,7303:123:1,0.19
Pomatomus,saltatrix,32.75,-32.75,7303:122:4,0.19
Pomatomus,saltatrix,32.75,-32.25,7303:122:3,0.19
Pomatomus,saltatrix,32.25,-32.75,7303:122:2,0.19
