Mapping parameters for Pseudocaranx dentex (White trevally)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,40,-47,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,25,238
Temperature (°C),1,6.81,15.1,24.72,28.85
Salinity (psu),1,33.72,34.9,36.49,39.31
Primary Production,1,69,278,916,2914
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,8,167,1092
 

Map data (HSPEC) for predicted occurrences (n = 6773): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudocaranx,dentex,6.25,3.25,1000:363:1,0.09
Pseudocaranx,dentex,6.25,3.75,1000:363:2,0.07
Pseudocaranx,dentex,4.75,48.75,1004:248:4,0.12
Pseudocaranx,dentex,9.25,51.25,1005:391:1,0.04
Pseudocaranx,dentex,6.25,73.25,1007:363:1,0.01
Pseudocaranx,dentex,6.75,73.25,1007:363:3,0.01
Pseudocaranx,dentex,7.25,73.25,1007:373:1,0.02
Pseudocaranx,dentex,8.25,73.25,1007:383:1,0.02
Pseudocaranx,dentex,6.25,79.75,1007:469:2,0.01
Pseudocaranx,dentex,6.75,79.75,1007:469:4,0.01
Pseudocaranx,dentex,7.25,76.75,1007:476:2,0.03
Pseudocaranx,dentex,7.75,76.75,1007:476:4,0.05
Pseudocaranx,dentex,7.25,77.25,1007:477:1,0.06
Pseudocaranx,dentex,7.25,77.75,1007:477:2,0.04
Pseudocaranx,dentex,7.75,77.25,1007:477:3,0.03
Pseudocaranx,dentex,7.75,77.75,1007:477:4,0.03
Pseudocaranx,dentex,7.75,78.25,1007:478:3,0.04
Pseudocaranx,dentex,7.25,79.75,1007:479:2,0.01
Pseudocaranx,dentex,7.75,79.75,1007:479:4,0.08
Pseudocaranx,dentex,8.25,76.75,1007:486:2,0.04
Pseudocaranx,dentex,8.75,76.25,1007:486:3,0.04
Pseudocaranx,dentex,8.75,76.75,1007:486:4,0.05
Pseudocaranx,dentex,8.25,77.25,1007:487:1,0.06
Pseudocaranx,dentex,8.25,77.75,1007:487:2,0.04
Pseudocaranx,dentex,8.25,78.25,1007:488:1,0.03
Pseudocaranx,dentex,8.75,78.25,1007:488:3,0.05
Pseudocaranx,dentex,8.75,78.75,1007:488:4,0.06
Pseudocaranx,dentex,8.25,79.75,1007:489:2,0.07
Pseudocaranx,dentex,8.75,79.25,1007:489:3,0.06
Pseudocaranx,dentex,8.75,79.75,1007:489:4,0.05
Pseudocaranx,dentex,9.25,75.75,1007:495:2,0.01
Pseudocaranx,dentex,9.75,75.75,1007:495:4,0.01
Pseudocaranx,dentex,9.25,76.25,1007:496:1,0.01
Pseudocaranx,dentex,9.25,76.75,1007:496:2,0.01
Pseudocaranx,dentex,9.75,76.25,1007:496:3,0.01
Pseudocaranx,dentex,9.25,78.25,1007:498:1,0.05
Pseudocaranx,dentex,9.25,78.75,1007:498:2,0.04
Pseudocaranx,dentex,9.75,78.75,1007:498:4,0.05
Pseudocaranx,dentex,9.25,79.25,1007:499:1,0.03
Pseudocaranx,dentex,9.25,79.75,1007:499:2,0.04
Pseudocaranx,dentex,9.75,79.25,1007:499:3,0.05
Pseudocaranx,dentex,9.75,79.75,1007:499:4,0.04
Pseudocaranx,dentex,5.75,80.25,1008:350:3,0.03
Pseudocaranx,dentex,5.75,80.75,1008:350:4,0.03
Pseudocaranx,dentex,5.75,81.25,1008:351:3,0.02
Pseudocaranx,dentex,6.25,80.75,1008:360:2,0.03
Pseudocaranx,dentex,6.25,81.25,1008:361:1,0.02
Pseudocaranx,dentex,6.25,81.75,1008:361:2,0.01
Pseudocaranx,dentex,6.75,81.75,1008:361:4,0.01
Pseudocaranx,dentex,6.75,82.25,1008:362:3,0.01
Pseudocaranx,dentex,9.25,80.25,1008:390:1,0.03
Pseudocaranx,dentex,9.25,80.75,1008:390:2,0.01
Pseudocaranx,dentex,9.25,81.25,1008:391:1,0.01
Pseudocaranx,dentex,0.75,126.25,1012:206:3,0.01
Pseudocaranx,dentex,1.25,126.25,1012:216:1,0.01
Pseudocaranx,dentex,1.25,127.25,1012:217:1,0.01
Pseudocaranx,dentex,1.25,127.75,1012:217:2,0.01
Pseudocaranx,dentex,1.75,127.75,1012:217:4,0.01
Pseudocaranx,dentex,2.25,127.75,1012:227:2,0.01
Pseudocaranx,dentex,3.75,126.75,1012:236:4,0.01
Pseudocaranx,dentex,8.25,122.25,1012:382:1,0.01
Pseudocaranx,dentex,8.25,122.75,1012:382:2,0.01
Pseudocaranx,dentex,8.25,123.25,1012:383:1,0.01
Pseudocaranx,dentex,8.25,123.75,1012:383:2,0.01
Pseudocaranx,dentex,8.75,123.25,1012:383:3,0.01
Pseudocaranx,dentex,8.75,123.75,1012:383:4,0.01
Pseudocaranx,dentex,8.75,124.75,1012:384:4,0.01
Pseudocaranx,dentex,9.75,121.25,1012:391:3,0.01
Pseudocaranx,dentex,9.25,122.75,1012:392:2,0.01
Pseudocaranx,dentex,9.75,122.25,1012:392:3,0.02
Pseudocaranx,dentex,9.75,122.75,1012:392:4,0.02
Pseudocaranx,dentex,9.25,123.25,1012:393:1,0.01
Pseudocaranx,dentex,9.25,123.75,1012:393:2,0.01
Pseudocaranx,dentex,9.75,123.25,1012:393:3,0.01
Pseudocaranx,dentex,9.75,123.75,1012:393:4,0.01
Pseudocaranx,dentex,9.25,124.75,1012:394:2,0.02
Pseudocaranx,dentex,9.75,124.25,1012:394:3,0.01
Pseudocaranx,dentex,9.75,124.75,1012:394:4,0.02
Pseudocaranx,dentex,9.25,125.25,1012:495:1,0.01
Pseudocaranx,dentex,9.25,125.75,1012:495:2,0.01
Pseudocaranx,dentex,9.75,125.25,1012:495:3,0.01
Pseudocaranx,dentex,9.75,125.75,1012:495:4,0.01
Pseudocaranx,dentex,9.25,150.25,1015:390:1,0.01
Pseudocaranx,dentex,9.75,160.75,1016:390:4,0.02
Pseudocaranx,dentex,9.75,161.25,1016:391:3,0.02
Pseudocaranx,dentex,7.25,168.75,1016:478:2,0.01
Pseudocaranx,dentex,7.75,168.25,1016:478:3,0.01
Pseudocaranx,dentex,7.75,168.75,1016:478:4,0.01
Pseudocaranx,dentex,7.75,169.25,1016:479:3,0.01
Pseudocaranx,dentex,8.75,165.75,1016:485:4,0.02
Pseudocaranx,dentex,8.75,166.25,1016:486:3,0.02
Pseudocaranx,dentex,8.25,167.25,1016:487:1,0.02
Pseudocaranx,dentex,8.75,167.75,1016:487:4,0.03
Pseudocaranx,dentex,8.25,168.25,1016:488:1,0.04
Pseudocaranx,dentex,9.25,165.75,1016:495:2,0.05
Pseudocaranx,dentex,9.25,166.75,1016:496:2,0.06
Pseudocaranx,dentex,9.25,167.25,1016:497:1,0.06
Pseudocaranx,dentex,9.25,167.75,1016:497:2,0.06
Pseudocaranx,dentex,9.25,169.75,1016:499:2,0.05
Pseudocaranx,dentex,9.75,169.25,1016:499:3,0.05
Pseudocaranx,dentex,9.75,169.75,1016:499:4,0.06
Pseudocaranx,dentex,0.75,172.75,1017:102:4,0.01
Pseudocaranx,dentex,0.25,173.25,1017:103:1,0.01
Pseudocaranx,dentex,0.25,173.75,1017:103:2,0.01
Pseudocaranx,dentex,0.75,173.25,1017:103:3,0.01
Pseudocaranx,dentex,0.75,173.75,1017:103:4,0.01
Pseudocaranx,dentex,1.25,173.25,1017:113:1,0.01
Pseudocaranx,dentex,1.75,173.25,1017:113:3,0.01
Pseudocaranx,dentex,7.25,171.25,1017:371:1,0.03
Pseudocaranx,dentex,7.25,171.75,1017:371:2,0.03
Pseudocaranx,dentex,8.75,170.75,1017:380:4,0.05
Pseudocaranx,dentex,8.25,171.25,1017:381:1,0.05
Pseudocaranx,dentex,8.75,171.25,1017:381:3,0.05
Pseudocaranx,dentex,9.25,170.25,1017:390:1,0.05
Pseudocaranx,dentex,9.75,170.25,1017:390:3,0.05
Pseudocaranx,dentex,18.75,37.25,1103:487:3,0.01
Pseudocaranx,dentex,18.75,37.75,1103:487:4,0.01
Pseudocaranx,dentex,19.25,37.25,1103:497:1,0.03
Pseudocaranx,dentex,19.25,37.75,1103:497:2,0.03
Pseudocaranx,dentex,19.75,37.25,1103:497:3,0.03
Pseudocaranx,dentex,19.75,37.75,1103:497:4,0.03
Pseudocaranx,dentex,19.25,38.25,1103:498:1,0.01
Pseudocaranx,dentex,10.75,43.75,1104:103:4,0.07
Pseudocaranx,dentex,10.25,44.25,1104:104:1,0.06
Pseudocaranx,dentex,10.25,44.75,1104:104:2,0.05
Pseudocaranx,dentex,10.75,44.25,1104:104:3,0.07
Pseudocaranx,dentex,10.75,44.75,1104:104:4,0.05
Pseudocaranx,dentex,11.75,42.25,1104:112:3,0.04
Pseudocaranx,dentex,11.75,42.75,1104:112:4,0.04
Pseudocaranx,dentex,11.25,43.75,1104:113:2,0.08
Pseudocaranx,dentex,11.75,43.25,1104:113:3,0.07
Pseudocaranx,dentex,11.75,43.75,1104:113:4,0.08
Pseudocaranx,dentex,12.75,42.75,1104:122:4,0.04
Pseudocaranx,dentex,12.25,43.25,1104:123:1,0.07
Pseudocaranx,dentex,12.25,43.75,1104:123:2,0.06
Pseudocaranx,dentex,12.75,43.25,1104:123:3,0.05
Pseudocaranx,dentex,12.75,43.75,1104:123:4,0.06
Pseudocaranx,dentex,12.25,44.25,1104:124:1,0.07
Pseudocaranx,dentex,12.25,44.75,1104:124:2,0.07
Pseudocaranx,dentex,12.75,44.25,1104:124:3,0.06
Pseudocaranx,dentex,12.75,44.75,1104:124:4,0.07
Pseudocaranx,dentex,13.75,41.75,1104:131:4,0.01
Pseudocaranx,dentex,13.25,42.25,1104:132:1,0.03
Pseudocaranx,dentex,13.25,42.75,1104:132:2,0.02
Pseudocaranx,dentex,13.75,42.25,1104:132:3,0.03
Pseudocaranx,dentex,13.75,42.75,1104:132:4,0.03
Pseudocaranx,dentex,13.25,43.25,1104:133:1,0.04
Pseudocaranx,dentex,13.75,43.25,1104:133:3,0.05
Pseudocaranx,dentex,14.25,43.25,1104:143:1,0.02
Pseudocaranx,dentex,10.25,45.25,1104:205:1,0.05
Pseudocaranx,dentex,10.75,45.25,1104:205:3,0.06
Pseudocaranx,dentex,10.75,45.75,1104:205:4,0.06
Pseudocaranx,dentex,10.75,46.25,1104:206:3,0.09
Pseudocaranx,dentex,10.75,46.75,1104:206:4,0.08
Pseudocaranx,dentex,10.75,47.25,1104:207:3,0.10
Pseudocaranx,dentex,11.25,47.25,1104:217:1,0.09
Pseudocaranx,dentex,11.25,47.75,1104:217:2,0.09
Pseudocaranx,dentex,11.25,48.25,1104:218:1,0.09
Pseudocaranx,dentex,11.25,48.75,1104:218:2,0.09
Pseudocaranx,dentex,11.25,49.25,1104:219:1,0.13
Pseudocaranx,dentex,11.25,49.75,1104:219:2,0.13
Pseudocaranx,dentex,11.75,49.75,1104:219:4,0.15
Pseudocaranx,dentex,12.75,45.25,1104:225:3,0.09
Pseudocaranx,dentex,12.75,45.75,1104:225:4,0.05
Pseudocaranx,dentex,13.25,45.25,1104:235:1,0.10
Pseudocaranx,dentex,13.25,45.75,1104:235:2,0.11
Pseudocaranx,dentex,13.25,46.25,1104:236:1,0.13
Pseudocaranx,dentex,13.25,46.75,1104:236:2,0.13
Pseudocaranx,dentex,13.75,46.75,1104:236:4,0.08
Pseudocaranx,dentex,13.25,47.25,1104:237:1,0.02
Pseudocaranx,dentex,13.75,47.25,1104:237:3,0.06
Pseudocaranx,dentex,13.75,47.75,1104:237:4,0.04
Pseudocaranx,dentex,13.75,48.25,1104:238:3,0.03
Pseudocaranx,dentex,13.75,48.75,1104:238:4,0.03
Pseudocaranx,dentex,14.25,47.75,1104:247:2,0.03
Pseudocaranx,dentex,14.25,48.25,1104:248:1,0.01
Pseudocaranx,dentex,14.25,48.75,1104:248:2,0.03
Pseudocaranx,dentex,14.25,49.25,1104:249:1,0.07
Pseudocaranx,dentex,14.75,49.25,1104:249:3,0.08
Pseudocaranx,dentex,14.75,49.75,1104:249:4,0.09
Pseudocaranx,dentex,10.75,51.25,1105:101:3,0.18
Pseudocaranx,dentex,11.25,51.25,1105:111:1,0.12
Pseudocaranx,dentex,12.25,51.75,1105:121:2,0.06
Pseudocaranx,dentex,14.75,50.25,1105:140:3,0.15
Pseudocaranx,dentex,14.75,50.75,1105:140:4,0.12
Pseudocaranx,dentex,14.75,51.25,1105:141:3,0.09
Pseudocaranx,dentex,15.25,50.25,1105:350:1,0.12
Pseudocaranx,dentex,15.25,50.75,1105:350:2,0.17
Pseudocaranx,dentex,15.25,51.25,1105:351:1,0.16
Pseudocaranx,dentex,15.25,51.75,1105:351:2,0.19
Pseudocaranx,dentex,15.75,51.75,1105:351:4,0.19
Pseudocaranx,dentex,17.25,54.75,1105:374:2,0.18
Pseudocaranx,dentex,17.25,55.25,1105:475:1,0.09
