Mapping parameters for Pseudopleuronectes americanus (Winter flounder)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31  |  31 ,
Bounding Box (NSWE): ,55,31,-82,-52

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,19,72,143
Temperature (°C),1,0.67,4.47,27.48,29.35
Salinity (psu),1,29.32,29.94,32.12,35.97
Primary Production,1,213,887,1881,2935
Sea Ice Concentration,1,-0.92669111325373,0,0.22,0.85
Distance to Land (km),0,0,6,174,320
 

Map data (HSPEC) for predicted occurrences (n = 578): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pseudopleuronectes,americanus,39.75,-69.25,7306:499:3,0.08,0.1830985915493,1,0.44935064935065,0.93916913946588,1,1
Pseudopleuronectes,americanus,39.75,-69.75,7306:499:4,0.03,0.056338028169014,1,0.44935064935065,1,1,1
Pseudopleuronectes,americanus,31.25,-79.75,7307:219:2,0.03,1,1,0.080519480519481,0.37982195845697,1,1
Pseudopleuronectes,americanus,31.75,-79.25,7307:219:3,0.06,1,1,0.080519480519481,0.73590504451039,1,1
Pseudopleuronectes,americanus,31.75,-79.75,7307:219:4,0.08,1,1,0.080519480519481,1,1,1
Pseudopleuronectes,americanus,32.75,-78.25,7307:228:3,0.01,1,1,0.0051948051948042,1,1,1
Pseudopleuronectes,americanus,32.75,-78.75,7307:228:4,0.01,1,1,0.0051948051948042,1,1,1
Pseudopleuronectes,americanus,32.25,-79.25,7307:229:1,0.11,1,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,32.25,-79.75,7307:229:2,0.11,1,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,32.75,-79.25,7307:229:3,0.11,1,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,32.75,-79.75,7307:229:4,0.10,1,1,0.10649350649351,0.9540059347181,1,1
Pseudopleuronectes,americanus,33.25,-78.75,7307:238:2,0.01,1,1,0.0051948051948042,1,1,1
Pseudopleuronectes,americanus,33.25,-79.25,7307:239:1,0.11,1,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,33.75,-79.25,7307:239:3,0.01,0.071428571428571,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,34.25,-75.75,7307:245:2,0.03,1,1,0.051948051948051,0.51632047477745,1,1
Pseudopleuronectes,americanus,34.75,-75.25,7307:245:3,0.03,1,1,0.051948051948051,0.50741839762611,1,1
Pseudopleuronectes,americanus,34.75,-75.75,7307:245:4,0.04,1,1,0.051948051948051,0.83827893175074,1,1
Pseudopleuronectes,americanus,34.25,-76.25,7307:246:1,0.04,1,1,0.051948051948051,0.68991097922849,1,1
Pseudopleuronectes,americanus,34.75,-76.25,7307:246:3,0.04,1,1,0.051948051948051,0.71958456973294,1,1
Pseudopleuronectes,americanus,34.75,-76.75,7307:246:4,0.05,1,1,0.051948051948051,0.96439169139466,1,1
Pseudopleuronectes,americanus,35.25,-76.75,7307:456:2,0.11,0.21428571428571,1,0.4961038961039,1,1,1
Pseudopleuronectes,americanus,38.75,-76.75,7307:486:4,0.04,1,1,0.86753246753247,0.040796963946869,1,1
Pseudopleuronectes,americanus,31.25,-81.25,7308:111:1,0.16,0.78571428571429,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,32.25,-80.25,7308:120:1,0.11,1,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,32.75,-80.25,7308:120:3,0.06,0.57142857142857,1,0.10649350649351,1,1,1
Pseudopleuronectes,americanus,47.25,-58.75,7405:478:2,0.15,0.15492957746479,1,1,1,1,1
Pseudopleuronectes,americanus,49.25,-59.75,7405:499:2,0.04,0.042253521126761,1,1,1,1,1
Pseudopleuronectes,americanus,43.75,-63.75,7406:133:4,0.17,0.16901408450704,1,1,1,1,1
Pseudopleuronectes,americanus,40.25,-67.75,7406:207:2,0.06,0.11267605633803,1,0.55844155844156,1,1,1
Pseudopleuronectes,americanus,42.25,-68.75,7406:228:2,0.16,0.16901408450704,1,0.95584415584416,1,1,1
Pseudopleuronectes,americanus,43.75,-67.25,7406:237:3,0.15,0.15492957746479,1,1,1,1,1
Pseudopleuronectes,americanus,43.25,-68.25,7406:238:1,0.14,0.14084507042254,1,0.9974025974026,1,1,1
Pseudopleuronectes,americanus,46.25,-64.25,7406:364:1,0.12,1,1,0.29032258064516,0.44402277039848,0.95238095238095,1
Pseudopleuronectes,americanus,49.25,-60.25,7406:390:1,0.10,0.098591549295775,1,1,1,1,1
Pseudopleuronectes,americanus,47.75,-65.75,7406:475:4,0.18,1,1,0.29032258064516,0.97438330170778,0.65079365079365,1
Pseudopleuronectes,americanus,48.25,-65.75,7406:485:2,0.14,1,1,0.29032258064516,0.52277039848197,0.92063492063492,1
Pseudopleuronectes,americanus,48.25,-66.25,7406:486:1,0.18,1,1,0.29032258064516,0.64231499051233,0.98412698412698,1
Pseudopleuronectes,americanus,48.75,-68.25,7406:488:3,0.18,1,1,0.29032258064516,0.68690702087287,0.92063492063492,1
Pseudopleuronectes,americanus,49.25,-65.75,7406:495:2,0.18,1,1,0.29032258064516,0.63187855787476,1,1
Pseudopleuronectes,americanus,49.25,-66.25,7406:496:1,0.18,1,0.98157894736842,0.29032258064516,0.64800759013283,1,1
Pseudopleuronectes,americanus,49.25,-66.75,7406:496:2,0.19,1,0.98157894736842,0.29032258064516,0.65464895635674,1,1
Pseudopleuronectes,americanus,49.75,-66.75,7406:496:4,0.13,1,0.98157894736842,0.29032258064516,0.47153700189753,1,1
Pseudopleuronectes,americanus,49.25,-67.25,7406:497:1,0.13,1,1,0.29032258064516,0.43833017077799,1,1
Pseudopleuronectes,americanus,49.25,-67.75,7406:497:2,0.03,1,1,0.29032258064516,0.11290322580645,0.82539682539683,1
Pseudopleuronectes,americanus,49.25,-68.75,7406:498:2,0.11,1,1,0.29032258064516,0.40891840607211,0.88888888888889,1
Pseudopleuronectes,americanus,47.25,-70.75,7407:370:2,0.17,1,1,0.9974025974026,0.16982922201139,0.98412698412698,1
Pseudopleuronectes,americanus,51.75,-54.75,7505:114:4,0.17,0.64788732394366,0.33947368421053,1,0.77448071216617,1,1
Pseudopleuronectes,americanus,53.75,-54.75,7505:134:4,0.01,0.14084507042254,0.16052631578947,0.93246753246753,0.49258160237389,1,1
Pseudopleuronectes,americanus,51.75,-55.75,7505:215:4,0.19,1,0.37631578947368,1,0.50593471810089,0.98412698412698,1
Pseudopleuronectes,americanus,51.25,-56.75,7505:216:2,0.18,1,0.47894736842105,1,0.51632047477745,0.71428571428571,1
Pseudopleuronectes,americanus,52.25,-55.25,7505:225:1,0.14,1,0.16842105263158,1,0.87388724035608,0.98412698412698,1
Pseudopleuronectes,americanus,52.25,-55.75,7505:225:2,0.12,1,0.16842105263158,1,0.74629080118694,0.95238095238095,1
Pseudopleuronectes,americanus,52.75,-55.25,7505:225:3,0.02,0.16901408450704,0.16842105263158,1,0.8486646884273,0.98412698412698,1
Pseudopleuronectes,americanus,52.75,-55.75,7505:225:4,0.13,1,0.16842105263158,1,0.8160237388724,0.96825396825397,1
Pseudopleuronectes,americanus,53.25,-55.25,7505:235:1,0.04,0.49295774647887,0.10789473684211,1,0.7893175074184,0.95238095238095,1
Pseudopleuronectes,americanus,53.25,-55.75,7505:235:2,0.07,1,0.10789473684211,1,0.75519287833828,0.9047619047619,1
Pseudopleuronectes,americanus,53.75,-55.25,7505:235:3,0.03,0.46478873239437,0.10789473684211,1,0.51632047477745,0.98412698412698,1
Pseudopleuronectes,americanus,53.75,-55.75,7505:235:4,0.07,1,0.10789473684211,1,0.70178041543027,0.87301587301587,1
Pseudopleuronectes,americanus,53.75,-56.25,7505:236:3,0.05,1,0.063157894736842,1,0.91097922848665,0.85714285714286,1
Pseudopleuronectes,americanus,53.75,-56.75,7505:236:4,0.05,1,0.063157894736842,1,0.86795252225519,0.87301587301587,1
Pseudopleuronectes,americanus,53.75,-58.75,7505:238:4,0.01,1,0.044736842105263,0.96623376623377,1,0.31746031746032,1
Pseudopleuronectes,americanus,53.25,-59.75,7505:239:2,0.03,1,0.17368421052632,0.96623376623377,1,0.17460317460317,1
Pseudopleuronectes,americanus,54.25,-56.25,7505:246:1,0.04,1,0.076315789473684,1,0.60089020771513,0.9047619047619,1
Pseudopleuronectes,americanus,54.25,-56.75,7505:246:2,0.05,1,0.076315789473684,1,0.66172106824926,0.9047619047619,1
Pseudopleuronectes,americanus,54.75,-56.25,7505:246:3,0.01,0.19718309859155,0.076315789473684,1,0.55192878338279,0.95238095238095,1
Pseudopleuronectes,americanus,54.75,-56.75,7505:246:4,0.04,1,0.076315789473684,1,0.59940652818991,0.87301587301587,1
Pseudopleuronectes,americanus,53.25,-60.25,7506:130:1,0.06,1,0.22631578947368,0.96623376623377,1,0.26984126984127,1
Pseudopleuronectes,americanus,53.75,-60.25,7506:130:3,0.05,1,0.22631578947368,0.96623376623377,1,0.22222222222222,1
Pseudopleuronectes,americanus,50.25,-66.25,7506:206:1,0.06,1,0.94736842105263,0.29032258064516,0.21537001897533,1,1
Pseudopleuronectes,americanus,50.25,-66.75,7506:206:2,0.03,1,0.94736842105263,0.29032258064516,0.097722960151803,1,1
Pseudopleuronectes,americanus,35.25,-74.75,7307:354:2,0.32,1,1,0.32467532467532,0.98961424332344,1,1
Pseudopleuronectes,americanus,35.75,-74.75,7307:354:4,0.32,1,1,0.32467532467532,1,1,1
Pseudopleuronectes,americanus,39.25,-72.25,7307:392:1,0.28,0.40845070422535,1,0.68571428571429,1,1,1
Pseudopleuronectes,americanus,35.75,-76.25,7307:456:3,0.36,1,1,0.4961038961039,0.72960151802657,1,1
Pseudopleuronectes,americanus,38.25,-75.75,7307:485:2,0.25,0.28571428571429,1,0.86753246753247,1,1,1
Pseudopleuronectes,americanus,38.25,-76.25,7307:486:1,0.34,1,1,0.86753246753247,0.39753320683112,1,1
Pseudopleuronectes,americanus,38.25,-76.75,7307:486:2,0.26,1,1,0.91948051948052,0.28368121442125,1,1
Pseudopleuronectes,americanus,31.25,-80.25,7308:110:1,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,31.25,-80.75,7308:110:2,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,31.75,-80.25,7308:110:3,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,31.75,-80.75,7308:110:4,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,31.75,-81.25,7308:111:3,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,32.25,-80.75,7308:120:2,0.21,1,1,0.2051948051948,1,1,1
Pseudopleuronectes,americanus,44.25,-53.25,7405:143:1,0.28,0.33802816901408,1,0.9012987012987,0.90504451038576,1,1
Pseudopleuronectes,americanus,47.25,-52.25,7405:372:1,0.25,0.26760563380282,1,1,0.93026706231454,1,1
Pseudopleuronectes,americanus,49.25,-54.25,7405:394:1,0.26,0.42857142857143,0.6,1,1,1,1
Pseudopleuronectes,americanus,49.75,-56.75,7405:496:4,0.37,1,0.73947368421053,1,0.93620178041543,0.53968253968254,1
Pseudopleuronectes,americanus,42.75,-66.75,7406:226:4,0.21,0.22535211267606,1,0.94285714285714,1,1,1
Pseudopleuronectes,americanus,45.75,-64.25,7406:354:3,0.27,1,1,0.29032258064516,1,0.92063492063492,1
Pseudopleuronectes,americanus,45.75,-64.75,7406:354:4,0.28,1,1,0.29032258064516,1,0.96825396825397,1
Pseudopleuronectes,americanus,46.25,-64.75,7406:364:2,0.29,1,1,0.29032258064516,1,1,1
Pseudopleuronectes,americanus,46.75,-64.25,7406:364:3,0.29,1,1,0.29032258064516,1,1,1
