Mapping parameters for Salvelinus alpinus (Arctic char)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  67,
Bounding Box (NSWE): ,82,41,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,1,70
Temperature (°C),1,-1.45,-0.47,10.23,21.27
Salinity (psu),1,3.92,24.2,34.41,40.22
Primary Production (mgC·m-3·day-1) ,1,0.52,1.86,15.41,38.39
Sea Ice Concentration (0-1 fraction),1,-0.84,0,0.53,0.79
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,272.1,363.61,408.48
Distance to Land (km),0,0,0,13,467
 

Map data (HSPEC) for predicted occurrences (n = 8896): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Salvelinus,alpinus,51.75,3.75,1500:113:4,0.06
Salvelinus,alpinus,51.25,4.25,1500:114:1,0.14
Salvelinus,alpinus,52.75,0.25,1500:120:3,0.17
Salvelinus,alpinus,52.25,3.75,1500:123:2,0.17
Salvelinus,alpinus,52.25,5.75,1500:225:2,0.06
Salvelinus,alpinus,53.25,8.25,1500:238:1,0.14
Salvelinus,alpinus,53.25,8.75,1500:238:2,0.02
Salvelinus,alpinus,53.75,8.75,1500:238:4,0.11
Salvelinus,alpinus,53.75,9.75,1500:239:4,0.15
Salvelinus,alpinus,55.75,1.25,1500:351:3,0.13
Salvelinus,alpinus,55.75,1.75,1500:351:4,0.10
Salvelinus,alpinus,56.75,0.25,1500:360:3,0.01
Salvelinus,alpinus,56.25,2.75,1500:362:2,0.10
Salvelinus,alpinus,56.75,2.75,1500:362:4,0.09
Salvelinus,alpinus,56.25,3.25,1500:363:1,0.05
Salvelinus,alpinus,56.25,3.75,1500:363:2,0.19
Salvelinus,alpinus,56.75,3.25,1500:363:3,0.08
Salvelinus,alpinus,57.25,2.75,1500:372:2,0.05
Salvelinus,alpinus,57.75,2.25,1500:372:3,0.04
Salvelinus,alpinus,57.75,2.75,1500:372:4,0.14
Salvelinus,alpinus,57.25,3.25,1500:373:1,0.11
Salvelinus,alpinus,57.75,3.25,1500:373:3,0.17
Salvelinus,alpinus,58.25,2.25,1500:382:1,0.08
Salvelinus,alpinus,58.25,2.75,1500:382:2,0.16
Salvelinus,alpinus,57.75,5.25,1500:475:3,0.03
Salvelinus,alpinus,57.75,7.25,1500:477:3,0.13
Salvelinus,alpinus,53.75,13.75,1501:133:4,0.14
Salvelinus,alpinus,53.75,14.25,1501:134:3,0.07
Salvelinus,alpinus,53.75,14.75,1501:134:4,0.16
Salvelinus,alpinus,54.75,12.75,1501:142:4,0.14
Salvelinus,alpinus,54.25,13.25,1501:143:1,0.17
Salvelinus,alpinus,54.25,13.75,1501:143:2,0.16
Salvelinus,alpinus,54.75,13.25,1501:143:3,0.11
Salvelinus,alpinus,54.75,13.75,1501:143:4,0.07
Salvelinus,alpinus,54.25,14.25,1501:144:1,0.16
Salvelinus,alpinus,54.25,14.75,1501:144:2,0.16
Salvelinus,alpinus,54.75,14.25,1501:144:3,0.07
Salvelinus,alpinus,54.75,14.75,1501:144:4,0.02
Salvelinus,alpinus,54.25,15.25,1501:245:1,0.16
Salvelinus,alpinus,54.25,15.75,1501:245:2,0.16
Salvelinus,alpinus,54.25,16.25,1501:246:1,0.17
Salvelinus,alpinus,54.75,16.25,1501:246:3,0.08
Salvelinus,alpinus,54.75,16.75,1501:246:4,0.16
Salvelinus,alpinus,54.75,17.25,1501:247:3,0.16
Salvelinus,alpinus,54.75,17.75,1501:247:4,0.16
Salvelinus,alpinus,54.25,18.75,1501:248:2,0.10
Salvelinus,alpinus,54.75,18.25,1501:248:3,0.15
Salvelinus,alpinus,54.75,18.75,1501:248:4,0.11
Salvelinus,alpinus,54.25,19.25,1501:249:1,0.05
Salvelinus,alpinus,54.25,19.75,1501:249:2,0.08
Salvelinus,alpinus,54.75,19.25,1501:249:3,0.01
Salvelinus,alpinus,54.75,19.75,1501:249:4,0.14
Salvelinus,alpinus,55.25,12.75,1501:352:2,0.15
Salvelinus,alpinus,55.25,13.25,1501:353:1,0.04
Salvelinus,alpinus,55.25,13.75,1501:353:2,0.01
Salvelinus,alpinus,55.25,14.25,1501:354:1,0.03
Salvelinus,alpinus,55.25,14.75,1501:354:2,0.01
Salvelinus,alpinus,55.75,14.25,1501:354:3,0.15
Salvelinus,alpinus,55.75,14.75,1501:354:4,0.15
Salvelinus,alpinus,55.75,15.25,1501:455:3,0.04
Salvelinus,alpinus,55.75,15.75,1501:455:4,0.03
Salvelinus,alpinus,55.25,16.25,1501:456:1,0.01
Salvelinus,alpinus,55.25,16.75,1501:456:2,0.03
Salvelinus,alpinus,55.75,16.25,1501:456:3,0.01
Salvelinus,alpinus,55.75,16.75,1501:456:4,0.01
Salvelinus,alpinus,55.25,17.25,1501:457:1,0.04
Salvelinus,alpinus,55.25,17.75,1501:457:2,0.07
Salvelinus,alpinus,55.75,17.25,1501:457:3,0.02
Salvelinus,alpinus,55.75,17.75,1501:457:4,0.01
Salvelinus,alpinus,55.25,18.25,1501:458:1,0.09
Salvelinus,alpinus,55.25,18.75,1501:458:2,0.04
Salvelinus,alpinus,55.25,19.75,1501:459:2,0.10
Salvelinus,alpinus,55.75,19.25,1501:459:3,0.02
Salvelinus,alpinus,55.75,19.75,1501:459:4,0.02
Salvelinus,alpinus,56.25,15.25,1501:465:1,0.18
Salvelinus,alpinus,56.25,15.75,1501:465:2,0.14
Salvelinus,alpinus,56.25,16.25,1501:466:1,0.09
Salvelinus,alpinus,56.25,16.75,1501:466:2,0.02
Salvelinus,alpinus,56.75,16.25,1501:466:3,0.14
Salvelinus,alpinus,56.75,16.75,1501:466:4,0.09
Salvelinus,alpinus,56.25,17.25,1501:467:1,0.02
Salvelinus,alpinus,56.25,17.75,1501:467:2,0.01
Salvelinus,alpinus,56.75,17.25,1501:467:3,0.01
Salvelinus,alpinus,56.75,17.75,1501:467:4,0.01
Salvelinus,alpinus,56.25,18.25,1501:468:1,0.01
Salvelinus,alpinus,56.25,18.75,1501:468:2,0.01
Salvelinus,alpinus,56.75,18.25,1501:468:3,0.02
Salvelinus,alpinus,56.25,19.75,1501:469:2,0.02
Salvelinus,alpinus,57.25,16.25,1501:476:1,0.16
Salvelinus,alpinus,57.25,16.75,1501:476:2,0.11
Salvelinus,alpinus,57.75,16.75,1501:476:4,0.13
Salvelinus,alpinus,57.25,17.25,1501:477:1,0.04
Salvelinus,alpinus,57.25,17.75,1501:477:2,0.02
Salvelinus,alpinus,57.75,17.25,1501:477:3,0.03
Salvelinus,alpinus,57.75,17.75,1501:477:4,0.02
Salvelinus,alpinus,57.25,18.25,1501:478:1,0.01
Salvelinus,alpinus,57.75,18.25,1501:478:3,0.02
Salvelinus,alpinus,57.75,18.75,1501:478:4,0.01
Salvelinus,alpinus,58.25,16.75,1501:486:2,0.12
Salvelinus,alpinus,58.75,16.75,1501:486:4,0.15
Salvelinus,alpinus,58.25,17.25,1501:487:1,0.11
Salvelinus,alpinus,58.25,17.75,1501:487:2,0.01
Salvelinus,alpinus,58.75,17.25,1501:487:3,0.12
Salvelinus,alpinus,58.75,17.75,1501:487:4,0.12
Salvelinus,alpinus,58.25,18.25,1501:488:1,0.01
Salvelinus,alpinus,58.25,18.75,1501:488:2,0.01
Salvelinus,alpinus,58.75,18.25,1501:488:3,0.12
Salvelinus,alpinus,58.75,18.75,1501:488:4,0.04
Salvelinus,alpinus,58.25,19.25,1501:489:1,0.01
Salvelinus,alpinus,58.75,19.25,1501:489:3,0.02
Salvelinus,alpinus,59.25,17.75,1501:497:2,0.10
Salvelinus,alpinus,59.25,18.25,1501:498:1,0.08
Salvelinus,alpinus,59.25,18.75,1501:498:2,0.08
Salvelinus,alpinus,59.75,18.25,1501:498:3,0.09
Salvelinus,alpinus,59.75,18.75,1501:498:4,0.07
Salvelinus,alpinus,59.25,19.25,1501:499:1,0.04
Salvelinus,alpinus,59.25,19.75,1501:499:2,0.03
Salvelinus,alpinus,59.75,19.25,1501:499:3,0.04
Salvelinus,alpinus,59.75,19.75,1501:499:4,0.02
Salvelinus,alpinus,54.75,20.25,1502:140:3,0.11
Salvelinus,alpinus,54.75,20.75,1502:140:4,0.11
Salvelinus,alpinus,54.75,21.25,1502:141:3,0.12
Salvelinus,alpinus,55.25,20.25,1502:350:1,0.11
Salvelinus,alpinus,55.25,20.75,1502:350:2,0.14
Salvelinus,alpinus,55.75,20.25,1502:350:3,0.06
Salvelinus,alpinus,55.75,20.75,1502:350:4,0.10
Salvelinus,alpinus,55.25,21.25,1502:351:1,0.14
Salvelinus,alpinus,55.75,21.25,1502:351:3,0.13
Salvelinus,alpinus,56.25,20.25,1502:360:1,0.07
Salvelinus,alpinus,56.25,20.75,1502:360:2,0.14
Salvelinus,alpinus,56.75,20.75,1502:360:4,0.13
Salvelinus,alpinus,56.25,21.25,1502:361:1,0.13
Salvelinus,alpinus,56.75,21.25,1502:361:3,0.13
Salvelinus,alpinus,57.25,20.75,1502:370:2,0.03
Salvelinus,alpinus,57.75,20.75,1502:370:4,0.01
Salvelinus,alpinus,57.25,21.25,1502:371:1,0.14
Salvelinus,alpinus,57.25,21.75,1502:371:2,0.10
Salvelinus,alpinus,57.75,21.25,1502:371:3,0.04
Salvelinus,alpinus,57.75,21.75,1502:371:4,0.11
Salvelinus,alpinus,57.25,22.75,1502:372:2,0.03
Salvelinus,alpinus,57.75,22.25,1502:372:3,0.06
Salvelinus,alpinus,57.75,22.75,1502:372:4,0.03
Salvelinus,alpinus,57.75,23.25,1502:373:3,0.02
Salvelinus,alpinus,58.25,20.75,1502:380:2,0.01
Salvelinus,alpinus,58.75,20.25,1502:380:3,0.01
Salvelinus,alpinus,58.25,21.25,1502:381:1,0.03
Salvelinus,alpinus,58.25,21.75,1502:381:2,0.11
Salvelinus,alpinus,58.75,21.25,1502:381:3,0.01
Salvelinus,alpinus,58.75,21.75,1502:381:4,0.06
Salvelinus,alpinus,58.25,22.25,1502:382:1,0.08
Salvelinus,alpinus,58.25,22.75,1502:382:2,0.03
Salvelinus,alpinus,58.75,22.25,1502:382:3,0.10
Salvelinus,alpinus,58.75,22.75,1502:382:4,0.10
Salvelinus,alpinus,58.25,23.25,1502:383:1,0.02
Salvelinus,alpinus,58.25,23.75,1502:383:2,0.01
Salvelinus,alpinus,58.75,23.25,1502:383:3,0.09
Salvelinus,alpinus,58.75,23.75,1502:383:4,0.06
Salvelinus,alpinus,58.25,24.25,1502:384:1,0.01
Salvelinus,alpinus,59.25,20.25,1502:390:1,0.05
Salvelinus,alpinus,59.25,20.75,1502:390:2,0.10
Salvelinus,alpinus,59.75,20.25,1502:390:3,0.06
Salvelinus,alpinus,59.75,20.75,1502:390:4,0.10
Salvelinus,alpinus,59.25,21.25,1502:391:1,0.04
Salvelinus,alpinus,59.25,21.75,1502:391:2,0.05
Salvelinus,alpinus,59.75,21.25,1502:391:3,0.10
Salvelinus,alpinus,59.75,21.75,1502:391:4,0.09
Salvelinus,alpinus,59.25,22.25,1502:392:1,0.10
Salvelinus,alpinus,59.25,22.75,1502:392:2,0.10
Salvelinus,alpinus,59.75,22.25,1502:392:3,0.08
Salvelinus,alpinus,59.75,22.75,1502:392:4,0.07
Salvelinus,alpinus,59.25,23.25,1502:393:1,0.10
Salvelinus,alpinus,59.25,23.75,1502:393:2,0.09
Salvelinus,alpinus,59.75,23.25,1502:393:3,0.07
Salvelinus,alpinus,59.75,23.75,1502:393:4,0.06
Salvelinus,alpinus,59.25,24.25,1502:394:1,0.05
Salvelinus,alpinus,59.25,24.75,1502:394:2,0.03
Salvelinus,alpinus,59.75,24.25,1502:394:3,0.05
Salvelinus,alpinus,59.75,24.75,1502:394:4,0.04
Salvelinus,alpinus,59.75,25.25,1502:495:3,0.03
Salvelinus,alpinus,59.75,25.75,1502:495:4,0.02
Salvelinus,alpinus,59.75,26.25,1502:496:3,0.01
Salvelinus,alpinus,59.75,29.25,1502:499:3,0.01
Salvelinus,alpinus,59.75,29.75,1502:499:4,0.07
Salvelinus,alpinus,59.75,30.25,1503:390:3,0.13
Salvelinus,alpinus,60.75,0.25,1600:100:3,0.06
Salvelinus,alpinus,63.25,6.25,1600:236:1,0.07
Salvelinus,alpinus,60.75,17.25,1601:207:3,0.06
Salvelinus,alpinus,60.75,17.75,1601:207:4,0.06
Salvelinus,alpinus,60.25,18.25,1601:208:1,0.07
Salvelinus,alpinus,60.25,18.75,1601:208:2,0.06
Salvelinus,alpinus,60.75,18.25,1601:208:3,0.06
Salvelinus,alpinus,60.75,18.75,1601:208:4,0.03
Salvelinus,alpinus,60.25,19.25,1601:209:1,0.04
Salvelinus,alpinus,60.25,19.75,1601:209:2,0.05
Salvelinus,alpinus,60.75,19.25,1601:209:3,0.02
Salvelinus,alpinus,60.75,19.75,1601:209:4,0.01
Salvelinus,alpinus,61.25,17.25,1601:217:1,0.06
Salvelinus,alpinus,61.25,17.75,1601:217:2,0.06
Salvelinus,alpinus,61.75,17.25,1601:217:3,0.06
Salvelinus,alpinus,61.75,17.75,1601:217:4,0.06
Salvelinus,alpinus,61.25,18.25,1601:218:1,0.02
Salvelinus,alpinus,61.25,18.75,1601:218:2,0.01
Salvelinus,alpinus,61.75,18.25,1601:218:3,0.03
Salvelinus,alpinus,61.75,18.75,1601:218:4,0.03
Salvelinus,alpinus,61.25,19.25,1601:219:1,0.01
Salvelinus,alpinus,61.25,19.75,1601:219:2,0.01
Salvelinus,alpinus,61.75,19.25,1601:219:3,0.02
Salvelinus,alpinus,61.75,19.75,1601:219:4,0.01
Salvelinus,alpinus,62.25,17.25,1601:227:1,0.15
Salvelinus,alpinus,62.25,17.75,1601:227:2,0.06
Salvelinus,alpinus,62.75,17.75,1601:227:4,0.15
Salvelinus,alpinus,62.25,18.25,1601:228:1,0.02
Salvelinus,alpinus,62.25,18.75,1601:228:2,0.02
Salvelinus,alpinus,62.75,18.25,1601:228:3,0.06
Salvelinus,alpinus,62.75,18.75,1601:228:4,0.06
Salvelinus,alpinus,62.25,19.25,1601:229:1,0.03
Salvelinus,alpinus,62.25,19.75,1601:229:2,0.02
Salvelinus,alpinus,63.25,18.25,1601:238:1,0.15
Salvelinus,alpinus,63.25,18.75,1601:238:2,0.06
Salvelinus,alpinus,63.25,19.25,1601:239:1,0.06
Salvelinus,alpinus,63.25,19.75,1601:239:2,0.06
Salvelinus,alpinus,63.75,19.25,1601:239:3,0.12
Salvelinus,alpinus,63.75,19.75,1601:239:4,0.07
Salvelinus,alpinus,68.75,13.75,1601:383:4,0.01
Salvelinus,alpinus,69.25,14.75,1601:394:2,0.18
Salvelinus,alpinus,60.25,20.25,1602:100:1,0.06
Salvelinus,alpinus,60.25,20.75,1602:100:2,0.09
Salvelinus,alpinus,60.75,20.25,1602:100:3,0.01
Salvelinus,alpinus,60.75,20.75,1602:100:4,0.03
Salvelinus,alpinus,60.25,21.25,1602:101:1,0.08
Salvelinus,alpinus,60.25,21.75,1602:101:2,0.08
Salvelinus,alpinus,60.75,21.25,1602:101:3,0.06
Salvelinus,alpinus,60.75,21.75,1602:101:4,0.08
Salvelinus,alpinus,60.25,22.25,1602:102:1,0.08
Salvelinus,alpinus,60.25,22.75,1602:102:2,0.08
Salvelinus,alpinus,60.75,22.25,1602:102:3,0.07
Salvelinus,alpinus,60.25,23.25,1602:103:1,0.06
Salvelinus,alpinus,60.25,23.75,1602:103:2,0.05
Salvelinus,alpinus,60.25,24.25,1602:104:1,0.04
Salvelinus,alpinus,60.25,24.75,1602:104:2,0.03
Salvelinus,alpinus,61.25,20.75,1602:110:2,0.01
Salvelinus,alpinus,61.75,20.75,1602:110:4,0.01
Salvelinus,alpinus,61.25,21.25,1602:111:1,0.03
Salvelinus,alpinus,61.25,21.75,1602:111:2,0.07
Salvelinus,alpinus,61.75,21.25,1602:111:3,0.02
Salvelinus,alpinus,61.75,21.75,1602:111:4,0.07
Salvelinus,alpinus,62.25,20.25,1602:120:1,0.02
Salvelinus,alpinus,62.25,20.75,1602:120:2,0.02
Salvelinus,alpinus,62.75,20.25,1602:120:3,0.04
Salvelinus,alpinus,62.75,20.75,1602:120:4,0.07
Salvelinus,alpinus,62.25,21.25,1602:121:1,0.03
Salvelinus,alpinus,62.75,21.25,1602:121:3,0.06
Salvelinus,alpinus,63.25,20.25,1602:130:1,0.04
Salvelinus,alpinus,63.25,20.75,1602:130:2,0.06
Salvelinus,alpinus,63.75,20.25,1602:130:3,0.04
Salvelinus,alpinus,63.75,20.75,1602:130:4,0.03
Salvelinus,alpinus,63.25,21.25,1602:131:1,0.05
Salvelinus,alpinus,63.25,21.75,1602:131:2,0.04
Salvelinus,alpinus,63.75,21.25,1602:131:3,0.02
Salvelinus,alpinus,63.75,21.75,1602:131:4,0.02
Salvelinus,alpinus,63.25,22.25,1602:132:1,0.04
Salvelinus,alpinus,63.75,22.25,1602:132:3,0.02
Salvelinus,alpinus,63.75,22.75,1602:132:4,0.02
Salvelinus,alpinus,63.75,23.25,1602:133:3,0.02
Salvelinus,alpinus,64.25,20.75,1602:140:2,0.03
Salvelinus,alpinus,64.25,21.25,1602:141:1,0.01
Salvelinus,alpinus,64.25,21.75,1602:141:2,0.01
Salvelinus,alpinus,64.75,21.25,1602:141:3,0.01
Salvelinus,alpinus,64.75,21.75,1602:141:4,0.01
Salvelinus,alpinus,64.25,23.75,1602:143:2,0.01
Salvelinus,alpinus,64.25,24.25,1602:144:1,0.02
Salvelinus,alpinus,64.75,24.25,1602:144:3,0.01
Salvelinus,alpinus,64.75,24.75,1602:144:4,0.01
Salvelinus,alpinus,60.25,25.25,1602:205:1,0.02
Salvelinus,alpinus,60.75,28.75,1602:208:4,0.02
Salvelinus,alpinus,60.25,29.25,1602:209:1,0.02
Salvelinus,alpinus,60.25,29.75,1602:209:2,0.08
Salvelinus,alpinus,64.75,25.25,1602:245:3,0.01
Salvelinus,alpinus,65.75,24.75,1602:354:4,0.07
Salvelinus,alpinus,65.75,25.25,1602:455:3,0.12
Salvelinus,alpinus,60.25,30.25,1603:100:1,0.14
Salvelinus,alpinus,65.75,37.75,1603:457:4,0.12
Salvelinus,alpinus,65.25,38.75,1603:458:2,0.09
Salvelinus,alpinus,68.75,40.75,1604:380:4,0.04
Salvelinus,alpinus,69.25,41.75,1604:391:2,0.06
Salvelinus,alpinus,69.25,42.25,1604:392:1,0.12
Salvelinus,alpinus,69.75,42.75,1604:392:4,0.07
Salvelinus,alpinus,69.25,45.75,1604:495:2,0.13
Salvelinus,alpinus,69.75,46.25,1604:496:3,0.14
Salvelinus,alpinus,78.75,9.75,1700:489:4,0.07
Salvelinus,alpinus,74.75,18.25,1701:248:3,0.18
