Mapping parameters for Sciaena umbra (Brown meagre)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,51,13,-19,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,22,96,200
Temperature (°C),1,13,16.27,21.7,24.51
Salinity (psu),1,16,35.68,39,39.5
Primary Production,1,263,324,1364,3781
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,7,153,290
 

Map data (HSPEC) for predicted occurrences (n = 1148): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sciaena,umbra,38.75,2.75,1300:382:4,0.15,0.15384615384615,1,1,1,1,1
Sciaena,umbra,38.25,9.75,1300:489:2,0.01,0.0096153846153846,1,1,1,1,1
Sciaena,umbra,31.25,18.75,1301:218:2,0.06,0.057692307692308,1,1,1,1,1
Sciaena,umbra,35.25,14.75,1301:354:2,0.13,0.13461538461538,1,1,1,1,1
Sciaena,umbra,38.25,11.25,1301:381:1,0.15,0.15384615384615,1,1,1,1,1
Sciaena,umbra,36.75,28.75,1302:468:4,0.16,1,1,0.31999999999999,0.49180327868852,1,1
Sciaena,umbra,36.75,29.25,1302:469:3,0.13,1,1,0.73999999999999,0.18032786885246,1,1
Sciaena,umbra,37.25,27.75,1302:477:2,0.01,1,1,0.31999999999999,0.016393442622951,1,1
Sciaena,umbra,37.25,28.25,1302:478:1,0.09,1,1,0.31999999999999,0.29508196721311,1,1
Sciaena,umbra,38.25,25.25,1302:485:1,0.12,0.11538461538462,1,1,1,1,1
Sciaena,umbra,40.75,7.75,1400:207:4,0.09,0.086538461538462,1,1,1,1,1
Sciaena,umbra,40.75,10.25,1401:100:3,0.17,0.17307692307692,1,1,1,1,1
Sciaena,umbra,43.75,12.75,1401:132:4,0.18,0.17647058823529,1,1,1,1,1
Sciaena,umbra,40.25,27.75,1402:207:2,0.11,1,1,0.10670731707317,1,1,1
Sciaena,umbra,40.75,27.25,1402:207:3,0.11,1,1,0.10670731707317,1,1,1
Sciaena,umbra,40.75,27.75,1402:207:4,0.11,1,1,0.10670731707317,1,1,1
Sciaena,umbra,40.25,28.25,1402:208:1,0.07,1,0.69418960244648,0.10670731707317,1,1,1
Sciaena,umbra,40.25,28.75,1402:208:2,0.07,1,0.69418960244648,0.10670731707317,1,1,1
Sciaena,umbra,40.75,28.25,1402:208:3,0.07,1,0.69418960244648,0.10670731707317,0.98055440628879,1,1
Sciaena,umbra,40.75,28.75,1402:208:4,0.07,1,0.69418960244648,0.10670731707317,0.93669838642946,1,1
Sciaena,umbra,40.25,29.25,1402:209:1,0.08,1,0.70336391437309,0.11331300813008,1,1,1
Sciaena,umbra,40.75,29.25,1402:209:3,0.08,1,0.70336391437309,0.11331300813008,1,1,1
Sciaena,umbra,40.75,29.75,1402:209:4,0.08,1,0.70336391437309,0.11331300813008,1,1,1
Sciaena,umbra,41.25,27.75,1402:217:2,0.04,0.47058823529412,0.81651376146789,0.10670731707317,1,1,1
Sciaena,umbra,41.25,28.25,1402:218:1,0.07,1,0.64525993883792,0.10670731707317,1,1,1
Sciaena,umbra,41.25,28.75,1402:218:2,0.07,1,0.64525993883792,0.10670731707317,1,1,1
Sciaena,umbra,41.75,28.25,1402:218:3,0.07,1,0.64525993883792,0.10670731707317,1,1,1
Sciaena,umbra,41.75,28.75,1402:218:4,0.07,1,0.64525993883792,0.10670731707317,1,1,1
Sciaena,umbra,41.25,29.25,1402:219:1,0.07,1,0.65443425076453,0.11331300813008,1,1,1
Sciaena,umbra,41.25,29.75,1402:219:2,0.07,1,0.65443425076453,0.11331300813008,1,1,1
Sciaena,umbra,41.75,29.25,1402:219:3,0.07,1,0.65443425076453,0.11331300813008,1,1,1
Sciaena,umbra,42.25,27.75,1402:227:2,0.07,1,0.62079510703364,0.10670731707317,1,1,1
Sciaena,umbra,42.75,27.75,1402:227:4,0.07,1,0.62079510703364,0.10670731707317,1,1,1
Sciaena,umbra,42.25,28.25,1402:228:1,0.06,1,0.55963302752294,0.10670731707317,1,1,1
Sciaena,umbra,42.75,28.25,1402:228:3,0.06,1,0.55963302752294,0.10670731707317,1,1,1
Sciaena,umbra,42.75,28.75,1402:228:4,0.03,0.53846153846154,0.55963302752294,0.10670731707317,1,1,1
Sciaena,umbra,43.25,27.75,1402:237:2,0.05,1,0.50152905198777,0.10670731707317,0.94166321886636,1,1
Sciaena,umbra,43.25,28.25,1402:238:1,0.05,1,0.45871559633028,0.10670731707317,1,1,1
Sciaena,umbra,43.25,28.75,1402:238:2,0.05,1,0.45871559633028,0.11636178861789,1,1,1
Sciaena,umbra,43.75,28.75,1402:238:4,0.05,1,0.45871559633028,0.11636178861789,0.97227968556061,1,1
Sciaena,umbra,43.25,29.25,1402:239:1,0.03,0.63461538461538,0.46177370030581,0.11636178861789,1,1,1
Sciaena,umbra,43.75,29.25,1402:239:3,0.05,1,0.46177370030581,0.11636178861789,1,1,1
Sciaena,umbra,43.75,29.75,1402:239:4,0.05,1,0.46177370030581,0.11636178861789,1,1,1
Sciaena,umbra,44.25,28.75,1402:248:2,0.02,1,0.37614678899083,0.079776422764228,0.82912701696318,1,1
Sciaena,umbra,44.75,28.75,1402:248:4,0.03,1,0.37614678899083,0.079776422764228,0.91311543235416,1,1
Sciaena,umbra,44.25,29.25,1402:249:1,0.02,1,0.34556574923547,0.079776422764228,0.89242863053372,1,1
Sciaena,umbra,44.25,29.75,1402:249:2,0.03,1,0.34556574923547,0.079776422764228,1,1,1
Sciaena,umbra,44.75,29.25,1402:249:3,0.02,1,0.34556574923547,0.079776422764228,0.67811336367398,1,1
Sciaena,umbra,44.75,29.75,1402:249:4,0.02,1,0.34556574923547,0.079776422764228,0.75051717004551,1,1
Sciaena,umbra,45.75,29.75,1402:459:4,0.01,1,0.25993883792049,0.024390243902439,1,1,1
Sciaena,umbra,41.25,30.25,1403:110:1,0.08,1,0.64831804281346,0.11788617886179,1,1,1
Sciaena,umbra,41.25,30.75,1403:110:2,0.08,1,0.64831804281346,0.11788617886179,1,1,1
Sciaena,umbra,41.25,31.25,1403:111:1,0.08,1,0.64831804281346,0.11991869918699,1,1,1
Sciaena,umbra,41.25,31.75,1403:111:2,0.08,1,0.64831804281346,0.11991869918699,1,1,1
Sciaena,umbra,41.75,31.25,1403:111:3,0.08,1,0.64831804281346,0.11991869918699,1,1,1
Sciaena,umbra,41.75,31.75,1403:111:4,0.08,1,0.64831804281346,0.11991869918699,1,1,1
Sciaena,umbra,41.75,32.25,1403:112:3,0.07,1,0.63608562691132,0.11737804878049,1,1,1
Sciaena,umbra,41.75,32.75,1403:112:4,0.07,1,0.63608562691132,0.11737804878049,1,1,1
Sciaena,umbra,41.75,33.25,1403:113:3,0.07,1,0.62691131498471,0.11534552845528,1,1,1
Sciaena,umbra,41.75,34.25,1403:114:3,0.07,1,0.62079510703364,0.11280487804878,1,1,1
Sciaena,umbra,41.75,34.75,1403:114:4,0.07,1,0.62079510703364,0.11280487804878,1,1,1
Sciaena,umbra,42.25,33.25,1403:123:1,0.06,1,0.55351681957187,0.11534552845528,1,1,1
Sciaena,umbra,42.25,33.75,1403:123:2,0.06,1,0.55351681957187,0.11534552845528,1,1,1
Sciaena,umbra,42.25,34.25,1403:124:1,0.06,1,0.55045871559633,0.11280487804878,1,1,1
