Mapping parameters for Scrobicularia plana (peppery furrow)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,7,7,8,9
Temperature (°C),1,2.74,9.13,18.36,22.07
Salinity (psu),1,8.34,33.13,37.49,39.11
Primary Production,1,279,602,1744,2396
Sea Ice Concentration,1,-0.99,0,0.0299999993294477,0.13
Distance to Land (km),0,0,2,17,257
 

Map data (HSPEC) for predicted occurrences (n = 1291): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scrobicularia,plana,32.75,12.25,1301:122:3,0.09
Scrobicularia,plana,32.75,12.75,1301:122:4,0.16
Scrobicularia,plana,32.75,13.25,1301:123:3,0.18
Scrobicularia,plana,32.25,14.75,1301:124:2,0.09
Scrobicularia,plana,32.75,14.25,1301:124:3,0.05
Scrobicularia,plana,32.75,14.75,1301:124:4,0.04
Scrobicularia,plana,33.75,10.25,1301:130:3,0.15
Scrobicularia,plana,33.25,11.75,1301:131:2,0.09
Scrobicularia,plana,33.25,12.25,1301:132:1,0.12
Scrobicularia,plana,30.75,17.75,1301:207:4,0.01
Scrobicularia,plana,30.25,18.75,1301:208:2,0.01
Scrobicularia,plana,30.75,18.75,1301:208:4,0.01
Scrobicularia,plana,30.25,19.25,1301:209:1,0.01
Scrobicularia,plana,30.25,19.75,1301:209:2,0.02
Scrobicularia,plana,30.75,19.75,1301:209:4,0.01
Scrobicularia,plana,31.25,15.75,1301:215:2,0.02
Scrobicularia,plana,31.75,15.75,1301:215:4,0.02
Scrobicularia,plana,31.25,16.25,1301:216:1,0.04
Scrobicularia,plana,31.25,16.75,1301:216:2,0.05
Scrobicularia,plana,31.25,17.25,1301:217:1,0.03
Scrobicularia,plana,31.25,17.75,1301:217:2,0.01
Scrobicularia,plana,31.75,19.75,1301:219:4,0.02
Scrobicularia,plana,32.25,15.25,1301:225:1,0.01
Scrobicularia,plana,35.75,14.25,1301:354:3,0.12
Scrobicularia,plana,35.75,14.75,1301:354:4,0.13
Scrobicularia,plana,36.25,14.25,1301:364:1,0.15
Scrobicularia,plana,36.75,14.75,1301:364:4,0.11
Scrobicularia,plana,37.25,14.25,1301:374:1,0.19
Scrobicularia,plana,38.25,14.25,1301:384:1,0.17
Scrobicularia,plana,38.75,14.25,1301:384:3,0.17
Scrobicularia,plana,38.75,14.75,1301:384:4,0.17
Scrobicularia,plana,36.75,15.25,1301:465:3,0.16
Scrobicularia,plana,37.75,16.25,1301:476:3,0.16
Scrobicularia,plana,38.75,15.25,1301:485:3,0.16
Scrobicularia,plana,38.25,16.75,1301:486:2,0.14
Scrobicularia,plana,38.75,16.25,1301:486:3,0.16
Scrobicularia,plana,38.75,16.75,1301:486:4,0.17
Scrobicularia,plana,38.75,17.25,1301:487:3,0.17
Scrobicularia,plana,39.25,16.25,1301:496:1,0.19
Scrobicularia,plana,39.75,18.25,1301:498:3,0.19
Scrobicularia,plana,39.25,19.75,1301:499:2,0.10
Scrobicularia,plana,39.75,19.25,1301:499:3,0.12
Scrobicularia,plana,39.75,19.75,1301:499:4,0.08
Scrobicularia,plana,30.75,20.25,1302:100:3,0.02
Scrobicularia,plana,31.25,20.25,1302:110:1,0.02
Scrobicularia,plana,31.75,20.25,1302:110:3,0.02
Scrobicularia,plana,32.25,20.25,1302:120:1,0.01
Scrobicularia,plana,32.75,20.25,1302:120:3,0.01
Scrobicularia,plana,32.75,20.75,1302:120:4,0.01
Scrobicularia,plana,32.75,21.25,1302:121:3,0.01
Scrobicularia,plana,32.75,21.75,1302:121:4,0.02
Scrobicularia,plana,32.75,22.25,1302:122:3,0.02
Scrobicularia,plana,32.75,22.75,1302:122:4,0.01
Scrobicularia,plana,32.25,23.25,1302:123:1,0.01
Scrobicularia,plana,32.25,23.75,1302:123:2,0.01
Scrobicularia,plana,32.75,23.25,1302:123:3,0.01
Scrobicularia,plana,32.25,24.25,1302:124:1,0.01
Scrobicularia,plana,32.25,24.75,1302:124:2,0.01
Scrobicularia,plana,34.75,24.25,1302:144:3,0.01
Scrobicularia,plana,34.75,24.75,1302:144:4,0.01
Scrobicularia,plana,30.75,28.75,1302:208:4,0.02
Scrobicularia,plana,30.75,29.25,1302:209:3,0.02
Scrobicularia,plana,31.25,26.75,1302:216:2,0.01
Scrobicularia,plana,31.25,27.75,1302:217:2,0.01
Scrobicularia,plana,31.25,28.25,1302:218:1,0.01
Scrobicularia,plana,31.25,28.75,1302:218:2,0.01
Scrobicularia,plana,31.25,29.75,1302:219:2,0.03
Scrobicularia,plana,35.25,23.75,1302:353:2,0.02
Scrobicularia,plana,35.75,23.25,1302:353:3,0.03
Scrobicularia,plana,35.75,23.75,1302:353:4,0.02
Scrobicularia,plana,35.25,24.25,1302:354:1,0.01
Scrobicularia,plana,35.25,24.75,1302:354:2,0.01
Scrobicularia,plana,35.75,24.25,1302:354:3,0.01
