Mapping parameters for Sebastes schlegelii (Korean rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,13,51,100
Temperature (°C),1,2.9,11.96,21.42,23.54
Salinity (psu),1,32.83,33.33,34.33,34.83
Primary Production,1,186.5,483,1191,1628
Sea Ice Concentration,1,-1,0,0.0199999995529652,0.04
Distance to Land (km),0,4,6,22,35
 

Map data (HSPEC) for predicted occurrences (n = 466): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,schlegelii,24.25,118.25,1211:248:1,0.18
Sebastes,schlegelii,24.75,118.25,1211:248:3,0.16
Sebastes,schlegelii,24.75,119.25,1211:249:3,0.04
Sebastes,schlegelii,25.75,120.25,1212:350:3,0.01
Sebastes,schlegelii,26.25,122.25,1212:362:1,0.05
Sebastes,schlegelii,26.25,122.75,1212:362:2,0.04
Sebastes,schlegelii,26.75,122.25,1212:362:3,0.05
Sebastes,schlegelii,26.75,122.75,1212:362:4,0.05
Sebastes,schlegelii,29.25,123.25,1212:393:1,0.13
Sebastes,schlegelii,29.25,123.75,1212:393:2,0.12
Sebastes,schlegelii,29.75,123.25,1212:393:3,0.08
Sebastes,schlegelii,29.75,123.75,1212:393:4,0.18
Sebastes,schlegelii,28.25,125.25,1212:485:1,0.05
Sebastes,schlegelii,28.25,125.75,1212:485:2,0.08
Sebastes,schlegelii,28.75,125.25,1212:485:3,0.04
Sebastes,schlegelii,28.75,125.75,1212:485:4,0.06
Sebastes,schlegelii,29.25,125.75,1212:495:2,0.19
Sebastes,schlegelii,29.25,126.75,1212:496:2,0.01
Sebastes,schlegelii,29.75,127.25,1212:497:3,0.08
Sebastes,schlegelii,30.25,127.25,1312:207:1,0.17
Sebastes,schlegelii,31.25,125.25,1312:215:1,0.15
Sebastes,schlegelii,31.25,125.75,1312:215:2,0.18
Sebastes,schlegelii,31.75,125.75,1312:215:4,0.05
Sebastes,schlegelii,31.75,127.25,1312:217:3,0.08
Sebastes,schlegelii,31.25,129.25,1312:219:1,0.11
Sebastes,schlegelii,31.25,129.75,1312:219:2,0.11
Sebastes,schlegelii,31.75,129.75,1312:219:4,0.11
Sebastes,schlegelii,32.25,126.75,1312:226:2,0.10
Sebastes,schlegelii,32.75,126.75,1312:226:4,0.17
Sebastes,schlegelii,32.25,128.75,1312:228:2,0.02
Sebastes,schlegelii,33.25,127.75,1312:237:2,0.08
Sebastes,schlegelii,33.75,128.75,1312:238:4,0.02
Sebastes,schlegelii,33.75,131.75,1313:131:4,0.03
Sebastes,schlegelii,33.75,132.25,1313:132:3,0.14
Sebastes,schlegelii,32.25,139.75,1313:229:2,0.13
Sebastes,schlegelii,35.25,131.75,1313:351:2,0.02
Sebastes,schlegelii,35.75,132.25,1313:352:3,0.04
Sebastes,schlegelii,36.75,137.75,1313:467:4,0.10
Sebastes,schlegelii,30.75,140.25,1314:100:3,0.03
Sebastes,schlegelii,42.75,130.75,1413:120:4,0.04
Sebastes,schlegelii,41.75,142.75,1414:112:4,0.15
Sebastes,schlegelii,42.75,144.25,1414:124:3,0.13
Sebastes,schlegelii,44.75,140.75,1414:140:4,0.02
Sebastes,schlegelii,42.75,145.25,1414:225:3,0.17
Sebastes,schlegelii,43.25,145.25,1414:235:1,0.08
Sebastes,schlegelii,43.25,145.75,1414:235:2,0.01
Sebastes,schlegelii,43.25,146.25,1414:236:1,0.01
Sebastes,schlegelii,43.25,146.75,1414:236:2,0.01
Sebastes,schlegelii,43.75,146.25,1414:236:3,0.01
Sebastes,schlegelii,43.75,146.75,1414:236:4,0.01
Sebastes,schlegelii,43.75,147.25,1414:237:3,0.05
Sebastes,schlegelii,44.25,147.25,1414:247:1,0.04
Sebastes,schlegelii,44.75,149.25,1414:249:3,0.05
Sebastes,schlegelii,48.25,140.75,1414:380:2,0.05
Sebastes,schlegelii,45.75,150.25,1415:350:3,0.04
Sebastes,schlegelii,46.25,150.25,1415:360:1,0.01
Sebastes,schlegelii,46.25,150.75,1415:360:2,0.01
Sebastes,schlegelii,46.75,150.75,1415:360:4,0.01
Sebastes,schlegelii,46.75,151.75,1415:361:4,0.04
Sebastes,schlegelii,46.75,152.25,1415:362:3,0.06
Sebastes,schlegelii,47.25,152.25,1415:372:1,0.04
Sebastes,schlegelii,47.25,152.75,1415:372:2,0.04
Sebastes,schlegelii,47.75,152.75,1415:372:4,0.04
Sebastes,schlegelii,47.75,153.25,1415:373:3,0.05
Sebastes,schlegelii,48.25,153.25,1415:383:1,0.04
Sebastes,schlegelii,48.25,153.75,1415:383:2,0.04
Sebastes,schlegelii,48.75,153.75,1415:383:4,0.04
Sebastes,schlegelii,48.25,154.75,1415:384:2,0.05
Sebastes,schlegelii,48.75,154.25,1415:384:3,0.05
Sebastes,schlegelii,48.75,154.75,1415:384:4,0.05
Sebastes,schlegelii,49.25,153.75,1415:393:2,0.03
Sebastes,schlegelii,49.25,154.25,1415:394:1,0.02
Sebastes,schlegelii,49.25,154.75,1415:394:2,0.04
Sebastes,schlegelii,49.75,154.25,1415:394:3,0.04
Sebastes,schlegelii,49.75,154.75,1415:394:4,0.04
Sebastes,schlegelii,48.75,155.25,1415:485:3,0.03
Sebastes,schlegelii,49.25,155.75,1415:495:2,0.02
Sebastes,schlegelii,49.75,155.25,1415:495:3,0.04
Sebastes,schlegelii,49.75,155.75,1415:495:4,0.04
Sebastes,schlegelii,50.25,155.25,1515:205:1,0.04
Sebastes,schlegelii,54.75,166.25,1516:246:3,0.09
Sebastes,schlegelii,54.75,166.75,1516:246:4,0.09
Sebastes,schlegelii,54.75,167.25,1516:247:3,0.10
Sebastes,schlegelii,54.75,167.75,1516:247:4,0.10
Sebastes,schlegelii,54.75,168.25,1516:248:3,0.12
Sebastes,schlegelii,55.25,165.25,1516:455:1,0.04
Sebastes,schlegelii,55.25,165.75,1516:455:2,0.04
Sebastes,schlegelii,55.75,165.25,1516:455:3,0.04
Sebastes,schlegelii,55.75,165.75,1516:455:4,0.03
Sebastes,schlegelii,55.25,166.25,1516:456:1,0.07
Sebastes,schlegelii,55.25,166.75,1516:456:2,0.06
Sebastes,schlegelii,52.75,172.25,1517:122:3,0.10
Sebastes,schlegelii,52.75,172.75,1517:122:4,0.10
Sebastes,schlegelii,52.25,173.25,1517:123:1,0.09
Sebastes,schlegelii,52.25,173.75,1517:123:2,0.09
Sebastes,schlegelii,52.75,173.25,1517:123:3,0.08
Sebastes,schlegelii,52.75,173.75,1517:123:4,0.09
Sebastes,schlegelii,52.75,174.25,1517:124:3,0.09
Sebastes,schlegelii,53.25,170.75,1517:130:2,0.12
Sebastes,schlegelii,53.25,171.25,1517:131:1,0.11
Sebastes,schlegelii,53.25,172.75,1517:132:2,0.11
Sebastes,schlegelii,53.25,173.25,1517:133:1,0.11
Sebastes,schlegelii,51.75,175.75,1517:215:4,0.07
Sebastes,schlegelii,51.75,176.25,1517:216:3,0.08
Sebastes,schlegelii,51.75,176.75,1517:216:4,0.04
Sebastes,schlegelii,51.75,177.25,1517:217:3,0.08
Sebastes,schlegelii,51.75,177.75,1517:217:4,0.08
Sebastes,schlegelii,51.75,178.25,1517:218:3,0.08
Sebastes,schlegelii,51.75,178.75,1517:218:4,0.08
Sebastes,schlegelii,51.25,179.25,1517:219:1,0.08
Sebastes,schlegelii,51.25,179.75,1517:219:2,0.08
Sebastes,schlegelii,51.75,179.25,1517:219:3,0.08
Sebastes,schlegelii,51.75,179.75,1517:219:4,0.08
Sebastes,schlegelii,52.25,175.75,1517:225:2,0.10
Sebastes,schlegelii,52.25,176.25,1517:226:1,0.10
Sebastes,schlegelii,52.25,176.75,1517:226:2,0.10
Sebastes,schlegelii,52.25,177.25,1517:227:1,0.10
Sebastes,schlegelii,52.25,177.75,1517:227:2,0.09
Sebastes,schlegelii,52.25,178.25,1517:228:1,0.10
Sebastes,schlegelii,52.25,178.75,1517:228:2,0.09
Sebastes,schlegelii,52.25,179.25,1517:229:1,0.10
Sebastes,schlegelii,52.25,179.75,1517:229:2,0.10
Sebastes,schlegelii,54.25,179.75,1517:249:2,0.07
Sebastes,schlegelii,51.75,-175.25,7517:215:3,0.02
Sebastes,schlegelii,51.75,-175.75,7517:215:4,0.02
Sebastes,schlegelii,51.75,-176.25,7517:216:3,0.04
Sebastes,schlegelii,51.75,-176.75,7517:216:4,0.04
Sebastes,schlegelii,51.75,-177.25,7517:217:3,0.05
Sebastes,schlegelii,51.75,-177.75,7517:217:4,0.05
Sebastes,schlegelii,51.25,-178.25,7517:218:1,0.07
Sebastes,schlegelii,51.25,-178.75,7517:218:2,0.07
Sebastes,schlegelii,51.75,-178.25,7517:218:3,0.07
Sebastes,schlegelii,51.75,-178.75,7517:218:4,0.07
Sebastes,schlegelii,51.25,-179.25,7517:219:1,0.07
Sebastes,schlegelii,51.75,-179.25,7517:219:3,0.07
Sebastes,schlegelii,52.25,-175.25,7517:225:1,0.07
Sebastes,schlegelii,52.25,-175.75,7517:225:2,0.07
Sebastes,schlegelii,52.25,-176.25,7517:226:1,0.09
Sebastes,schlegelii,52.25,-176.75,7517:226:2,0.09
Sebastes,schlegelii,52.25,-179.75,7517:229:2,0.11
Sebastes,schlegelii,52.75,-179.75,7517:229:4,0.02
Sebastes,schlegelii,24.25,118.75,1211:248:2,0.29
Sebastes,schlegelii,24.75,118.75,1211:248:4,0.33
Sebastes,schlegelii,24.25,119.25,1211:249:1,0.33
Sebastes,schlegelii,24.25,119.75,1211:249:2,0.33
