Mapping parameters for Seriola quinqueradiata (Japanese amberjack)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  77,
Bounding Box (NSWE): ,46,20,116,-153

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,50,100
Temperature (°C),1,7.42,13.33,24.41,25.41
Salinity (psu),1,32.6,33.58,34.59,35.68
Primary Production,1,48,312,983,1628
Sea Ice Concentration,1,-1,0,0,0.03
Distance to Land (km),0,1,4,25,99
 

Map data (HSPEC) for predicted occurrences (n = 530): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Seriola,quinqueradiata,22.25,117.25,1211:227:1,0.13
Seriola,quinqueradiata,22.25,117.75,1211:227:2,0.13
Seriola,quinqueradiata,22.75,117.25,1211:227:3,0.13
Seriola,quinqueradiata,22.75,117.75,1211:227:4,0.13
Seriola,quinqueradiata,24.75,119.25,1211:249:3,0.08
Seriola,quinqueradiata,25.75,120.25,1212:350:3,0.03
Seriola,quinqueradiata,25.75,123.25,1212:353:3,0.11
Seriola,quinqueradiata,26.25,124.25,1212:364:1,0.05
Seriola,quinqueradiata,29.25,123.25,1212:393:1,0.18
Seriola,quinqueradiata,29.25,123.75,1212:393:2,0.18
Seriola,quinqueradiata,29.75,123.25,1212:393:3,0.10
Seriola,quinqueradiata,26.75,125.25,1212:465:3,0.02
Seriola,quinqueradiata,26.25,128.25,1212:468:1,0.05
Seriola,quinqueradiata,26.75,128.25,1212:468:3,0.06
Seriola,quinqueradiata,29.25,126.75,1212:496:2,0.02
Seriola,quinqueradiata,25.75,131.25,1213:351:3,0.14
Seriola,quinqueradiata,26.25,142.25,1214:362:1,0.02
Seriola,quinqueradiata,30.25,124.25,1312:104:1,0.10
Seriola,quinqueradiata,30.25,124.75,1312:104:2,0.14
Seriola,quinqueradiata,30.75,124.25,1312:104:3,0.06
Seriola,quinqueradiata,30.75,124.75,1312:104:4,0.09
Seriola,quinqueradiata,31.25,125.25,1312:215:1,0.19
Seriola,quinqueradiata,31.75,125.75,1312:215:4,0.06
Seriola,quinqueradiata,31.75,127.25,1312:217:3,0.08
Seriola,quinqueradiata,32.25,125.25,1312:225:1,0.02
Seriola,quinqueradiata,32.25,125.75,1312:225:2,0.06
Seriola,quinqueradiata,32.75,125.25,1312:225:3,0.06
Seriola,quinqueradiata,32.75,125.75,1312:225:4,0.05
Seriola,quinqueradiata,32.25,126.25,1312:226:1,0.16
Seriola,quinqueradiata,32.25,126.75,1312:226:2,0.09
Seriola,quinqueradiata,32.75,126.75,1312:226:4,0.15
Seriola,quinqueradiata,32.25,128.75,1312:228:2,0.02
Seriola,quinqueradiata,33.25,125.25,1312:235:1,0.05
Seriola,quinqueradiata,33.25,125.75,1312:235:2,0.06
Seriola,quinqueradiata,33.75,125.25,1312:235:3,0.07
Seriola,quinqueradiata,33.75,125.75,1312:235:4,0.07
Seriola,quinqueradiata,33.25,126.25,1312:236:1,0.07
Seriola,quinqueradiata,33.75,126.25,1312:236:3,0.07
Seriola,quinqueradiata,33.25,127.75,1312:237:2,0.08
Seriola,quinqueradiata,33.75,128.75,1312:238:4,0.02
Seriola,quinqueradiata,34.25,125.25,1312:245:1,0.08
Seriola,quinqueradiata,34.25,125.75,1312:245:2,0.05
Seriola,quinqueradiata,34.75,125.25,1312:245:3,0.08
Seriola,quinqueradiata,34.75,125.75,1312:245:4,0.01
Seriola,quinqueradiata,34.25,126.25,1312:246:1,0.13
Seriola,quinqueradiata,34.75,126.25,1312:246:3,0.11
Seriola,quinqueradiata,35.25,125.25,1312:455:1,0.01
Seriola,quinqueradiata,35.75,125.25,1312:455:3,0.02
Seriola,quinqueradiata,35.75,125.75,1312:455:4,0.01
Seriola,quinqueradiata,35.25,126.75,1312:456:2,0.02
Seriola,quinqueradiata,35.75,126.75,1312:456:4,0.03
Seriola,quinqueradiata,35.25,127.75,1312:457:2,0.07
Seriola,quinqueradiata,35.25,128.25,1312:458:1,0.19
Seriola,quinqueradiata,35.25,131.75,1313:351:2,0.02
Seriola,quinqueradiata,35.75,132.25,1313:352:3,0.04
Seriola,quinqueradiata,41.75,130.25,1413:110:3,0.18
Seriola,quinqueradiata,42.25,130.25,1413:120:1,0.11
Seriola,quinqueradiata,42.25,131.25,1413:121:1,0.10
Seriola,quinqueradiata,42.75,133.25,1413:123:3,0.08
Seriola,quinqueradiata,43.25,135.25,1413:235:1,0.01
Seriola,quinqueradiata,43.75,135.25,1413:235:3,0.01
Seriola,quinqueradiata,44.25,135.75,1413:245:2,0.06
Seriola,quinqueradiata,44.25,136.25,1413:246:1,0.13
Seriola,quinqueradiata,44.75,136.25,1413:246:3,0.13
Seriola,quinqueradiata,45.25,136.75,1413:456:2,0.06
Seriola,quinqueradiata,45.75,137.25,1413:457:3,0.07
Seriola,quinqueradiata,41.75,142.75,1414:112:4,0.06
Seriola,quinqueradiata,41.75,143.75,1414:113:4,0.18
Seriola,quinqueradiata,42.75,141.25,1414:121:3,0.19
Seriola,quinqueradiata,42.75,141.75,1414:121:4,0.19
Seriola,quinqueradiata,44.75,140.75,1414:140:4,0.01
Seriola,quinqueradiata,44.75,141.75,1414:141:4,0.16
Seriola,quinqueradiata,42.75,145.25,1414:225:3,0.02
Seriola,quinqueradiata,42.75,145.75,1414:225:4,0.05
Seriola,quinqueradiata,45.75,140.75,1414:350:4,0.12
Seriola,quinqueradiata,20.25,-155.25,7215:205:1,0.08
Seriola,quinqueradiata,20.25,-155.75,7215:205:2,0.08
Seriola,quinqueradiata,20.75,-155.75,7215:205:4,0.08
Seriola,quinqueradiata,21.25,-156.25,7215:216:1,0.14
Seriola,quinqueradiata,21.25,-156.75,7215:216:2,0.15
Seriola,quinqueradiata,21.25,-157.25,7215:217:1,0.09
Seriola,quinqueradiata,21.25,-157.75,7215:217:2,0.09
Seriola,quinqueradiata,21.75,-157.75,7215:217:4,0.08
Seriola,quinqueradiata,21.25,-158.25,7215:218:1,0.02
Seriola,quinqueradiata,21.75,-158.25,7215:218:3,0.01
Seriola,quinqueradiata,22.25,-159.25,7215:229:1,0.13
