Mapping parameters for Seriola rivoliana (Longfin yellowtail)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,43,-38,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,30,35,245
Temperature (°C),1,11.37,24.1,27.94,32.14
Salinity (psu),1,27.5,33.48,35.53,39.2
Primary Production,1,49,289,640,3160
Sea Ice Concentration,1,-1,0,0,0.01
Distance to Land (km),0,1,97,1793,2845.5
 

Map data (HSPEC) for predicted occurrences (n = 9333): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Seriola,rivoliana,42.75,-124.75,7412:124:4,0.03
Seriola,rivoliana,42.75,-124.25,7412:124:3,0.03
Seriola,rivoliana,42.25,-124.75,7412:124:2,0.03
Seriola,rivoliana,42.25,-124.25,7412:124:1,0.03
Seriola,rivoliana,41.75,-124.25,7412:114:3,0.03
Seriola,rivoliana,41.25,-124.75,7412:114:2,0.04
Seriola,rivoliana,41.25,-124.25,7412:114:1,0.03
Seriola,rivoliana,40.75,-124.75,7412:104:4,0.04
Seriola,rivoliana,40.75,-124.25,7412:104:3,0.02
Seriola,rivoliana,40.25,-124.75,7412:104:2,0.03
Seriola,rivoliana,40.25,-124.25,7412:104:1,0.04
Seriola,rivoliana,41.25,-73.75,7407:113:2,0.02
Seriola,rivoliana,41.25,-73.25,7407:113:1,0.02
Seriola,rivoliana,41.25,-72.75,7407:112:2,0.01
Seriola,rivoliana,40.75,-74.25,7407:104:3,0.02
Seriola,rivoliana,40.75,-73.75,7407:103:4,0.04
Seriola,rivoliana,40.25,-73.75,7407:103:2,0.04
Seriola,rivoliana,40.25,-73.25,7407:103:1,0.05
Seriola,rivoliana,40.75,-72.75,7407:102:4,0.03
Seriola,rivoliana,40.25,-72.75,7407:102:2,0.06
Seriola,rivoliana,40.25,-72.25,7407:102:1,0.06
Seriola,rivoliana,40.75,-71.75,7407:101:4,0.06
Seriola,rivoliana,40.75,-71.25,7407:101:3,0.07
Seriola,rivoliana,40.25,-71.75,7407:101:2,0.08
Seriola,rivoliana,40.25,-71.25,7407:101:1,0.07
Seriola,rivoliana,40.75,-70.75,7407:100:4,0.07
Seriola,rivoliana,40.75,-70.25,7407:100:3,0.07
Seriola,rivoliana,40.25,-70.75,7407:100:2,0.07
Seriola,rivoliana,40.25,-70.25,7407:100:1,0.07
Seriola,rivoliana,41.75,-66.75,7406:216:4,0.01
Seriola,rivoliana,41.75,-66.25,7406:216:3,0.01
Seriola,rivoliana,41.25,-66.75,7406:216:2,0.01
Seriola,rivoliana,41.25,-66.25,7406:216:1,0.01
Seriola,rivoliana,41.75,-65.75,7406:215:4,0.04
Seriola,rivoliana,41.25,-65.75,7406:215:2,0.03
Seriola,rivoliana,40.75,-69.75,7406:209:4,0.07
Seriola,rivoliana,40.75,-69.25,7406:209:3,0.08
Seriola,rivoliana,40.25,-69.75,7406:209:2,0.08
Seriola,rivoliana,40.25,-69.25,7406:209:1,0.08
Seriola,rivoliana,40.75,-68.75,7406:208:4,0.09
Seriola,rivoliana,40.75,-68.25,7406:208:3,0.10
Seriola,rivoliana,40.25,-68.75,7406:208:2,0.10
Seriola,rivoliana,40.25,-68.25,7406:208:1,0.11
Seriola,rivoliana,40.75,-67.75,7406:207:4,0.14
Seriola,rivoliana,40.75,-67.25,7406:207:3,0.13
Seriola,rivoliana,40.25,-67.75,7406:207:2,0.09
