Mapping parameters for Siganus canaliculatus (White-spotted spinefoot)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In Bounding Box
FAOAreas:  51 |  57 |  61 |  71  |  51 ,
Bounding Box (NSWE): ,30,-35,38,-174

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,7,27,50
Temperature (°C),1,21.42,24.65,28.81,33.01
Salinity (psu),1,26.36,32.65,35.97,39.93
Primary Production,1,43,266,1398,2838
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,109,370
 

Map data (HSPEC) for predicted occurrences (n = 4579): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Siganus,canaliculatus,3.25,99.25,1009:239:1,0.18,0.25,0.85714285714286,0.83306836248013,1,1,1
Siganus,canaliculatus,4.75,99.25,1009:249:3,0.06,0.08695652173913,0.8547619047619,0.83306836248013,1,1,1
Siganus,canaliculatus,5.75,94.75,1009:354:4,0.13,0.1304347826087,0.96666666666667,1,1,1,1
Siganus,canaliculatus,5.25,98.25,1009:458:1,0.03,0.043478260869565,0.88095238095238,0.88712241653418,1,1,1
Siganus,canaliculatus,5.75,98.75,1009:458:4,0.03,0.043478260869565,0.88095238095238,0.88712241653418,1,1,1
Siganus,canaliculatus,5.25,99.25,1009:459:1,0.07,0.08695652173913,0.86904761904762,0.86168521462639,1,1,1
Siganus,canaliculatus,2.75,100.25,1010:120:3,0.19,1,0.86904761904762,0.83306836248013,0.26527777777778,1,1
Siganus,canaliculatus,3.75,104.75,1010:134:4,0.13,0.1304347826087,1,1,1,1,1
Siganus,canaliculatus,4.25,104.25,1010:144:1,0.09,0.08695652173913,1,1,1,1,1
Siganus,canaliculatus,4.75,104.75,1010:144:4,0.09,0.08695652173913,1,1,1,1,1
Siganus,canaliculatus,2.25,107.25,1010:227:1,0.04,0.043478260869565,0.98809523809524,1,1,1,1
Siganus,canaliculatus,2.75,108.25,1010:228:3,0.08,0.08695652173913,0.97142857142857,1,1,1,1
Siganus,canaliculatus,3.25,105.25,1010:235:1,0.09,0.08695652173913,1,1,1,1,1
Siganus,canaliculatus,3.25,109.75,1010:239:2,0.04,0.043478260869565,0.98333333333333,1,1,1,1
Siganus,canaliculatus,6.25,104.25,1010:364:1,0.04,0.043478260869565,1,1,1,1,1
Siganus,canaliculatus,7.25,103.25,1010:373:1,0.13,0.1304347826087,1,0.97615262321145,1,1,1
