Mapping parameters for Sparidentex hasta (Sobaity seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51,
Bounding Box (NSWE): ,30,6,49,80

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,25.7,26.38,27.8,32
Salinity (psu),1,31.38,35.77,39.56,40.06
Primary Production,1,612,711.6,2720.4,4347.75
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,12.25,17.6,24.3999996185303,30.25
 

Map data (HSPEC) for predicted occurrences (n = 339): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sparidentex,hasta,26.75,52.25,1205:362:3,0.17
Sparidentex,hasta,27.25,50.25,1205:370:1,0.13
Sparidentex,hasta,27.25,50.75,1205:370:2,0.13
Sparidentex,hasta,27.75,50.25,1205:370:3,0.13
Sparidentex,hasta,27.25,51.25,1205:371:1,0.18
Sparidentex,hasta,28.25,51.25,1205:381:1,0.03
Sparidentex,hasta,28.75,51.25,1205:381:3,0.03
Sparidentex,hasta,7.75,76.75,1007:476:4,0.21
Sparidentex,hasta,19.75,57.75,1105:497:4,0.24
Sparidentex,hasta,19.25,58.25,1105:498:1,0.38
Sparidentex,hasta,11.25,72.75,1107:112:2,0.23
Sparidentex,hasta,18.25,71.75,1107:381:2,0.31
Sparidentex,hasta,26.25,52.75,1205:362:2,0.38
Sparidentex,hasta,26.75,52.75,1205:362:4,0.29
Sparidentex,hasta,27.75,51.25,1205:371:3,0.26
Sparidentex,hasta,27.75,51.75,1205:371:4,0.26
Sparidentex,hasta,27.25,52.25,1205:372:1,0.25
Sparidentex,hasta,25.75,56.75,1205:456:4,0.27
Sparidentex,hasta,22.25,67.75,1206:227:2,0.38
Sparidentex,hasta,20.75,72.25,1207:102:3,0.22
Sparidentex,hasta,8.25,49.75,1004:489:2,0.57
Sparidentex,hasta,8.75,76.25,1007:486:3,0.58
Sparidentex,hasta,9.75,75.75,1007:495:4,0.48
Sparidentex,hasta,9.25,76.25,1007:496:1,0.48
Sparidentex,hasta,9.25,76.75,1007:496:2,0.48
Sparidentex,hasta,9.75,76.25,1007:496:3,0.48
Sparidentex,hasta,19.25,57.75,1105:497:2,0.49
Sparidentex,hasta,19.25,69.75,1106:499:2,0.42
Sparidentex,hasta,11.25,74.75,1107:114:2,0.53
Sparidentex,hasta,11.75,74.75,1107:114:4,0.53
Sparidentex,hasta,12.25,74.75,1107:124:2,0.50
Sparidentex,hasta,12.75,74.75,1107:124:4,0.50
Sparidentex,hasta,13.25,74.75,1107:134:2,0.50
Sparidentex,hasta,10.25,75.75,1107:205:2,0.58
Sparidentex,hasta,10.75,75.25,1107:205:3,0.58
Sparidentex,hasta,10.75,75.75,1107:205:4,0.58
Sparidentex,hasta,10.25,76.25,1107:206:1,0.59
Sparidentex,hasta,10.75,76.25,1107:206:3,0.59
Sparidentex,hasta,11.25,75.25,1107:215:1,0.54
Sparidentex,hasta,11.25,75.75,1107:215:2,0.58
Sparidentex,hasta,11.75,75.25,1107:215:3,0.54
Sparidentex,hasta,11.75,75.75,1107:215:4,0.54
Sparidentex,hasta,12.25,75.25,1107:225:1,0.50
Sparidentex,hasta,12.75,75.25,1107:225:3,0.54
Sparidentex,hasta,17.75,71.75,1107:371:4,0.41
Sparidentex,hasta,18.75,72.25,1107:382:3,0.41
Sparidentex,hasta,26.75,49.75,1204:469:4,0.56
Sparidentex,hasta,24.75,52.75,1205:142:4,0.58
Sparidentex,hasta,20.25,57.75,1205:207:2,0.51
Sparidentex,hasta,26.25,53.75,1205:363:2,0.50
Sparidentex,hasta,20.25,69.75,1206:209:2,0.50
Sparidentex,hasta,22.75,67.25,1206:227:3,0.42
Sparidentex,hasta,8.25,76.75,1007:486:2,0.61
Sparidentex,hasta,8.75,76.75,1007:486:4,0.60
Sparidentex,hasta,18.25,56.25,1105:486:1,0.76
Sparidentex,hasta,18.25,56.75,1105:486:2,0.63
Sparidentex,hasta,18.75,56.75,1105:486:4,0.64
Sparidentex,hasta,18.25,57.25,1105:487:1,0.71
Sparidentex,hasta,18.75,57.25,1105:487:3,0.71
Sparidentex,hasta,18.75,57.75,1105:487:4,0.71
Sparidentex,hasta,19.75,58.25,1105:498:3,0.60
Sparidentex,hasta,19.75,58.75,1105:498:4,0.60
Sparidentex,hasta,10.25,73.75,1107:103:2,0.61
Sparidentex,hasta,10.75,73.75,1107:103:4,0.61
Sparidentex,hasta,11.75,72.75,1107:112:4,0.67
Sparidentex,hasta,13.75,73.75,1107:133:4,0.62
Sparidentex,hasta,13.25,74.25,1107:134:1,0.62
Sparidentex,hasta,13.75,74.25,1107:134:3,0.62
Sparidentex,hasta,13.75,74.75,1107:134:4,0.62
Sparidentex,hasta,14.25,73.75,1107:143:2,0.65
Sparidentex,hasta,14.75,73.25,1107:143:3,0.65
Sparidentex,hasta,14.75,73.75,1107:143:4,0.65
Sparidentex,hasta,14.25,74.25,1107:144:1,0.65
Sparidentex,hasta,14.25,74.75,1107:144:2,0.65
Sparidentex,hasta,14.75,74.25,1107:144:3,0.65
Sparidentex,hasta,15.25,73.25,1107:353:1,0.78
Sparidentex,hasta,15.25,73.75,1107:353:2,0.66
Sparidentex,hasta,15.75,73.25,1107:353:3,0.78
Sparidentex,hasta,15.75,73.75,1107:353:4,0.78
Sparidentex,hasta,15.25,74.25,1107:354:1,0.65
Sparidentex,hasta,16.25,73.25,1107:363:1,0.78
Sparidentex,hasta,16.25,73.75,1107:363:2,0.78
Sparidentex,hasta,16.75,73.25,1107:363:3,0.78
