Mapping parameters for Thunnus orientalis (Pacific bluefin tuna)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-52,99,-70

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,66,248,550
Temperature (°C),1,4.1,15.97,28.48,32.68
Salinity (psu),1,28.88,33.38,35.65,37.16
Primary Production (mgC·m-3·day-1) ,1,0.08,0.21,11.23,89.76
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,140.11,201.67,353.35
Distance to Land (km),0,0,114,1621,2654
 

Map data (HSPEC) for predicted occurrences (n = 60148): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thunnus,orientalis,9.75,99.75,1009:499:4,0.11
Thunnus,orientalis,0.25,103.25,1010:103:1,0.03
Thunnus,orientalis,0.25,103.75,1010:103:2,0.18
Thunnus,orientalis,0.75,103.25,1010:103:3,0.11
Thunnus,orientalis,0.75,103.75,1010:103:4,0.17
Thunnus,orientalis,1.25,103.25,1010:113:1,0.08
Thunnus,orientalis,1.75,103.25,1010:113:3,0.08
Thunnus,orientalis,2.25,100.25,1010:120:1,0.04
Thunnus,orientalis,2.75,103.25,1010:123:3,0.11
Thunnus,orientalis,0.75,107.75,1010:207:4,0.18
Thunnus,orientalis,0.25,109.25,1010:209:1,0.16
Thunnus,orientalis,1.25,109.25,1010:219:1,0.14
Thunnus,orientalis,1.75,109.25,1010:219:3,0.18
Thunnus,orientalis,1.75,109.75,1010:219:4,0.11
Thunnus,orientalis,2.25,109.25,1010:229:1,0.16
Thunnus,orientalis,5.75,102.25,1010:352:3,0.03
Thunnus,orientalis,8.75,104.25,1010:384:3,0.16
Thunnus,orientalis,8.75,104.75,1010:384:4,0.13
Thunnus,orientalis,9.25,103.75,1010:393:2,0.15
Thunnus,orientalis,9.75,103.75,1010:393:4,0.13
Thunnus,orientalis,9.25,104.25,1010:394:1,0.11
Thunnus,orientalis,9.25,104.75,1010:394:2,0.10
Thunnus,orientalis,9.75,104.25,1010:394:3,0.10
Thunnus,orientalis,8.75,105.25,1010:485:3,0.07
Thunnus,orientalis,8.75,105.75,1010:485:4,0.15
Thunnus,orientalis,9.25,105.25,1010:495:1,0.04
Thunnus,orientalis,9.25,105.75,1010:495:2,0.06
Thunnus,orientalis,9.75,105.25,1010:495:3,0.04
Thunnus,orientalis,9.25,106.25,1010:496:1,0.04
Thunnus,orientalis,9.25,106.75,1010:496:2,0.05
Thunnus,orientalis,9.75,107.25,1010:497:3,0.06
