Mapping parameters for Venus verrucosa (warty venus)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  15 |  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,59,-35,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,13,60,123
Temperature (°C),1,1.93,12,21.36,29.13
Salinity (psu),1,31.175,34.4,38.62,39.12
Primary Production,1,322,390,1727,3109
Sea Ice Concentration,1,-0.99855027850877,0,0.00937093,0.03
Distance to Land (km),0,3,6,85,426
 

Map data (HSPEC) for predicted occurrences (n = 1749): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Venus,verrucosa,4.75,4.75,1000:144:4,0.12,1,0.15572715572716,0.76124031007752,1,1,1
Venus,verrucosa,0.25,6.75,1000:206:2,0.13,1,0.23294723294723,0.57829457364341,1,1,1
Venus,verrucosa,0.25,8.75,1000:208:2,0.03,0.88888888888889,0.23166023166023,0.13798449612403,1,1,1
Venus,verrucosa,0.25,9.25,1000:209:1,0.03,1,0.23552123552124,0.13798449612403,1,1,1
Venus,verrucosa,0.25,9.75,1000:209:2,0.03,1,0.23552123552124,0.13798449612403,1,1,1
Venus,verrucosa,0.75,9.25,1000:209:3,0.03,1,0.23552123552124,0.13798449612403,1,1,1
Venus,verrucosa,0.75,9.75,1000:209:4,0.03,1,0.23552123552124,0.13798449612403,1,1,1
Venus,verrucosa,1.25,7.25,1000:217:1,0.04,1,0.18918918918919,0.1906976744186,1,1,1
Venus,verrucosa,1.75,7.25,1000:217:3,0.04,1,0.18918918918919,0.1906976744186,1,1,1
Venus,verrucosa,1.75,7.75,1000:217:4,0.04,1,0.18918918918919,0.1906976744186,1,1,1
Venus,verrucosa,3.75,5.75,1000:235:4,0.06,1,0.15572715572716,0.38914728682171,1,1,1
