"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","income_usd_yr","diesel_usd_l","gas_usd_l"
8444,"American Samoa Exclusive Economic Zone","200NM",8670,"American Samoa","ASM",0,NA,NA,0,NA,NA,2204,"United States","USA",0,NA,NA,0,NA,NA,-169.063470082,-13.8548393188,407333,51484.941242542,0.65,0.71
8379,"Ascension Exclusive Economic Zone","200NM",8620,"Ascension","ASC",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-14.3633726647,-7.94746851996,447887,34170.5625138448,1.49,1.46
8446,"Cook Islands Exclusive Economic Zone","200NM",8672,"Cook Islands","COK",0,NA,NA,0,NA,NA,2227,"New Zealand","NZL",0,NA,NA,0,NA,NA,-161.303414012,-15.0189070607,1976459,34960.2348538501,0.79,1.4
8389,"Overlapping claim Falkland / Malvinas Islands Exclusive Economic Zone: UK / Argentina","Overlapping claim",8623,"Falkland / Malvinas Islands","FLK",2149,"Argentina","ARG",0,NA,NA,2208,"United Kingdom","GBR",2149,"Argentina","ARG",0,NA,NA,-58.3223660504,-51.667026383,548502,34170.5625138448,1.49,1.46
8440,"French Polynesian Exclusive Economic Zone","200NM",8656,"French Polynesia","PYF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,-144.003272853,-18.7363445188,4781060,32671.7550857999,1.2,1.39
8439,"Pitcairn Islands Exclusive Economic Zone","200NM",2259,"Pitcairn","PCN",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-127.421309783,-24.6062265562,844105,34170.5625138448,1.49,1.46
8380,"St. Helena Exclusive Economic Zone","200NM",8619,"Saint Helena","SHN",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-5.70869129251,-15.9727780519,450770,34170.5625138448,1.49,1.46
8445,"Samoan Exclusive Economic Zone","200NM",8671,"Samoa","WSM",0,NA,NA,0,NA,NA,8671,"Samoa","WSM",0,NA,NA,0,NA,NA,-172.753720967,-13.296866319,130973,3686.44130240271,0.87,0.91
8448,"Tongan Exclusive Economic Zone","200NM",8674,"Tonga","TON",0,NA,NA,0,NA,NA,8674,"Tonga","TON",0,NA,NA,0,NA,NA,-174.765860806,-20.2217486938,667957,3890.01005742309,0.857541062801932,0.974311698113208
8382,"Tristan Da Cunha Exclusive Economic Zone","200NM",8621,"Tristan da Cunha","TAA",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-11.209867613,-38.7618957177,757590,34170.5625138448,1.49,1.46
8465,"Chilean Exclusive Economic Zone","200NM",2165,"Chile","CHL",0,NA,NA,0,NA,NA,2165,"Chile","CHL",0,NA,NA,0,NA,NA,-75.6288144999,-40.9862850121,2485706,11353.3045916759,0.65,1.03
8447,"Niue Exclusive Economic Zone","200NM",8673,"Niue","NIU",0,NA,NA,0,NA,NA,2227,"New Zealand","NZL",0,NA,NA,0,NA,NA,-169.331383301,-19.5231481912,319089,34960.2348538501,0.79,1.4
8383,"Overlapping claim South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina","Overlapping claim",8624,"South Georgia and the South Sandwich Islands","SGS",2149,"Argentina","ARG",0,NA,NA,2208,"United Kingdom","GBR",2149,"Argentina","ARG",0,NA,NA,-31.570227793,-56.4545855337,1281442,34170.5625138448,1.49,1.46
48961,"Joint regime area Argentina / Uruguay","Joint regime",2216,"Uruguay","URY",2149,"Argentina","ARG",0,NA,NA,2216,"Uruguay","URY",2149,"Argentina","ARG",0,NA,NA,-55.160956601,-36.2549332604,41405,14185.3059237461,1.36,1.5
48962,"Joint regime area Peru / Ecuador","Joint regime",2257,"Peru","PER",2166,"Ecuador","ECU",0,NA,NA,2257,"Peru","PER",2166,"Ecuador","ECU",0,NA,NA,-82.5324770996,-3.38858390804,16169,5419.92144474952,0.88,0.99
8467,"Uruguayan Exclusive Economic Zone","200NM",2216,"Uruguay","URY",0,NA,NA,0,NA,NA,2216,"Uruguay","URY",0,NA,NA,0,NA,NA,-53.3214266066,-35.7892709012,143077,14185.3059237461,1.36,1.5
8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone","200NM",48979,"Amsterdam and Saint Paul Islands","ATF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,77.5418063106,-38.2943091334,511849,32671.7550857999,1.2,1.39
8344,"Overlapping claim Chagos Archipelago Exclusive Economic Zone: UK / Mauritius","Overlapping claim",8616,"Chagos Archipelago","IOT",8614,"Republic of Mauritius","MUS",0,NA,NA,2208,"United Kingdom","GBR",8614,"Republic of Mauritius","MUS",0,NA,NA,71.9497918473,-6.58327164324,640844,34170.5625138448,1.49,1.46
8309,"Christmas Island Exclusive Economic Zone","200NM",8590,"Christmas Island","CXR",0,NA,NA,0,NA,NA,2147,"Australia","AUS",0,NA,NA,0,NA,NA,105.365226493,-11.2435805623,329297,41489.4767632325,0.92,0.93
8308,"Cocos Islands Exclusive Economic Zone","200NM",8589,"Cocos Islands","CCK",0,NA,NA,0,NA,NA,2147,"Australia","AUS",0,NA,NA,0,NA,NA,96.854335723,-12.0314623377,469260,41489.4767632325,0.92,0.93
8334,"Comoran Exclusive Economic Zone","200NM",2163,"Comores","COM",0,NA,NA,0,NA,NA,2163,"Comores",NA,0,NA,NA,0,NA,NA,43.454228275,-11.4231416098,165126,10359.2557180985,0.857541062801932,0.974311698113208
