eez_name,reason_to_exclude
Heard and McDonald Islands Exclusive Economic Zone,Uninhabited
Clipperton Exclusive Economic Zone,Uninhabited
Colombian Exclusive Economic Zone (Bajo Nuevo),Uninhabited
Colombian Exclusive Economic Zone (Serranilla),Uninhabited
Australian Exclusive Economic Zone (Macquarie Island),No permanent inhabitants
Pitcairn Islands Exclusive Economic Zone,Small population
Amsterdam Island & St. Paul Island Exclusive Economic Zone,Researchers only
Cocos Islands Exclusive Economic Zone,Park rangers only
Crozet Islands Exclusive Economic Zone,Researchers only
Wake Island Exclusive Economic Zone,Military only
Jarvis Island Exclusive Economic Zone,Uninhabited
Howland and Baker Islands Exclusive Economic Zone,Uninhabited
Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),Military only
Kiribati Exclusive Economic Zone (Phoenix Islands),Small population
Juan de Nova Exclusive Economic Zone,Uninhabited
Colombian Exclusive Economic Zone (Quitasue–o),Uninhabited
Johnston Atoll Exclusive Economic Zone,Uninhabited
Palmyra Atoll Exclusive Economic Zone,Researchers only
Jan Mayen Exclusive Economic Zone,Military and researchers only
Ile Europa Exclusive Economic Zone,Researchers only
Kerguelen Exclusive Economic Zone,Researchers only
Tristan Da Cunha Exclusive Economic Zone,Small population
Brazilian Exclusive Economic Zone (Trindade),Military only
Ascension Exclusive Economic Zone,MPA
Antarctic 200NM zone beyond the coastline,Military and researchers only
