"level","species_id","species_orig","species","comm_name","type","class","order","family","genus","forage"
"NEI","nei_1","Albania","Albania","nei_1",NA,NA,NA,NA,NA,NA
"NEI","nei_2","Algeria","Algeria","nei_2",NA,NA,NA,NA,NA,NA
"NEI","nei_3","Angola","Angola","nei_3",NA,NA,NA,NA,NA,NA
"NEI","nei_4","Antigua and Barbuda","Antigua and Barbuda","nei_4",NA,NA,NA,NA,NA,NA
"NEI","nei_5","Argentina","Argentina","nei_5",NA,NA,NA,NA,NA,NA
"NEI","nei_6","Australia","Australia","nei_6",NA,NA,NA,NA,NA,NA
"NEI","nei_7","Bahamas","Bahamas","nei_7",NA,NA,NA,NA,NA,NA
"NEI","nei_8","Bahrain","Bahrain","nei_8",NA,NA,NA,NA,NA,NA
"NEI","nei_9","Barbados","Barbados","nei_9",NA,NA,NA,NA,NA,NA
"NEI","nei_10","Belgium","Belgium","nei_10",NA,NA,NA,NA,NA,NA
"NEI","nei_11","Belize","Belize","nei_11",NA,NA,NA,NA,NA,NA
"NEI","nei_12","Benin","Benin","nei_12",NA,NA,NA,NA,NA,NA
"NEI","nei_13","Brazil","Brazil","nei_13",NA,NA,NA,NA,NA,NA
"NEI","nei_14","Bulgaria","Bulgaria","nei_14",NA,NA,NA,NA,NA,NA
"NEI","nei_15","Cambodia","Cambodia","nei_15",NA,NA,NA,NA,NA,NA
"NEI","nei_16","Cameroon","Cameroon","nei_16",NA,NA,NA,NA,NA,NA
"NEI","nei_17","Canada","Canada","nei_17",NA,NA,NA,NA,NA,NA
"NEI","nei_18","Cape Verde","Cape Verde","nei_18",NA,NA,NA,NA,NA,NA
"NEI","nei_19","Chile","Chile","nei_19",NA,NA,NA,NA,NA,NA
"NEI","nei_20","China","China","nei_20",NA,NA,NA,NA,NA,NA
"NEI","nei_21","Colombia","Colombia","nei_21",NA,NA,NA,NA,NA,NA
"NEI","nei_22","Comoro Islands","Comoro Islands","nei_22",NA,NA,NA,NA,NA,NA
"NEI","nei_23","Congo","Congo","nei_23",NA,NA,NA,NA,NA,NA
"NEI","nei_24","Costa Rica","Costa Rica","nei_24",NA,NA,NA,NA,NA,NA
"NEI","nei_25","Croatia","Croatia","nei_25",NA,NA,NA,NA,NA,NA
"NEI","nei_26","Cuba","Cuba","nei_26",NA,NA,NA,NA,NA,NA
"NEI","nei_27","Cyprus","Cyprus","nei_27",NA,NA,NA,NA,NA,NA
