"class","isscaap","order","family","genus","species","comm_name","fao","gentry","feed_group","feed_group_long","fcr","fm_perc","fo_perc","fmfo_perc","harvest_kg_m3","harvest_cm_ft","fish_juv_m3","bivalve_juv_ft","nstocked","harvest_linf_prop","harvest_cm","harvest_g","harvest_yr","prod_mt_yr","edible_mt_yr","revenue_usd_yr","price_usd_mt_isscaap","price_usd_mt_spp","a","a_source","b","b_source","linf_cm","linf_source","k","k_source","sst_c_min_froehlich","sst_c_max_froehlich","sst_c_min","sst_c_q10","sst_c_q90","sst_c_max","sal_psu_min","sal_psu_q10","sal_psu_q90","sal_psu_max"
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Common dolphinfish",FALSE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,5,400,1.88607226392228,NA,407391.609007213,0.52,75.2414779144517,2651.01189156029,0.586182994243074,1842.42806530848,1602.91241681838,14756249.6523133,8009.13204165863,NA,0.01782,"FB species-average",2.75652631578947,"FB species-average",144.695149835484,"FishLife",1.25211611781396,"FishLife",21,30,7.79,20.63,27.96,32.16,21.03,33.55,36.07,39.25
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollack",FALSE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,23.023059726478,NA,4972980.90091926,0.52,40.880599678732,651.520700471841,3.56104710677728,909.844745898959,791.564928932095,3299847.60110712,3626.82492368162,NA,0.007724,"FB species-average",3.0568,"FB species-average",78.6165378437153,"FishLife",0.206110493085961,"FishLife",6.5,12.3,6.33,9.6,12.53,19.3,6.4,33.88,35.25,38.08
"Actinopterygii","River eels","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","European eel",TRUE,TRUE,"Eel","Eel (Anguilla spp and others)",1.5,25,2,27,15,400,114.261793505351,NA,24680547.3971557,0.52,38.0414332536197,131.27747727238,5.02305128423292,645.026263253608,561.172849030639,10947096.3306928,16971.5513217617,12288.2586435234,0.00148104166666667,"FB species-average",3.13089791666667,"FB species-average",73.1566024108071,"FishLife",0.146120183439912,"FishLife",4,33,1.7,8.98,23.34,26,3.5,7.59,37.15,39.375
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,20.8791536104965,NA,4509897.17986724,0.52,38.65237719535,718.419926392952,4.21126501696358,769.365021424398,669.347568639226,7946069.88209447,10328.0883076581,5824.28193210075,0.012041875,"FB species-average",3.00891875,"FB species-average",74.3314946064423,"FishLife",0.174287101885934,"FishLife",8,24,0.64,10.19,20,29.58,3.58,31.02,37.97,39.25
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,9.11943927701343,NA,1969798.8838349,0.52,55.0423834121164,1644.83797132234,4.35618258091991,743.770477893009,647.080315766918,2697525.30672095,3626.82492368162,3626.82492368162,0.0066725,"FB species-average",3.09751428571429,"FB species-average",105.850737330993,"FishLife",0.168489075342018,"FishLife",0,15,-0.57,4.15,12.15,19.38,3.58,27.18,35.12,39.76
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Carangidae","Caranx","Caranx hippos","Crevalle jack",FALSE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,49.6425770124639,NA,10722796.6346922,0.52,26.4930463084254,302.159978444187,1.99550103124872,1623.65238066177,1412.57757117574,13004046.3064735,8009.13204165863,NA,0.02745,"FB species-average",2.84,"FB species-average",50.9481659777412,"FishLife",0.367811974830656,"FishLife",9.6,27.8,8.72,19.5,28.08,32.28,17.86,29.02,36.24,40.28
"Actinopterygii","Miscellaneous diadromous fishes","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","Milkfish",TRUE,TRUE,"Milkfish","Milkfish (Chanos chanos)",1.6,1,0.5,1.5,15,400,107.772456529895,NA,23278850.6104574,0.52,26.2503986047849,139.182129488151,1.32935152495191,2437.27858221489,2120.43236652696,7947104.27692244,3260.64666341935,1545.15814022677,0.00795,"FB species-average",2.99,"FB species-average",50.4815357784325,"FishLife",0.55212572544102,"FishLife",15,42.5,13.27,21.09,29,33.2,25.97,32.22,35.73,38.86
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Scombridae","Scomber","Scomber japonicus","Pacific chub mackerel",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,86.2339032550741,NA,18626523.103096,0.52,22.8828915245348,173.945506741484,2.52920687816494,1281.03399843305,1114.49957863675,10259970.4433042,8009.13204165863,13779.018641832,0.00757923076923077,"FB species-average",3.20761538461538,"FB species-average",44.0055606241054,"FishLife",0.290197366382591,"FishLife",NA,NA,3.29,11.77,27.48,31.68,24.32,31.48,34.75,36.37
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus albacares","Yellowfin tuna",TRUE,TRUE,"Tuna","Tuna",6,8,6,14,5,400,0.299969461345771,NA,64793.4036506865,0.52,100.687736049689,16668.3634312913,2.24939989124928,480.128057354971,417.711409898824,6843778.19758066,14254.0684568261,6952.58965412036,0.03632,"FB species-average",2.82666666666667,"FB species-average",193.630261634018,"FishLife",0.326295550175636,"FishLife",15,31,2.39,19.21,28.34,32.54,4.31,33.84,36.26,39.01
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Southern bluefin tuna",TRUE,TRUE,"Tuna","Tuna",6,8,6,14,5,400,0.18122114626544,NA,39143.767593335,0.52,115.561165982426,27590.5991273025,4.81355365400404,224.366461377579,195.198821398494,3198134.89989183,14254.0684568261,13512.2475271964,0.0123725,"FB species-average",3.0775,"FB species-average",222.233011504666,"FishLife",0.152479691271264,"FishLife",5,30,0.17,9.25,23.35,30.13,28.98,34.18,35.7,37.65
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna",TRUE,TRUE,"Tuna","Tuna",6,8,6,14,5,400,0.0419762212655966,NA,9066.86379336887,0.52,182.574675440603,119115.057269292,7.49069359913453,144.178904891369,125.435647255491,2055135.98035178,14254.0684568261,16945.7092775066,0.0290314285714286,"FB species-average",2.92428571428571,"FB species-average",351.105145078083,"FishLife",0.0979841406361893,"FishLife",2.8,31,2.66,11.6,27.36,31.56,3.58,33.13,36.73,39.25
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus guttatus","Spotted rose snapper",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,28.3488728147968,NA,6123356.52799611,0.52,33.3517624211311,529.121566772514,3.44103542167159,941.577055439339,819.172038232225,9724690.97704221,10328.0883076581,4500,0.0226,"FB species-average",2.86875,"FB species-average",64.1380046560214,"FishLife",0.213298930449153,"FishLife",NA,NA,18.9,23.44,29,33.2,28.46,31.06,34.64,37.69
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus malabaricus","Malabar blood snapper",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,12.8717324140553,NA,2780294.20143594,0.52,42.5391972467063,1165.34430001208,3.75728710971168,862.324306179685,750.222146376326,8906161.58406381,10328.0883076581,6619.09090909091,0.01658,"FB species-average",2.97575,"FB species-average",81.8061485513582,"FishLife",0.195345512240219,"FishLife",NA,NA,21.33,25.25,28.84,33.04,20.55,32.16,35.3,38.65
